scope,model,predictor,target,n,pearson_r,spearman_r
exact_close,gemma,log_employment_count,pc1,34,0.4597499127570562,0.6020174513248949
exact_close,gemma,log_employment_count,pc2,34,0.13779226158471564,0.1901268620076591
exact_close,gemma,log_employment_count,pc3,34,-0.10838569412686075,0.007947425099998613
exact_close,gemma,annual_median_wage,pc1,26,0.19352367611625917,0.26406707768646426
exact_close,gemma,annual_median_wage,pc2,26,-0.432307100748976,-0.5404481641769605
exact_close,gemma,annual_median_wage,pc3,26,0.4756232014350153,0.5171883697693446
exact_close,gemma,log_annual_median_wage,pc1,26,0.21531480078806192,0.26406707768646426
exact_close,gemma,log_annual_median_wage,pc2,26,-0.543770494496882,-0.5404481641769605
exact_close,gemma,log_annual_median_wage,pc3,26,0.5339357936646859,0.5171883697693446
exact_close,llama,log_employment_count,pc1,34,0.5881065332835562,0.6793520109518045
exact_close,llama,log_employment_count,pc2,34,-0.15762314168823519,-0.23185084378265186
exact_close,llama,log_employment_count,pc3,34,0.15440724378212903,0.32232922184417456
exact_close,llama,annual_median_wage,pc1,26,-0.11924321387542944,-0.13853259904536014
exact_close,llama,annual_median_wage,pc2,26,-0.36561624805484366,-0.39746883973014446
exact_close,llama,annual_median_wage,pc3,26,0.5224765494735684,0.5907303667934246
exact_close,llama,log_annual_median_wage,pc1,26,-0.13162412021627903,-0.13853259904536014
exact_close,llama,log_annual_median_wage,pc2,26,-0.46992370636271225,-0.39746883973014446
exact_close,llama,log_annual_median_wage,pc3,26,0.5867258699299257,0.5907303667934246
exact_close,qwen,log_employment_count,pc1,34,0.33489643093341603,0.4852514363941461
exact_close,qwen,log_employment_count,pc2,34,0.31235044761499375,0.28519029301148874
exact_close,qwen,log_employment_count,pc3,34,-0.03351235303604114,0.11951704669613299
exact_close,qwen,log_employment_count,axis_projection,34,0.4274570292777342,0.5622803258249018
exact_close,qwen,annual_median_wage,pc1,26,0.4519844513428282,0.6163845518018246
exact_close,qwen,annual_median_wage,pc2,26,-0.5554574449284891,-0.6047546545980167
exact_close,qwen,annual_median_wage,pc3,26,0.4653904022883409,0.5137678117682245
exact_close,qwen,annual_median_wage,axis_projection,26,0.2642734717275205,0.3358987957099843
exact_close,qwen,log_annual_median_wage,pc1,26,0.5163775767090424,0.6163845518018246
exact_close,qwen,log_annual_median_wage,pc2,26,-0.6137120350180971,-0.6047546545980167
exact_close,qwen,log_annual_median_wage,pc3,26,0.5301212374723031,0.5137678117682245
exact_close,qwen,log_annual_median_wage,axis_projection,26,0.28743287339730894,0.3358987957099843
exact_close_broad,gemma,log_employment_count,pc1,50,0.415309490971715,0.5367341808793262
exact_close_broad,gemma,log_employment_count,pc2,50,0.05580635551108736,0.13343901507810707
exact_close_broad,gemma,log_employment_count,pc3,50,-0.09440949735740042,-0.05499916208222916
exact_close_broad,gemma,annual_median_wage,pc1,40,0.2858182017783368,0.36129882425350723
exact_close_broad,gemma,annual_median_wage,pc2,40,-0.30229945178657414,-0.5332207582879033
exact_close_broad,gemma,annual_median_wage,pc3,40,0.3140969351447182,0.3949887665670161
exact_close_broad,gemma,log_annual_median_wage,pc1,40,0.3470081078696516,0.36129882425350723
exact_close_broad,gemma,log_annual_median_wage,pc2,40,-0.43920354391804933,-0.5332207582879033
exact_close_broad,gemma,log_annual_median_wage,pc3,40,0.4117239508781892,0.3949887665670161
exact_close_broad,llama,log_employment_count,pc1,50,0.5841182229995456,0.6935178184656983
exact_close_broad,llama,log_employment_count,pc2,50,-0.14909154071181266,-0.20726758461556224
exact_close_broad,llama,log_employment_count,pc3,50,0.16596187626761902,0.26120999423856955
exact_close_broad,llama,annual_median_wage,pc1,40,0.01792380524255059,0.03237612840713247
exact_close_broad,llama,annual_median_wage,pc2,40,-0.33330190987893876,-0.45983486723173644
exact_close_broad,llama,annual_median_wage,pc3,40,0.4402890762565887,0.583521062132028
exact_close_broad,llama,log_annual_median_wage,pc1,40,0.005478628191338108,0.03237612840713247
exact_close_broad,llama,log_annual_median_wage,pc2,40,-0.45386387168165093,-0.45983486723173644
exact_close_broad,llama,log_annual_median_wage,pc3,40,0.5431590565172979,0.583521062132028
exact_close_broad,qwen,log_employment_count,pc1,50,0.3476837264199416,0.45430748906002044
exact_close_broad,qwen,log_employment_count,pc2,50,0.2329053381453091,0.20059083044138773
exact_close_broad,qwen,log_employment_count,pc3,50,0.023109072594830433,0.058265487865278576
exact_close_broad,qwen,log_employment_count,axis_projection,50,0.4154225548113584,0.5289046058405461
exact_close_broad,qwen,annual_median_wage,pc1,40,0.4575955655807776,0.6279092033974589
exact_close_broad,qwen,annual_median_wage,pc2,40,-0.4563362481701843,-0.5967530450462474
exact_close_broad,qwen,annual_median_wage,pc3,40,0.2828816884957119,0.3880443216333123
exact_close_broad,qwen,annual_median_wage,axis_projection,40,0.38282692888054104,0.5147335197481785
exact_close_broad,qwen,log_annual_median_wage,pc1,40,0.5653488576648928,0.6279092033974589
exact_close_broad,qwen,log_annual_median_wage,pc2,40,-0.5720848390872406,-0.5967530450462474
exact_close_broad,qwen,log_annual_median_wage,pc3,40,0.3830416134360739,0.3880443216333123
exact_close_broad,qwen,log_annual_median_wage,axis_projection,40,0.43947106632301386,0.5147335197481785
