path,status,artifact_type,bytes,sha256,introduced_commit,repair_commits,raw_url
research/outputs/liss_hifwb_prior_evidence/aa11_repair_artifact_audit.csv,active,human-only pre-data evidence/planning artifact,1914,06e751c35e15885f8e991e30ef95f5871373cd2c4ec174e3b73148d27a2af1e4,768528c,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/research/outputs/liss_hifwb_prior_evidence/aa11_repair_artifact_audit.csv
research/outputs/liss_hifwb_prior_evidence/aa12_followup_alignment_notes.md,active,human-only pre-data evidence/planning artifact,526,2caf4e1011c2cdd70a827478dad5746d330dcd4044b20193d086f2c7be900e06,AA-11 repair commits,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/research/outputs/liss_hifwb_prior_evidence/aa12_followup_alignment_notes.md
research/outputs/liss_hifwb_prior_evidence/artifact_inventory.csv,active,human-only pre-data evidence/planning artifact,0,SELF_REFERENTIAL,768528c,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/research/outputs/liss_hifwb_prior_evidence/artifact_inventory.csv
research/outputs/liss_hifwb_prior_evidence/hifwb_characteristic_prior_evidence.csv,active,human-only pre-data evidence/planning artifact,7043,263fc35eb814cf5d2f2c4616baada2f723c907b7cce5a91a3e4ad9edf869b3d6,AA-11 repair commits,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/research/outputs/liss_hifwb_prior_evidence/hifwb_characteristic_prior_evidence.csv
research/outputs/liss_hifwb_prior_evidence/hifwb_mapping_rubric.md,active,human-only pre-data evidence/planning artifact,1240,3936060ad2d70ca57f3c14aeb4b481a0817c253651d8f62a793610635bbbf3ae,768528c,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/research/outputs/liss_hifwb_prior_evidence/hifwb_mapping_rubric.md
research/outputs/liss_hifwb_prior_evidence/hifwb_node_evidence_matrix.csv,active,human-only pre-data evidence/planning artifact,4416,fb9bcc49789df132220c62426c9b81442a9efa96ba678e9b0b2797b97a97e615,768528c,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/research/outputs/liss_hifwb_prior_evidence/hifwb_node_evidence_matrix.csv
research/outputs/liss_hifwb_prior_evidence/liss_2020_hifwb_analysis_specification.md,active,human-only pre-data evidence/planning artifact,2372,96b2d7d31fc46ef586f8512890544d0ff38471f7ec1a094b0419f070ea8fc795,768528c,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/research/outputs/liss_hifwb_prior_evidence/liss_2020_hifwb_analysis_specification.md
research/outputs/liss_hifwb_prior_evidence/liss_2020_hifwb_coverage_summary.csv,active,human-only pre-data evidence/planning artifact,1155,e1aae979e349de9e3d5c0655491af899897292a1bbe28464e1d707a141891d44,768528c,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/research/outputs/liss_hifwb_prior_evidence/liss_2020_hifwb_coverage_summary.csv
research/outputs/liss_hifwb_prior_evidence/liss_2020_measurement_notes.md,active,human-only pre-data evidence/planning artifact,1622,627d4ce53f900569ace6ae2b36bab59b6a268a5e104cefbfeaac1486c7cd79b3,768528c,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/research/outputs/liss_hifwb_prior_evidence/liss_2020_measurement_notes.md
research/outputs/liss_hifwb_prior_evidence/liss_2020_mhc_hifwb_item_crosswalk.csv,active,human-only pre-data evidence/planning artifact,14939,8a47668ddb4407ad38c15dac1e77626666cc217488b00cad4f68136306ef1c4c,768528c,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/research/outputs/liss_hifwb_prior_evidence/liss_2020_mhc_hifwb_item_crosswalk.csv
research/outputs/liss_hifwb_prior_evidence/liss_2020_scoring_freeze.json,active,human-only pre-data evidence/planning artifact,964,3cbd69b40ef3226c4dd5e8b01aade0a34d20bc0903d1fc76ac90789f64c6c9e1,768528c,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/research/outputs/liss_hifwb_prior_evidence/liss_2020_scoring_freeze.json
