persona,dimensions,radius,bridge,converged_starts,detected_distinct_maxima,sample_best_gain,optimized_gain
aberration,5,4.177581924285131,bigfive,3,1,0.0739165946877165,0.07391812639765183
aberration,5,4.177581924285131,direct,3,1,0.09467737194764803,0.0946795364499241
absurdist,5,4.177581924285131,bigfive,3,1,0.07552519999907092,0.07552637256101802
absurdist,5,4.177581924285131,direct,3,1,0.09697041962325104,0.09697212143949141
accountant,5,4.177581924285131,bigfive,3,1,0.05913644368742865,0.05913713889400496
accountant,5,4.177581924285131,direct,3,1,0.08668138082905119,0.08668333994206434
activist,5,4.177581924285131,bigfive,3,1,0.06208216657359378,0.06208309636756182
activist,5,4.177581924285131,direct,3,1,0.08759367132161411,0.08759569668369016
actor,5,4.177581924285131,bigfive,3,1,0.071729046425276,0.07172984646410674
actor,5,4.177581924285131,direct,3,1,0.09499309400608835,0.09499452165456912
addict,5,4.177581924285131,bigfive,3,1,0.06992921371729288,0.06993007200498891
addict,5,4.177581924285131,direct,3,1,0.09212959172184276,0.0921310344773012
adolescent,5,4.177581924285131,bigfive,3,1,0.07502152978512422,0.07502218832364438
adolescent,5,4.177581924285131,direct,3,1,0.09670400037407711,0.09670505627607762
advocate,5,4.177581924285131,bigfive,3,1,0.06126520220021536,0.06126596554805008
advocate,5,4.177581924285131,direct,3,1,0.08733805171559572,0.0873399070132499
alien,5,4.177581924285131,bigfive,3,1,0.06647598914509611,0.06647695798192421
alien,5,4.177581924285131,direct,3,1,0.08959633269331091,0.08959808403032099
altruist,5,4.177581924285131,bigfive,3,1,0.058505629834802786,0.05850620704720111
altruist,5,4.177581924285131,direct,3,1,0.0843147083923772,0.08431630253623723
amateur,5,4.177581924285131,bigfive,3,1,0.06474902674213823,0.0647494613207269
amateur,5,4.177581924285131,direct,3,1,0.08843701746641663,0.08843805307134334
ambassador,5,4.177581924285131,bigfive,3,1,0.0578317228765024,0.05783235794619612
ambassador,5,4.177581924285131,direct,3,1,0.08538162476981404,0.0853835250758026
amnesiac,5,4.177581924285131,bigfive,3,1,0.07145161426706981,0.07145232056412087
amnesiac,5,4.177581924285131,direct,3,1,0.09261318465323676,0.09261430799319448
