persona,dimensions,radius,radius_fraction_of_median_fifth_neighbor,candidate,bigfive_start,direct_start,bigfive_end,direct_end,delta_bigfive,delta_direct,bigfive_gain_fraction,direct_gain_fraction,angle_to_bigfive_optimum,angle_to_direct_optimum,endpoint_fifth_neighbor_distance,path_max_fifth_neighbor_distance,support_threshold,path_outside_reference_support,sphere_norm_error,delta_PC1,unit_PC1,delta_C1_sd,delta_PC2,unit_PC2,delta_C2_sd,delta_PC3,unit_PC3,delta_C3_sd,delta_PC4,unit_PC4,delta_C4_sd,delta_PC5,unit_PC5,delta_C5_sd,delta_bigfive_persona_sd,delta_direct_persona_sd
aberration,5,4.177581924285131,0.25,bigfive_optimum,-0.9147509088731218,-0.8841291083342556,-0.840832782475768,-0.798332995375292,0.07391812639735384,0.08579611295896361,1.0,0.9061737749891859,0.0,25.021212446583274,26.97843955902795,28.54299665733143,30.073987370170798,False,0.0,2.5266978034296597,0.6048230409896818,-0.1481331250034493,-1.368298823661836,-0.3275336901731687,0.04469922754826268,-2.9988035594349283,-0.7178323761892675,0.16743180641211966,0.4193070844916164,0.10037076282193277,-0.018739733977529587,0.16463916374537352,0.03941015801229239,-0.019572699104540472,0.1956270507112247,0.2170501710957285
aberration,5,4.177581924285131,0.25,direct_optimum,-0.9147509088731218,-0.8841291083342556,-0.8477861384714602,-0.7894495718844312,0.0669647704016616,0.09467953644982441,0.9059316525649768,1.0,25.021212446583274,0.0,26.336817955470906,28.537053776313197,30.073987370170798,False,0.0,0.9498461384190959,0.2273674473976076,-0.10838341349511756,-1.1855595738139852,-0.2837908616278922,0.03623855392969118,-3.838958317607114,-0.9189426771718038,0.230350571493343,0.5255352587509026,0.1257989114937183,-0.04026155200773283,0.3614460843154507,0.0865204060306493,-0.02353052812144761,0.1772247373372323,0.23952378350203163
aberration,5,4.177581924285131,0.25,compromise,-0.9147509088731218,-0.8841291083342556,-0.8425897020605686,-0.7916999580884092,0.07216120681255322,0.09242915024584641,0.9762315460303183,0.9762315460303231,12.504478795547875,12.516739131430004,26.588772314844945,28.583743716847195,30.073987370170798,False,8.881784197001252e-16,1.7808354575587184,0.42628379044019715,-0.13138766466299803,-1.3084712220619898,-0.31321258224897547,0.041495232369715314,-3.5017650810285823,-0.838227746216564,0.2037092458133788,0.48348577456239783,0.11573340351551144,-0.030138225832695292,0.26944701025578766,0.0644983186779504,-0.022085942829611984,0.19097729816117034,0.23383067347922074
aberration,5,4.177581924285131,0.25,bigfive_alternative_1,-0.9147509088731218,-0.8841291083342556,-0.8624075202285071,-0.8283820194840896,0.05234338864461474,0.05574708885016599,0.7081265610445526,0.5887976530145905,45.000000000115556,54.07088031845553,26.76972329403071,28.603578023413323,30.073987370170798,False,8.881784197001252e-16,1.6971313401606993,0.4062472911171246,-0.08270132057281905,-3.084309293157444,-0.7383001336796601,0.137519424173192,-1.491735828578821,-0.35708116695619013,0.08854955134868586,-1.6534211488994228,-0.395784254831186,0.06039425144135717,0.3160614728295923,0.07565655887973444,0.04527339604355847,0.13852871066742783,0.14103104156717114
aberration,5,4.177581924285131,0.25,bigfive_alternative_2,-0.9147509088731218,-0.8841291083342556,-0.8624843335236831,-0.8358002966607075,0.05226657534943868,0.04832881167354808,0.7070873938075052,0.5104462219157571,45.00000000046884,59.36667183197871,28.303701923108346,28.911204588164463,30.073987370170798,False,0.0,2.840254892452418,0.6798801181950354,-0.10140598831500343,-1.4022320500296088,-0.3356563857857938,0.06445434415000094,-1.0221717833092188,-0.24468024848707975,0.07391076216324957,-0.5388708422747334,-0.12899108911357737,0.12475357782148935,2.4665099267256747,0.5904156929604066,-0.12567909872731392,0.13832542144564852,0.12226401034757978
aberration,5,4.177581924285131,0.25,direct_alternative_1,-0.9147509088731218,-0.8841291083342556,-0.8619298586406949,-0.817054089368624,0.05282105023242689,0.06707501896563162,0.7145885969631097,0.7084426210850551,44.460063376623964,45.000000000000654,26.201408103192918,28.51211320730684,30.073987370170798,False,8.881784197001252e-16,0.8647258511659104,0.2069919553555811,-0.06763492730013403,-3.0291604939693655,-0.7250990043690684,0.13370015752877878,-2.2323982004033964,-0.5343756845140517,0.1397508332618205,-1.5307762001507021,-0.36642637484904594,0.04466975430480093,0.4491649341860755,0.10751792360431968,0.04062111287314955,0.13979285969576516,0.16968885699638855
aberration,5,4.177581924285131,0.25,direct_alternative_2,-0.9147509088731218,-0.8841291083342556,-0.8607916271945837,-0.8171409804334738,0.05395928167853814,0.06698812790078179,0.7299871399401405,0.7075248824890716,43.10250838501334,45.00000000000812,28.19183263117132,28.88933588106628,30.073987370170798,False,8.881784197001252e-16,1.7525548259305954,0.41951417295795895,-0.07772040519954737,-0.5734803822812131,-0.13727567589936546,0.034387006675049604,-2.5951767259585914,-0.6212150409001683,0.1752766938149297,-1.4896382506767356,-0.356579063600684,0.145873987342624,2.2578525661618025,0.5404687704713694,-0.06734472945965363,0.14280523124361175,0.16946903677561276
absurdist,5,4.177581924285131,0.25,bigfive_optimum,-0.7076951585732743,-0.7610138408716303,-0.6321687860123562,-0.6727106822073146,0.0755263725609181,0.0883031586643157,1.0,0.9106035565027621,0.0,24.411722209257494,31.404398729463853,32.81648792118304,30.073987370170798,True,8.881784197001252e-16,2.4193576903519056,0.5791287242717345,-0.14997641602035652,-1.5113476716331038,-0.36177571117093676,0.054428510254565035,-3.0198641659923187,-0.7228737151597759,0.17227678019913756,0.43973124923546003,0.10525975485464763,-0.025100843558497878,0.04223935486597289,0.010110957877433104,-0.013595496369192439,0.19988333356266583,0.22339258779182933
absurdist,5,4.177581924285131,0.25,direct_optimum,-0.7076951585732743,-0.7610138408716303,-0.6389408345972423,-0.6640417194322519,0.06875432397603198,0.09697212143937839,0.9103353126164783,1.0,24.411722209257494,0.0,31.80765581699756,33.08346834728098,30.073987370170798,True,8.881784197001252e-16,0.9049522067634876,0.21662105571235285,-0.11024135241236102,-1.2341888386514335,-0.29543139093858184,0.04180363964637071,-3.8373839545026787,-0.9185658172722329,0.23647015280407574,0.5360372152551183,0.12831279552868258,-0.03811861248409977,0.31173488371195124,0.0746208905921804,-0.023924385995118563,0.1819608569455932,0.24532364956906658
absurdist,5,4.177581924285131,0.25,compromise,-0.7076951585732743,-0.7610138408716303,-0.633878561955795,-0.6662369870559888,0.0738165966174793,0.09477685381564149,0.9773618686365517,0.9773618686365518,12.199326612800181,12.212398667733279,31.53255167191424,32.95346676855271,30.073987370170798,True,8.881784197001252e-16,1.7009467868577701,0.4071606057489433,-0.13313314230250697,-1.404846609317801,-0.3362822404872883,0.04926348163895444,-3.507670994523066,-0.8396414619979714,0.20907894532797217,0.49880487900180825,0.11940038233652686,-0.03225765144214564,0.18114815358132513,0.04336196317977014,-0.01920980324436513,0.19535834840011027,0.23976998056356152
