model,model_label,persona,domain,construction,raw_composite_projection,within_model_percentile,pc1,pc2,pc3
qwen,Qwen/Qwen3-32B,aberration,Openness,human_anchored_strict,0.256838412257939,97.27272727272727,-47.93762578341881,-16.326007106437135,31.10837994068234
qwen,Qwen/Qwen3-32B,absurdist,Openness,human_anchored_strict,0.271145699674209,98.36363636363636,-34.38396676716284,14.55109908938147,33.406228337123466
qwen,Qwen/Qwen3-32B,accountant,Openness,human_anchored_strict,0.07067349459011225,2.727272727272727,42.24790302485423,-4.026883124169549,7.345582691417099
qwen,Qwen/Qwen3-32B,activist,Openness,human_anchored_strict,0.19223215184587872,72.9090909090909,13.519598034170489,4.204792712031452,-8.246736028177706
qwen,Qwen/Qwen3-32B,actor,Openness,human_anchored_strict,0.21363171261610922,83.81818181818181,-23.89004845129744,21.456843196797983,0.28310250054088654
qwen,Qwen/Qwen3-32B,addict,Openness,human_anchored_strict,0.21918858362002713,86.0,-19.963020546393704,38.66393954527176,-16.28229715869853
qwen,Qwen/Qwen3-32B,adolescent,Openness,human_anchored_strict,0.22641072892968145,89.63636363636364,-15.45010533714626,78.08059631966728,-7.233790274763137
qwen,Qwen/Qwen3-32B,advocate,Openness,human_anchored_strict,0.14774771602779505,44.18181818181818,13.533940143861242,2.701166392523508,-11.350794543485724
qwen,Qwen/Qwen3-32B,alien,Openness,human_anchored_strict,0.1997999180681022,78.36363636363636,-20.463192597578004,-22.757723956655372,12.343088809973633
qwen,Qwen/Qwen3-32B,altruist,Openness,human_anchored_strict,0.11331506758461651,17.272727272727273,11.355226573617275,-3.9140554770542524,-24.74471677556319
qwen,Qwen/Qwen3-32B,amateur,Openness,human_anchored_strict,0.1660491674524811,55.45454545454545,-0.258632816025379,40.070455881847,-24.428541419933254
qwen,Qwen/Qwen3-32B,ambassador,Openness,human_anchored_strict,0.09286593454597705,7.818181818181818,29.687363638232775,-8.415887622622742,-8.973791647128397
qwen,Qwen/Qwen3-32B,amnesiac,Openness,human_anchored_strict,0.2137287924329905,84.18181818181819,-42.409067288043374,13.632674404389606,-10.732726414715174
qwen,Qwen/Qwen3-32B,analyst,Openness,human_anchored_strict,0.10548488716244502,14.363636363636363,42.52076402902483,-6.588173530267823,7.2547088066858905
qwen,Qwen/Qwen3-32B,anarchist,Openness,human_anchored_strict,0.2204239488361403,87.0909090909091,7.030221450455893,-4.272104727395262,9.464346589503284
qwen,Qwen/Qwen3-32B,ancient,Openness,human_anchored_strict,0.18753291973952885,68.9090909090909,-38.00947156079938,-32.79258504165284,3.3089624117832828
qwen,Qwen/Qwen3-32B,angel,Openness,human_anchored_strict,0.12925659384443722,28.545454545454547,-40.46316823100484,-28.855131378755974,-30.585188351624783
qwen,Qwen/Qwen3-32B,anthropologist,Openness,human_anchored_strict,0.13686378395227417,36.18181818181818,31.896983355445162,-20.196809991117853,0.9589580546314816
qwen,Qwen/Qwen3-32B,archaeologist,Openness,human_anchored_strict,0.1356003199628823,35.45454545454545,15.677278930715529,-19.48160604872759,1.9018414724826036
qwen,Qwen/Qwen3-32B,architect,Openness,human_anchored_strict,0.129613382932084,28.90909090909091,30.971303297499983,-9.428450369365628,-2.1820744775391088
qwen,Qwen/Qwen3-32B,archivist,Openness,human_anchored_strict,0.10271044889352664,12.909090909090908,26.864606386005327,-17.74068668111621,-1.4838599962482955
qwen,Qwen/Qwen3-32B,artisan,Openness,human_anchored_strict,0.15078517313869771,46.72727272727273,-13.802243545463051,-12.174625826618733,-14.988344844417645
qwen,Qwen/Qwen3-32B,ascetic,Openness,human_anchored_strict,0.1500670614236348,46.0,-40.43957584184208,-40.35086932082816,-4.578671988475237
qwen,Qwen/Qwen3-32B,assistant,Openness,human_anchored_strict,0.09879369002925538,9.272727272727273,33.702802703308954,3.441718014945549,-5.155533989826894
qwen,Qwen/Qwen3-32B,auctioneer,Openness,human_anchored_strict,0.18225833610680212,64.54545454545455,-9.959454017795148,16.724854908732908,12.636633764147502
qwen,Qwen/Qwen3-32B,auditor,Openness,human_anchored_strict,0.07372707509684698,4.181818181818182,48.15501628203943,-12.294598875527148,13.609156371558782
qwen,Qwen/Qwen3-32B,avatar,Openness,human_anchored_strict,0.17268113841013724,58.36363636363637,-38.014888855169794,-35.41692332791878,-12.98249690890751
qwen,Qwen/Qwen3-32B,bard,Openness,human_anchored_strict,0.1642687068961899,54.0,-54.347913128926315,-24.25955982565874,-2.864858782682269
qwen,Qwen/Qwen3-32B,bartender,Openness,human_anchored_strict,0.19101536252116774,71.45454545454545,-16.599115137003324,36.32504789647164,-2.7782731149755246
qwen,Qwen/Qwen3-32B,biologist,Openness,human_anchored_strict,0.11818835066697965,21.272727272727273,32.238651124195414,-16.158082910987353,4.347481344692837
qwen,Qwen/Qwen3-32B,blogger,Openness,human_anchored_strict,0.18423945960766264,66.0,-0.32169028537554156,20.848443683512325,-14.39134505138567
qwen,Qwen/Qwen3-32B,bohemian,Openness,human_anchored_strict,0.2579988831841815,97.63636363636364,-42.55143579171225,2.697174329861749,-6.445254502335886
qwen,Qwen/Qwen3-32B,builder,Openness,human_anchored_strict,0.13486239548998857,33.63636363636363,14.492160790570528,-0.14231249992708422,-2.4334242980699576
qwen,Qwen/Qwen3-32B,caregiver,Openness,human_anchored_strict,0.11144813748095819,16.90909090909091,1.34461182945744,14.616833977313346,-43.370517142750685
qwen,Qwen/Qwen3-32B,cartographer,Openness,human_anchored_strict,0.12627022389395626,27.09090909090909,22.160098503586283,-15.313847139534198,2.380007209266819
qwen,Qwen/Qwen3-32B,caveman,Openness,human_anchored_strict,0.16008714709120184,51.09090909090909,-54.94208896617481,15.489350122355402,0.402669693604233
qwen,Qwen/Qwen3-32B,celebrity,Openness,human_anchored_strict,0.19518047267271096,75.45454545454545,-6.950382540217894,33.26173521633582,-10.510408542050786
qwen,Qwen/Qwen3-32B,chameleon,Openness,human_anchored_strict,0.18676963011111986,68.18181818181819,-0.6396592389779526,15.88044389874112,-5.605038215957304
qwen,Qwen/Qwen3-32B,chef,Openness,human_anchored_strict,0.14800440787885036,44.54545454545455,4.481305656823986,12.232802470744868,-8.702588629410563
qwen,Qwen/Qwen3-32B,chemist,Openness,human_anchored_strict,0.12087523423216479,23.818181818181817,29.418353579489857,-11.171391097730803,8.463366678958632
qwen,Qwen/Qwen3-32B,chimera,Openness,human_anchored_strict,0.2242084673191686,88.18181818181819,-37.314148493897854,-16.363016104488477,9.316700524729951
qwen,Qwen/Qwen3-32B,coach,Openness,human_anchored_strict,0.13502010106834,34.36363636363637,24.85386036582791,11.699203936117797,-14.839956651636259
qwen,Qwen/Qwen3-32B,collaborator,Openness,human_anchored_strict,0.12027000311985098,23.09090909090909,25.719882231088413,9.670900509518958,-17.672557513820102
qwen,Qwen/Qwen3-32B,collector,Openness,human_anchored_strict,0.14308510839933852,41.63636363636363,11.761807600496583,-12.938380332072617,1.1974935684814554
qwen,Qwen/Qwen3-32B,comedian,Openness,human_anchored_strict,0.25682213716128655,96.9090909090909,-24.029318289105223,56.60365202095446,31.280026959646676
qwen,Qwen/Qwen3-32B,competitor,Openness,human_anchored_strict,0.2196226740904806,86.72727272727273,-5.7259921510185805,27.91731304166791,25.667225189433402
qwen,Qwen/Qwen3-32B,composer,Openness,human_anchored_strict,0.1713136603179142,58.0,1.7742423362660258,-17.582766266362462,-4.9009281394375135
qwen,Qwen/Qwen3-32B,conservator,Openness,human_anchored_strict,0.10190223284317328,11.454545454545455,23.52366349298268,-16.820637679705257,-6.184637657945053
qwen,Qwen/Qwen3-32B,consultant,Openness,human_anchored_strict,0.11001661461274506,16.181818181818183,41.02661400378882,-2.6911010288176493,3.4713707391507294
qwen,Qwen/Qwen3-32B,contrarian,Openness,human_anchored_strict,0.24366431177778608,95.0909090909091,-3.5866920053225377,13.934090578762897,26.0834463593526
qwen,Qwen/Qwen3-32B,coordinator,Openness,human_anchored_strict,0.1025038824750442,12.181818181818182,39.38631405231132,-2.15572575120811,-3.194771654926164
qwen,Qwen/Qwen3-32B,coral_reef,Openness,human_anchored_strict,0.17311597475721796,58.72727272727273,-32.638841044473764,-19.931583310657068,-10.83820546425814
qwen,Qwen/Qwen3-32B,cosmopolitan,Openness,human_anchored_strict,0.1620504380521341,53.27272727272727,8.799584677579675,0.17725554335550398,-7.825350531054114
qwen,Qwen/Qwen3-32B,counselor,Openness,human_anchored_strict,0.12514757987193026,26.363636363636363,10.85215315554987,12.970002498399612,-36.167330605539625
qwen,Qwen/Qwen3-32B,criminal,Openness,human_anchored_strict,0.22951142519506973,91.0909090909091,-37.55570410505774,37.4339322473068,26.9917189105421
qwen,Qwen/Qwen3-32B,critic,Openness,human_anchored_strict,0.1443498682996942,42.0,25.623399867215582,-14.771249773465241,6.802532891448907
qwen,Qwen/Qwen3-32B,crystalline,Openness,human_anchored_strict,0.17698742100468845,60.54545454545455,-10.335204484463103,-44.00800269921331,8.552672342635331
qwen,Qwen/Qwen3-32B,curator,Openness,human_anchored_strict,0.1506944925806314,46.36363636363637,20.167390400366333,-8.791541750718388,-4.625589822957963
qwen,Qwen/Qwen3-32B,cyborg,Openness,human_anchored_strict,0.16757717702821226,56.18181818181818,16.71541533002668,-10.173249074009295,10.101060115095374
qwen,Qwen/Qwen3-32B,cynic,Openness,human_anchored_strict,0.24832342943289268,96.18181818181819,-21.40683523636408,40.71202851103861,36.281452987272154
qwen,Qwen/Qwen3-32B,daredevil,Openness,human_anchored_strict,0.2721919604442641,98.72727272727273,-29.846147037757703,43.747371252150835,26.447962682172165
qwen,Qwen/Qwen3-32B,debugger,Openness,human_anchored_strict,0.1261408294056155,26.727272727272727,37.8366557821158,0.42248873599611586,10.867375330242432
qwen,Qwen/Qwen3-32B,demon,Openness,human_anchored_strict,0.22441762409122673,88.54545454545455,-51.93527758399659,-11.47572093681616,29.91920040248774
qwen,Qwen/Qwen3-32B,designer,Openness,human_anchored_strict,0.16186836206417596,52.54545454545455,26.603795947644183,-2.526747552089826,-5.1763196868687045
qwen,Qwen/Qwen3-32B,destroyer,Openness,human_anchored_strict,0.23831120623561003,94.0,-3.1182599972090443,-3.2045875038541594,23.321852655755873
qwen,Qwen/Qwen3-32B,detective,Openness,human_anchored_strict,0.13727320422191802,37.27272727272727,21.4095678183859,-2.2616695455957254,11.640713550229227
qwen,Qwen/Qwen3-32B,devils_advocate,Openness,human_anchored_strict,0.20488022871031164,79.0909090909091,6.519322027361246,7.660096503647508,21.46007710323908
qwen,Qwen/Qwen3-32B,dilettante,Openness,human_anchored_strict,0.2053142332515862,80.18181818181819,-3.3502571374728976,18.002389085697697,1.5071442501551475
qwen,Qwen/Qwen3-32B,dispatcher,Openness,human_anchored_strict,0.10499626908377743,14.0,37.51651838369674,-3.009267955799515,5.132192364097119
qwen,Qwen/Qwen3-32B,divorcee,Openness,human_anchored_strict,0.18614577217966155,67.81818181818181,-6.764238202938425,31.756334703385317,-25.89750495255547
qwen,Qwen/Qwen3-32B,doctor,Openness,human_anchored_strict,0.07899222114096834,5.2727272727272725,34.77909376294955,-0.04533415279151362,-11.466025149276462
qwen,Qwen/Qwen3-32B,dreamer,Openness,human_anchored_strict,0.21653828709562778,85.27272727272727,-45.56207730496772,-22.887757313201586,-7.693470275086384
qwen,Qwen/Qwen3-32B,echo,Openness,human_anchored_strict,0.19348325695388052,74.0,-49.8922121298278,-33.35410333583616,0.20762010468398248
qwen,Qwen/Qwen3-32B,economist,Openness,human_anchored_strict,0.11786916031102271,20.90909090909091,42.59133871395098,-10.492469039750542,16.670072620394993
qwen,Qwen/Qwen3-32B,ecosystem,Openness,human_anchored_strict,0.14292338230239185,41.27272727272727,12.478176049517112,-15.406081311935555,-15.34884142082953
qwen,Qwen/Qwen3-32B,editor,Openness,human_anchored_strict,0.07084975006080727,3.090909090909091,34.6198141862948,-2.1147398337502397,-5.09515845039308
qwen,Qwen/Qwen3-32B,egregore,Openness,human_anchored_strict,0.20957770072507056,82.36363636363636,-23.836736510006066,-31.56634952751225,5.029204373434583
qwen,Qwen/Qwen3-32B,elder,Openness,human_anchored_strict,0.14743229429706994,43.81818181818182,-35.70588421211717,-4.929585177742714,-20.673806430862484
qwen,Qwen/Qwen3-32B,eldritch,Openness,human_anchored_strict,0.23094089279508462,92.54545454545455,-52.716801865533384,-39.48134636479556,15.742466419829675
qwen,Qwen/Qwen3-32B,emissary,Openness,human_anchored_strict,0.12244532403205347,24.90909090909091,22.521750906734518,-11.756823504297014,-11.199281983806408
qwen,Qwen/Qwen3-32B,empath,Openness,human_anchored_strict,0.17799199821079487,61.27272727272727,-15.630732463790354,3.8726537741772336,-36.85070106278984
