model,model_label,persona,group,group_mean_trait_percentile,group_mean_trait_z,pc1,pc2,pc3,trait_1,percentile_1,raw_cosine_1,z_1,trait_2,percentile_2,raw_cosine_2,z_2,trait_3,percentile_3,raw_cosine_3,z_3
qwen,Qwen/Qwen3-32B,aberration,Exploration,81.15151515151514,1.1031796560626779,-47.93762578341881,-16.326007106437135,31.10837994068234,creative,96.9090909090909,0.3349973090831352,1.6752804317413474,abstract,95.0909090909091,0.2850000831128762,1.5809651224408579,curious,51.45454545454545,0.41219846253248793,0.053293414005828446
qwen,Qwen/Qwen3-32B,absurdist,Exploration,81.5151515151515,1.1175412054919514,-34.38396676716284,14.55109908938147,33.406228337123466,creative,99.81818181818181,0.36004430340545285,2.089101435295731,abstract,59.45454545454545,0.22139099715960797,0.25245466689107426,curious,85.27272727272727,0.43662581436536385,1.0110675142890488
qwen,Qwen/Qwen3-32B,accountant,Exploration,11.575757575757576,-1.4397711593558904,42.24790302485423,-4.026883124169549,7.345582691417099,creative,4.181818181818182,0.12862868818441187,-1.734297128882362,abstract,26.727272727272727,0.179819086252414,-0.6157973676998051,curious,3.8181818181818183,0.3606157126372776,-1.9692189814855035
qwen,Qwen/Qwen3-32B,activist,Exploration,52.42424242424243,0.0642795713266934,13.519598034170489,4.204792712031452,-8.246736028177706,creative,42.36363636363637,0.21948442844838895,-0.23319830916432646,abstract,54.0,0.2125705081948244,0.06823394374807201,curious,60.90909090909091,0.4199647664352617,0.35780307939633466
qwen,Qwen/Qwen3-32B,actor,Exploration,68.3030303030303,0.6272017080630586,-23.89004845129744,21.456843196797983,0.28310250054088654,creative,84.54545454545455,0.2981757007990256,1.0669218120789685,abstract,26.0,0.17924824260974684,-0.6277197485421363,curious,94.36363636363636,0.44762672276947113,1.4424030606523437
qwen,Qwen/Qwen3-32B,addict,Exploration,48.666666666666664,0.020999902662258967,-19.963020546393704,38.66393954527176,-16.28229715869853,creative,63.45454545454545,0.26494814703180536,0.5179433810280061,abstract,10.0,0.1540676841554472,-1.1536294465323929,curious,72.54545454545455,0.4286587387403498,0.6986857734911637
qwen,Qwen/Qwen3-32B,adolescent,Exploration,37.515151515151516,-0.8819867715000879,-15.45010533714626,78.08059631966728,-7.233790274763137,creative,62.36363636363637,0.2627893760337902,0.4822766351763201,abstract,0.9090909090909091,0.06049202293741652,-3.1080081716797667,curious,49.27272727272727,0.4103233309633196,-0.020228777996817254
qwen,Qwen/Qwen3-32B,advocate,Exploration,49.27272727272727,-0.05067963175857706,13.533940143861242,2.701166392523508,-11.350794543485724,creative,38.0,0.20576959035341075,-0.45979188726055037,abstract,47.09090909090909,0.20485191816767823,-0.09297301905437196,curious,62.72727272727273,0.4210594854850131,0.4007260110391912
qwen,Qwen/Qwen3-32B,alien,Exploration,82.24242424242424,1.040638387780244,-20.463192597578004,-22.757723956655372,12.343088809973633,creative,81.63636363636364,0.295218726478307,1.0180673241856246,abstract,92.18181818181819,0.27639971625930654,1.401341769655609,curious,72.9090909090909,0.4287561726912927,0.702506069499499
qwen,Qwen/Qwen3-32B,altruist,Exploration,41.75757575757576,-0.2798197658039313,11.355226573617275,-3.9140554770542524,-24.74471677556319,creative,27.09090909090909,0.1836055805697807,-0.8259808460402659,abstract,57.27272727272727,0.2183661253414022,0.18927856905912974,curious,40.90909090909091,0.4056680770824207,-0.20275702043065777
qwen,Qwen/Qwen3-32B,amateur,Exploration,47.93939393939394,-0.17313429657158688,-0.258632816025379,40.070455881847,-24.428541419933254,creative,49.27272727272727,0.23502425372344568,0.02354731099392888,abstract,4.181818181818182,0.1261275202393051,-1.7371750098130798,curious,90.36363636363636,0.44129711178287506,1.1942248091043903
qwen,Qwen/Qwen3-32B,ambassador,Exploration,27.454545454545453,-0.6993898548400802,29.687363638232775,-8.415887622622742,-8.973791647128397,creative,10.0,0.1567977065702371,-1.2688947214095672,abstract,56.54545454545455,0.2166354303698119,0.15313206057425138,curious,15.818181818181818,0.38578365757360233,-0.982406903684925
