persona,cluster,distance_from_centroid,cos_to_editor,cos_to_synthesizer,cos_to_blogger,cos_to_ancient,cos_to_trickster,cos_to_contrarian,cos_to_podcaster,nearest_named_cluster,nearest_cluster_cosine
maverick,combative_iconoclast,0.002570748,0.958495557,0.977201581,0.985752821,0.973386467,0.988022625,0.997429252,0.985537410,,
contrarian,combative_iconoclast,0.002972364,0.965944231,0.980284929,0.983667433,0.973289311,0.985905111,0.997027636,0.983618498,,
provocateur,combative_iconoclast,0.004404902,0.945577025,0.964543462,0.977831125,0.969588637,0.986379087,0.995595098,0.980784297,,
rebel,combative_iconoclast,0.004446030,0.946661651,0.967197835,0.982601166,0.972168326,0.985200822,0.995553970,0.983656168,,
devils advocate,combative_iconoclast,0.006433964,0.976620793,0.986974835,0.984773159,0.974399805,0.983852625,0.993566036,0.983568192,,
cynic,combative_iconoclast,0.008274794,0.942287743,0.957988858,0.976175308,0.957172632,0.981849909,0.991725206,0.979995966,,
competitor,combative_iconoclast,0.010469496,0.960016549,0.973861516,0.984466314,0.964909196,0.978280246,0.989530504,0.981058776,,
workaholic,combative_iconoclast,0.010763049,0.967583179,0.978806138,0.982020736,0.966132998,0.975521684,0.989236951,0.980546355,,
editor,editorial,0.002152264,0.997847736,0.993316591,0.976500273,0.962839842,0.962239027,0.965730369,0.970145583,,
grader,editorial,0.002332330,0.997667670,0.989497364,0.969052196,0.955710709,0.956644475,0.960847974,0.965337336,,
examiner,editorial,0.004109263,0.995890737,0.993129194,0.968863487,0.957993090,0.956853390,0.964530468,0.964081109,,
screener,editorial,0.004722893,0.995277107,0.989128172,0.969018936,0.952986121,0.953584969,0.961696088,0.962586284,,
proofreader,editorial,0.011202335,0.988797665,0.971164882,0.954232216,0.941233575,0.944029689,0.943935633,0.950968027,,
actor,grounded_social,0.004190564,0.963122606,0.979390919,0.995809436,0.985836983,0.991577566,0.986667812,0.994505763,,
blogger,grounded_social,0.004387021,0.973925471,0.988430381,0.995612979,0.978283882,0.983311594,0.984523058,0.989515901,,
chameleon,grounded_social,0.004501820,0.977844775,0.990651488,0.995498180,0.981240511,0.987136304,0.984980464,0.991211534,,
retiree,grounded_social,0.006242871,0.968373537,0.982439518,0.993757129,0.973505795,0.979816794,0.977048099,0.987026274,,
survivor,grounded_social,0.006883979,0.954100311,0.975029826,0.993116021,0.980922937,0.977269709,0.978951573,0.985760212,,
celebrity,grounded_social,0.007073343,0.962046921,0.978637218,0.992926657,0.970081925,0.978688598,0.981765032,0.985955596,,
graduate,grounded_social,0.008318901,0.972657740,0.984463274,0.991681099,0.964506030,0.974921465,0.978936315,0.986576080,,
expatriate,grounded_social,0.008413434,0.980386138,0.991832852,0.991586566,0.972334862,0.975924611,0.978738904,0.983308136,,
orphan,grounded_social,0.009073555,0.946853518,0.967350364,0.990926445,0.970168173,0.973058581,0.974856079,0.985787570,,
presenter,grounded_social,0.009512126,0.987450719,0.995956302,0.990487874,0.972083926,0.976394415,0.979515135,0.984179318,,
immigrant,grounded_social,0.009923339,0.965301931,0.981494009,0.990076661,0.975908101,0.971804500,0.969479501,0.982050240,,
divorcee,grounded_social,0.010071278,0.958609343,0.975772202,0.989928722,0.967690825,0.971808851,0.973355770,0.982347906,,
refugee,grounded_social,0.010822833,0.958479285,0.976420224,0.989177167,0.975975811,0.968773961,0.968160152,0.981546640,,
amateur,grounded_social,0.010905504,0.963179231,0.976484358,0.989094496,0.962082624,0.973801196,0.970581532,0.986171484,,
fixer,grounded_social,0.011000395,0.963153124,0.977440357,0.988999605,0.976051807,0.983101666,0.988636255,0.984108686,,
shapeshifter,grounded_social,0.011169970,0.962875724,0.980434537,0.988830030,0.994982719,0.986475468,0.976985157,0.987273932,,
parent,grounded_social,0.011197150,0.970329165,0.982854486,0.988802850,0.965151072,0.969773948,0.969752848,0.982695341,,
veteran,grounded_social,0.011722744,0.969947398,0.982090533,0.988277256,0.965704322,0.967771292,0.976566553,0.977886856,,
patient,grounded_social,0.011782527,0.965235054,0.978716969,0.988217473,0.965424538,0.966363549,0.968424439,0.981389523,,
playwright,grounded_social,0.011791885,0.971054077,0.983119369,0.988208115,0.983238995,0.985717773,0.980479896,0.986308873,,
newlywed,grounded_social,0.012651145,0.958997190,0.974388003,0.987348855,0.962710381,0.970250309,0.966841102,0.981497407,,
chef,grounded_social,0.012749791,0.972987294,0.984222472,0.987250209,0.972622454,0.977636695,0.972492576,0.980904698,,
influencer,grounded_social,0.012882829,0.961870968,0.977233469,0.987117171,0.959153056,0.975974917,0.980266154,0.983180165,,
provincial,grounded_social,0.012912512,0.950245023,0.968198955,0.987087488,0.972395062,0.971373022,0.966113091,0.981504798,,
prisoner,grounded_social,0.013049066,0.944107294,0.962803602,0.986950934,0.963670015,0.969045758,0.976026177,0.981382251,,
mechanic,grounded_social,0.013079107,0.973169327,0.983483255,0.986920893,0.964181960,0.972415984,0.976818323,0.981770396,,
bartender,grounded_social,0.013303280,0.952886581,0.967605531,0.986696720,0.965175509,0.980197608,0.972080469,0.981821895,,
student,grounded_social,0.013322949,0.983591557,0.989113450,0.986677051,0.962891221,0.968706250,0.971380770,0.982465446,,
rogue,grounded_social,0.013813674,0.951583385,0.967924237,0.986186326,0.976160407,0.987591922,0.985967398,0.984631896,,
