concept_type,variant,model,split,PC1_R2,PC1_Pearson_r,PC1_Spearman_r,PC1_RMSE,PC2_R2,PC2_Pearson_r,PC2_Spearman_r,PC2_RMSE,PC3_R2,PC3_Pearson_r,PC3_Spearman_r,PC3_RMSE,mean_R2
trait,description_only,mean_predictor,train,0.0,,,43.88844829994539,0.0,,,29.96880386201037,0.0,,,25.71950847841671,0.0
trait,description_only,mean_predictor,heldout,-0.029057556122331185,,,44.99266499370772,-0.03421351522279936,,,32.596047949537834,-0.006521665733420612,,,33.2884987796416,-0.023264245692850388
trait,description_only,random_predictor,heldout,-0.3452538450253928,0.17888672936102315,0.2078799249530957,51.44272976468815,-0.8931446391686229,-0.16514184448093847,-0.18949343339587246,44.10133553500918,-0.27239288236909287,0.023029269505477894,0.009756097560975611,37.427710517558914,-0.5035971221877028
trait,description_only,nearest_neighbor_semantic_retrieval,heldout,-0.07660023508748837,0.45390394441591647,0.4015013012177817,46.02026552828209,-0.4717590346800993,0.32044307924344145,0.3702556986691673,38.88465040848103,-0.3051447241941947,0.3112640532913504,0.2596293761321809,37.90635123052351,-0.28450133132059413
trait,description_only,ridge_tfidf,train,0.8768714059360527,0.99187555928222,0.9922733068326709,15.4003179298922,0.8754154512030156,0.9913965820864693,0.9922883072076804,10.577949789836811,0.8575870238505215,0.9919218874303966,0.9905122628065702,9.705936503235382,0.8699579603298634
trait,description_only,ridge_tfidf,heldout,0.33028032938830454,0.6516524291055898,0.6200750469043153,36.29680618701249,0.0759887531082788,0.3042005520193514,0.32232645403377114,30.810480564437313,0.1695036613751434,0.4769121293329269,0.4384615384615385,30.23789170726292,0.19192424795724225
trait,description_only,elastic_net_tfidf,train,0.9926218324350873,0.9995433127331519,0.999380484512113,3.7698535873538424,0.9917975831455333,0.9994388663579339,0.999017475436886,2.7141905106166853,0.9900922482377194,0.9994611968990983,0.9985209630240757,2.560060465978243,0.9915038879394467
trait,description_only,elastic_net_tfidf,heldout,0.37587667544569503,0.6580150210571516,0.6311444652908068,35.03943474967489,0.08680402338530535,0.3371915833318574,0.3386491557223265,30.629636178210514,0.18766168621826929,0.4501543074816073,0.40375234521575987,29.90550323051504,0.21678079501642322
trait,description_only,gradient_boosting_tfidf,train,0.6307072669317879,0.8789843484445669,0.8410265287840266,26.67077325810756,0.5843000005297732,0.8773307033265239,0.8573106685170724,19.32232672348992,0.6000154415738492,0.8720158642195246,0.7979286480365444,16.266131440933716,0.6050075696784701
trait,description_only,gradient_boosting_tfidf,heldout,0.07011475712394688,0.4770351825560643,0.5408755301853319,42.769735333278106,-0.0161918351057575,0.19765145511224005,0.15283645552654568,32.31079873767759,-0.03558141129229364,0.07676929757468526,0.11260407407517488,33.765623172110416,0.006113836908631913
trait,description_only,small_mlp_tfidf,train,0.8873788923128048,0.9445123819921738,0.9490077251931299,14.728554417346558,0.8846048035791919,0.9420744653107322,0.938033450836271,10.180363255452477,0.9062466965071908,0.953578608841067,0.9566684167104179,7.875097770667182,0.8927434641330625
