model,model_label,trait_set,K,profile_id,profile_size,profile_proportion,eligible_primary_k,human_stability_tier,projection_status,model_usability_gate,ridge_pc1,ridge_pc2,ridge_pc3,display_aligned_x,display_aligned_y,display_aligned_z
qwen,Qwen 3 32B,45,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,199.605422055,705.516554307,393.875138888,6.64799801875,32.8526530063,25.0132644264
qwen,Qwen 3 32B,45,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,-465.24435891,-410.391793741,-174.105800079,-15.4952883766,-19.1100536395,-11.0566877306
qwen,Qwen 3 32B,45,4,H04_C,3304,0.232577784035,True,moderate,PRIMARY_ELIGIBLE,USABLE,496.341585041,410.911649719,100.651459547,16.5310032163,19.1342609356,6.39192811115
qwen,Qwen 3 32B,45,4,H04_D,2183,0.153667464452,True,moderate,PRIMARY_ELIGIBLE,USABLE,-409.412592179,-500.517666604,-51.5141039847,-13.6357723835,-23.3067999951,-3.27143243489
qwen,Qwen 3 32B,45,5,H05_A,3405,0.239687456005,True,moderate,PRIMARY_ELIGIBLE,USABLE,-382.63803278,-336.221639747,-247.504029143,-12.744026979,-15.6562915446,-15.7178839594
qwen,Qwen 3 32B,45,5,H05_B,3813,0.26840771505,True,moderate,PRIMARY_ELIGIBLE,USABLE,173.60210059,690.294643493,378.223156407,5.78193923236,32.1438388034,24.0192763881
qwen,Qwen 3 32B,45,5,H05_C,2847,0.200408278192,True,moderate,PRIMARY_ELIGIBLE,USABLE,488.863339505,402.703894545,78.2797644732,16.2819350246,18.7520636206,4.9712009078
qwen,Qwen 3 32B,45,5,H05_D,1730,0.121779529776,True,moderate,PRIMARY_ELIGIBLE,USABLE,-274.97693084,-506.473218819,-83.1427454918,-9.15829877067,-23.5841226025,-5.28002727968
qwen,Qwen 3 32B,45,5,H05_E,2411,0.169717020977,True,moderate,PRIMARY_ELIGIBLE,USABLE,-303.89794305,-169.968210519,207.500154148,-10.1215332855,-7.9146358908,13.1774151546
qwen,Qwen 3 32B,45,6,H06_A,2967,0.208855413206,True,moderate,PRIMARY_ELIGIBLE,USABLE,-251.861011358,-255.484294072,-280.262180049,-8.38840692436,-11.8967256126,-17.7982089401
qwen,Qwen 3 32B,45,6,H06_B,2874,0.20230888357,True,moderate,PRIMARY_ELIGIBLE,USABLE,-41.2332672516,542.58569456,430.072567396,-1.3733027699,25.2657140938,27.3120026848
qwen,Qwen 3 32B,45,6,H06_C,2479,0.174503730818,True,moderate,PRIMARY_ELIGIBLE,USABLE,512.715761848,476.391987839,107.280079987,17.0763566132,22.1833783714,6.81288241742
qwen,Qwen 3 32B,45,6,H06_D,1741,0.122553850486,True,moderate,PRIMARY_ELIGIBLE,USABLE,-438.696552831,-500.04940184,-168.731415688,-14.6110951497,-23.2849950641,-10.7153843971
qwen,Qwen 3 32B,45,6,H06_E,2507,0.176474728988,True,moderate,PRIMARY_ELIGIBLE,USABLE,-411.295239751,-198.872548913,140.623860046,-13.6984752761,-9.26057766051,8.93039811017
qwen,Qwen 3 32B,45,6,H06_F,1638,0.115303392933,True,moderate,PRIMARY_ELIGIBLE,USABLE,458.881786852,365.649307337,197.787315307,15.2833784695,17.0266023421,12.5605958068
qwen,Qwen 3 32B,45,7,H07_A,1371,0.0965085175278,True,low,PRIMARY_ELIGIBLE,USABLE,294.201372932,6.9421872096,255.645705974,9.79858224406,0.323265649983,16.2349257713
qwen,Qwen 3 32B,45,7,H07_B,2794,0.196677460228,True,low,PRIMARY_ELIGIBLE,USABLE,-330.809887959,-294.808548579,-288.680390395,-11.0178544104,-13.7278748325,-18.33281217
qwen,Qwen 3 32B,45,7,H07_C,2925,0.205898915951,True,low,PRIMARY_ELIGIBLE,USABLE,-131.927059323,523.620946396,405.612328554,-4.39392287027,24.3826132126,25.7586413231
qwen,Qwen 3 32B,45,7,H07_D,2001,0.140855976348,True,low,PRIMARY_ELIGIBLE,USABLE,446.678446798,496.126524218,47.3752458671,14.8769377042,23.1023247404,3.00859189915
qwen,Qwen 3 32B,45,7,H07_E,1531,0.107771364212,True,low,PRIMARY_ELIGIBLE,USABLE,-441.703031729,-490.078224388,-120.707610179,-14.7112280297,-22.8206833043,-7.66560534945
qwen,Qwen 3 32B,45,7,H07_F,1364,0.0960157679854,True,low,PRIMARY_ELIGIBLE,USABLE,461.61594886,355.091677757,117.17024102,15.3744416452,16.5349822107,7.44096271168
qwen,Qwen 3 32B,45,7,H07_G,2220,0.156271997747,True,low,PRIMARY_ELIGIBLE,USABLE,-440.373160792,-180.920705104,103.724378284,-14.6669357491,-8.42464306492,6.58707556105
qwen,Qwen 3 32B,45,8,H08_A,1266,0.0891172743911,True,low,PRIMARY_ELIGIBLE,USABLE,203.623880121,-81.9130317183,257.629491493,6.78183557179,-3.81431221041,16.3609071975
qwen,Qwen 3 32B,45,8,H08_B,2247,0.158172603125,True,low,PRIMARY_ELIGIBLE,USABLE,-490.860795774,-430.51832137,-151.115384745,-16.348461701,-20.0472532338,-9.59666834564
qwen,Qwen 3 32B,45,8,H08_C,2489,0.175207658736,True,low,PRIMARY_ELIGIBLE,USABLE,-409.478445359,74.2301587601,126.007369557,-13.6379656697,3.45655624019,8.00216957918
qwen,Qwen 3 32B,45,8,H08_D,1880,0.132338448543,True,low,PRIMARY_ELIGIBLE,USABLE,340.869755797,193.277513586,-309.702310112,11.3529053362,9.00004266236,-19.6678211226
qwen,Qwen 3 32B,45,8,H08_E,1945,0.136913980008,True,low,PRIMARY_ELIGIBLE,USABLE,368.039038113,545.940306795,223.76970841,12.2577972633,25.4219229185,14.2106224395
qwen,Qwen 3 32B,45,8,H08_F,1206,0.0848937068844,True,low,PRIMARY_ELIGIBLE,USABLE,401.847910763,369.673891918,98.0493146065,13.3838253845,17.2140086898,6.22667741863
qwen,Qwen 3 32B,45,8,H08_G,1237,0.0870758834295,True,low,PRIMARY_ELIGIBLE,USABLE,-253.900862158,-353.585428129,7.59147198801,-8.45634558023,-16.4648431103,0.482100740751
