model,model_label,trait_set,K,profile_id,profile_size,profile_proportion,eligible_primary_k,human_stability_tier,projection_status,model_usability_gate,neighbor_type,neighbor_rank,role,trait_shape_similarity,trait_shape_distance,native_pc_standardized_distance_from_ridge
qwen,Qwen 3 32B,12,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,shape_support,1,traditionalist,-0.535313846687,1.7523206594,20.3383107234
qwen,Qwen 3 32B,12,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,shape_support,2,judge,-0.555332998845,1.76370802507,20.1787876798
qwen,Qwen 3 32B,12,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,shape_support,3,purist,-0.557487053452,1.76492892404,19.9102683422
qwen,Qwen 3 32B,12,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,shape_support,4,secretary,-0.557816722008,1.76511570273,20.1020316867
qwen,Qwen 3 32B,12,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,shape_support,5,stoic,-0.560454836052,1.76660965471,20.0024457679
qwen,Qwen 3 32B,12,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,native_pc_nearest,1,comedian,-0.682422716472,1.83435150202,16.0314783835
qwen,Qwen 3 32B,12,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,native_pc_nearest,2,gossip,-0.658210711335,1.82110445133,16.0863689926
qwen,Qwen 3 32B,12,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,native_pc_nearest,3,procrastinator,-0.660743258927,1.82249458651,16.2869632171
qwen,Qwen 3 32B,12,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,native_pc_nearest,4,cynic,-0.5691705496,1.77153636689,16.4154147941
qwen,Qwen 3 32B,12,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,native_pc_nearest,5,daredevil,-0.70557683118,1.84693087644,16.4667759388
qwen,Qwen 3 32B,12,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,native_pc_nearest,6,criminal,-0.61495316424,1.79719401526,16.5071900259
qwen,Qwen 3 32B,12,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,native_pc_nearest,7,smuggler,-0.63567370376,1.80868665266,16.799287373
qwen,Qwen 3 32B,12,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,native_pc_nearest,8,fool,-0.712230365396,1.85052985136,16.8473802513
qwen,Qwen 3 32B,12,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,native_pc_nearest,9,pirate,-0.63299861619,1.80720702532,16.8783096826
qwen,Qwen 3 32B,12,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,native_pc_nearest,10,jester,-0.635085995325,1.8083616869,16.8870894854
qwen,Qwen 3 32B,12,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,shape_support,1,optimist,0.461399048354,1.03788337654,1.41496758918
qwen,Qwen 3 32B,12,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,shape_support,2,toddler,0.44764396495,1.05105283887,2.7874138872
qwen,Qwen 3 32B,12,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,shape_support,3,caregiver,0.42155000446,1.07559285563,1.53039854406
qwen,Qwen 3 32B,12,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,shape_support,4,romantic,0.420216206893,1.07683219965,2.90703741577
qwen,Qwen 3 32B,12,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,shape_support,5,angel,0.419729427521,1.07728415238,4.00377115189
qwen,Qwen 3 32B,12,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,native_pc_nearest,1,newlywed,0.3834974594,1.11040761939,1.1024180467
qwen,Qwen 3 32B,12,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,native_pc_nearest,2,parent,0.359980467682,1.13138811406,1.24583758095
qwen,Qwen 3 32B,12,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,native_pc_nearest,3,amateur,0.366889660725,1.12526471488,1.29021954487
qwen,Qwen 3 32B,12,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,native_pc_nearest,4,patient,0.292827466868,1.18926240429,1.343092039
qwen,Qwen 3 32B,12,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,native_pc_nearest,5,optimist,0.461399048354,1.03788337654,1.41496758918
qwen,Qwen 3 32B,12,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,native_pc_nearest,6,divorcee,0.313622837552,1.17164598958,1.43888707285
qwen,Qwen 3 32B,12,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,native_pc_nearest,7,caregiver,0.42155000446,1.07559285563,1.53039854406
qwen,Qwen 3 32B,12,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,native_pc_nearest,8,counselor,0.359701482016,1.13163467425,1.61764905268
qwen,Qwen 3 32B,12,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,native_pc_nearest,9,therapist,0.345075396909,1.14448643775,1.67371130172
