model,model_label,trait_set,K,profile_id,profile_size,profile_proportion,eligible_primary_k,human_stability_tier,projection_status,model_usability_gate,ridge_pc1,ridge_pc2,ridge_pc3,knn_pc1,knn_pc2,knn_pc3,pc_standardized_displacement,disagreement_p95,warning,knn_k,knn_weights
qwen,Qwen 3 32B,12,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,-303.339855827,278.844137779,157.559347146,12.7954300055,-20.9920257582,0.806056036276,20.0853933226,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,12.9467216387,46.4750495924,-42.9826369598,-22.1008949703,15.6124043165,-29.6061658562,2.03332945203,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,4,H04_C,3304,0.232577784035,True,moderate,PRIMARY_ELIGIBLE,USABLE,-180.458657254,164.274819976,113.006804892,-16.1439929138,22.9445939878,31.7753047651,9.97541348483,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,4,H04_D,2183,0.153667464452,True,moderate,PRIMARY_ELIGIBLE,USABLE,61.3907353848,-40.4650105068,9.90060109568,-26.5845048178,13.2581121429,-20.8199039729,4.31066441176,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,5,H05_A,3405,0.239687456005,True,moderate,PRIMARY_ELIGIBLE,USABLE,88.1257588256,1.37237238584,-54.2289760277,-13.8282971974,6.49662427977,-34.016366363,3.6313795895,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,5,H05_B,3813,0.26840771505,True,moderate,PRIMARY_ELIGIBLE,USABLE,-302.635158055,275.875973939,155.464399886,18.7971019584,-14.7297819224,-1.12525495766,19.8790108092,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,5,H05_C,2847,0.200408278192,True,moderate,PRIMARY_ELIGIBLE,USABLE,-156.95798779,156.785183752,108.004266446,-7.39305301354,17.0205364057,30.6671559672,9.53728790922,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,5,H05_D,1730,0.121779529776,True,moderate,PRIMARY_ELIGIBLE,USABLE,122.643855481,-46.1707514654,25.6155839075,-23.0562779711,9.88137465568,-27.234031554,6.44001096874,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,5,H05_E,2411,0.169717020977,True,moderate,PRIMARY_ELIGIBLE,USABLE,-263.371002255,200.447540772,77.3922834719,-22.6806337527,33.474720976,28.6213795206,11.5680365976,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,6,H06_A,2967,0.208855413206,True,moderate,PRIMARY_ELIGIBLE,USABLE,94.3293665068,-3.99519152162,-54.2916459767,-3.43948341986,9.66424343219,-33.6325019062,3.56128854805,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,6,H06_B,2874,0.20230888357,True,moderate,PRIMARY_ELIGIBLE,USABLE,-313.027590209,260.971283918,140.480512492,12.4228334975,-17.5671346878,-0.044346801202,19.0795741923,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,6,H06_C,2479,0.174503730818,True,moderate,PRIMARY_ELIGIBLE,USABLE,-168.260780347,176.791707177,135.485921471,3.86179678647,11.1747703272,27.5178728231,11.7832288054,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,6,H06_D,1741,0.122553850486,True,moderate,PRIMARY_ELIGIBLE,USABLE,102.584957103,-29.4723793132,-30.2860103269,-22.0630024488,15.6925796582,-29.5974269118,4.64554910301,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,6,H06_E,2507,0.176474728988,True,moderate,PRIMARY_ELIGIBLE,USABLE,-263.434452028,223.08398045,70.5116220708,-22.5483553602,33.3880353792,29.1409451516,12.1964267057,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,6,H06_F,1638,0.115303392933,True,moderate,PRIMARY_ELIGIBLE,USABLE,-198.397135649,153.336214468,112.249817377,-22.1135601829,27.8247377023,30.4417669098,9.76077388068,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,7,H07_A,1371,0.0965085175278,True,low,PRIMARY_ELIGIBLE,USABLE,4.46706965666,32.8622405046,84.4834119327,-25.6876136257,31.9082276504,30.360294253,3.57460386326,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,7,H07_B,2794,0.196677460228,True,low,PRIMARY_ELIGIBLE,USABLE,90.4319138298,-0.0890183559428,-59.8291209181,-3.46425663412,9.70080240431,-33.6311940175,3.56500215609,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,7,H07_C,2925,0.205898915951,True,low,PRIMARY_ELIGIBLE,USABLE,-282.392357405,233.117936645,134.405336691,18.9914382254,-11.8325419243,-3.40988584602,17.5025479625,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,7,H07_D,2001,0.140855976348,True,low,PRIMARY_ELIGIBLE,USABLE,-225.578381458,215.119242476,136.675419602,3.97894914017,11.0708417174,27.4756279547,14.0039501216,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,7,H07_E,1531,0.107771364212,True,low,PRIMARY_ELIGIBLE,USABLE,81.9728571768,-24.621121158,-11.8140866351,-30.676537829,6.48208896209,-26.4998759275,4.12092133803,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,7,H07_F,1364,0.0960157679854,True,low,PRIMARY_ELIGIBLE,USABLE,-169.457597832,148.634444141,98.5117853001,-7.39207697283,17.0081702989,30.6643726119,9.21723389117,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,7,H07_G,2220,0.156271997747,True,low,PRIMARY_ELIGIBLE,USABLE,-292.197160501,241.957061171,55.404427596,-22.5427305728,33.4107130186,29.1319343439,13.3079145958,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,8,H08_A,1266,0.0891172743911,True,low,PRIMARY_ELIGIBLE,USABLE,1.1301915526,71.1178786715,94.277038707,-27.7326411047,21.4082475653,31.1236405389,4.72076989283,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,8,H08_B,2247,0.158172603125,True,low,PRIMARY_ELIGIBLE,USABLE,44.910147325,14.7787002758,-36.4921769865,-22.03440663,15.5444012818,-29.6448197285,2.26778856802,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,8,H08_C,2489,0.175207658736,True,low,PRIMARY_ELIGIBLE,USABLE,-125.518609158,172.71903389,37.2752438934,-11.330976787,6.10760872706,-32.8158384533,9.70178389856,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,8,H08_D,1880,0.132338448543,True,low,PRIMARY_ELIGIBLE,USABLE,19.3365771217,89.9450120248,-3.28212355552,36.3358858233,-1.41195442457,-4.49871587604,4.284467468,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,8,H08_E,1945,0.136913980008,True,low,PRIMARY_ELIGIBLE,USABLE,-261.912062189,229.461334393,155.383660186,-24.6473047745,9.05118832806,30.5780217704,15.1580190379,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,8,H08_F,1206,0.0848937068844,True,low,PRIMARY_ELIGIBLE,USABLE,-199.097432938,150.661184114,96.023071846,-7.42813048656,17.0360885778,30.6736512682,9.81528258128,0.933307762733,True,5,distance
