model,model_label,trait_set,coordinate,outer_oof_r2,outer_oof_rmse,target_sd,baseline_rmse,normalized_3d_rmse,baseline_normalized_3d_rmse,mean_coordinate_r2,positive_coordinate_count,final_alpha,final_knn_k,final_knn_weights,ridge_knn_oof_normalized_displacement_p95,usability_gate
qwen,Qwen 3 32B,12,PC1,0.980599940144,4.18198997914,30.0796319776,30.1339958012,0.181077266407,1.00179232765,0.967091355793,3,0.0001,5,distance,0.933307762732,USABLE
qwen,Qwen 3 32B,12,PC2,0.966700033583,3.91885017283,21.5143300788,21.5671864597,0.181077266407,1.00179232765,0.967091355793,3,0.0001,5,distance,0.933307762732,USABLE
qwen,Qwen 3 32B,12,PC3,0.953974093653,3.37823120941,15.775359338,15.7929078923,0.181077266407,1.00179232765,0.967091355793,3,0.0001,5,distance,0.933307762732,USABLE
llama,LLaMA 3.3 70B,12,PC1,0.918311563241,0.326774321196,1.14540399643,1.15129261403,0.404047196101,1.00287658207,0.836150045305,3,0.001,3,distance,1.58519358525,USABLE
llama,LLaMA 3.3 70B,12,PC2,0.83036480472,0.42684769228,1.03825975864,1.03971862966,0.404047196101,1.00287658207,0.836150045305,3,0.001,3,distance,1.58519358525,USABLE
llama,LLaMA 3.3 70B,12,PC3,0.759773767955,0.343608809242,0.702336340322,0.703796917637,0.404047196101,1.00287658207,0.836150045305,3,0.001,3,distance,1.58519358525,USABLE
gemma,Gemma 2 27B,12,PC1,0.973736655586,83.9640932274,519.050547143,520.523258893,0.387335094359,1.00190483546,0.849423975498,3,0.0001,3,distance,1.20974320322,USABLE
gemma,Gemma 2 27B,12,PC2,0.827388278289,158.910592635,383.185238718,384.00228889,0.387335094359,1.00190483546,0.849423975498,3,0.0001,3,distance,1.20974320322,USABLE
gemma,Gemma 2 27B,12,PC3,0.747146992617,128.279167059,255.571919687,255.76201315,0.387335094359,1.00190483546,0.849423975498,3,0.0001,3,distance,1.20974320322,USABLE
