model,K,profile_id,eligible_primary_k,pc1_12,pc2_12,pc3_12,pc1_45,pc2_45,pc3_45,delta_pc1,delta_pc2,delta_pc3,pc_standardized_displacement,inside_50_12,inside_50_45,inside_80_12,inside_80_45,inside_95_12,inside_95_45,nearest_family_12,nearest_family_45,nearest_role_12,nearest_role_45
qwen,4,H04_A,True,-303.339855827,278.844137779,157.559347146,199.605422055,705.516554307,393.875138888,502.945277882,426.672416528,236.315791742,29.954708089,False,False,False,False,False,False,MFamily_E,MFamily_E,comedian,comedian
qwen,4,H04_B,True,12.9467216387,46.4750495924,-42.9826369598,-465.24435891,-410.391793741,-174.105800079,-478.191080549,-456.866843333,-131.12316312,27.798621018,False,False,False,False,False,False,MFamily_E,MFamily_E,newlywed,shaman
qwen,4,H04_C,True,-180.458657254,164.274819976,113.006804892,496.341585041,410.911649719,100.651459547,676.800242295,246.636829744,-12.3553453446,25.2645162241,False,False,False,False,False,False,MFamily_E,MFamily_E,comedian,procrastinator
qwen,4,H04_D,True,61.3907353848,-40.4650105068,9.90060109568,-409.412592179,-500.517666604,-51.5141039847,-470.803327564,-460.052656097,-61.4147050804,26.7842114226,False,False,False,False,False,False,MFamily_E,MFamily_E,theorist,ascetic
qwen,5,H05_A,True,88.1257588256,1.37237238584,-54.2289760277,-382.63803278,-336.221639747,-247.504029143,-470.763791606,-337.594012132,-193.275053115,25.3233290037,False,False,False,False,False,False,MFamily_E,MFamily_E,therapist,shaman
qwen,5,H05_B,True,-302.635158055,275.875973939,155.464399886,173.60210059,690.294643493,378.223156407,476.237258645,414.418669554,222.758756521,28.654930744,False,False,False,False,False,False,MFamily_E,MFamily_E,comedian,comedian
qwen,5,H05_C,True,-156.95798779,156.785183752,108.004266446,488.863339505,402.703894545,78.2797644732,645.821327295,245.918710793,-29.7245019731,24.3963785225,False,False,False,False,False,False,MFamily_E,MFamily_E,comedian,teenager
qwen,5,H05_D,True,122.643855481,-46.1707514654,25.6155839075,-274.97693084,-506.473218819,-83.1427454918,-397.620786321,-460.302467354,-108.758329399,26.0772490235,False,False,False,False,False,False,MFamily_E,MFamily_E,auditor,mystic
qwen,5,H05_E,True,-263.371002255,200.447540772,77.3922834719,-303.89794305,-169.968210519,207.500154148,-40.526940795,-370.415751291,130.107870677,19.1381266854,False,False,False,False,False,False,MFamily_E,MFamily_E,comedian,aberration
qwen,6,H06_A,True,94.3293665068,-3.99519152162,-54.2916459767,-251.861011358,-255.484294072,-280.262180049,-346.190377865,-251.489102551,-225.970534072,21.7781161356,False,False,False,False,False,False,MFamily_E,MFamily_E,therapist,angel
