model,model_label,trait_set,K,profile_id,profile_size,profile_proportion,eligible_primary_k,human_stability_tier,projection_status,model_usability_gate,ridge_kde_density,terrain_sparsity_percentile,inside_50_sample_coverage,inside_80_sample_coverage,inside_95_sample_coverage,beyond_95_warning
qwen,Qwen 3 32B,12,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,4.52349859395e-285,100,False,False,False,True
qwen,Qwen 3 32B,12,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,2.91297111133e-08,100,False,False,False,True
qwen,Qwen 3 32B,12,4,H04_C,3304,0.232577784035,True,moderate,PRIMARY_ELIGIBLE,USABLE,1.30770940737e-92,100,False,False,False,True
qwen,Qwen 3 32B,12,4,H04_D,2183,0.153667464452,True,moderate,PRIMARY_ELIGIBLE,USABLE,3.49381485854e-08,100,False,False,False,True
qwen,Qwen 3 32B,12,5,H05_A,3405,0.239687456005,True,moderate,PRIMARY_ELIGIBLE,USABLE,9.64883245776e-16,100,False,False,False,True
qwen,Qwen 3 32B,12,5,H05_B,3813,0.26840771505,True,moderate,PRIMARY_ELIGIBLE,USABLE,2.9100279822e-279,100,False,False,False,True
qwen,Qwen 3 32B,12,5,H05_C,2847,0.200408278192,True,moderate,PRIMARY_ELIGIBLE,USABLE,2.08012481699e-77,100,False,False,False,True
qwen,Qwen 3 32B,12,5,H05_D,1730,0.121779529776,True,moderate,PRIMARY_ELIGIBLE,USABLE,5.23913025264e-17,100,False,False,False,True
qwen,Qwen 3 32B,12,5,H05_E,2411,0.169717020977,True,moderate,PRIMARY_ELIGIBLE,USABLE,4.02793975361e-133,100,False,False,False,True
qwen,Qwen 3 32B,12,6,H06_A,2967,0.208855413206,True,moderate,PRIMARY_ELIGIBLE,USABLE,3.37634487643e-17,100,False,False,False,True
qwen,Qwen 3 32B,12,6,H06_B,2874,0.20230888357,True,moderate,PRIMARY_ELIGIBLE,USABLE,2.25515582069e-256,100,False,False,False,True
qwen,Qwen 3 32B,12,6,H06_C,2479,0.174503730818,True,moderate,PRIMARY_ELIGIBLE,USABLE,4.73905962596e-113,100,False,False,False,True
qwen,Qwen 3 32B,12,6,H06_D,1741,0.122553850486,True,moderate,PRIMARY_ELIGIBLE,USABLE,1.33270400576e-15,100,False,False,False,True
qwen,Qwen 3 32B,12,6,H06_E,2507,0.176474728988,True,moderate,PRIMARY_ELIGIBLE,USABLE,7.27682078725e-147,100,False,False,False,True
qwen,Qwen 3 32B,12,6,H06_F,1638,0.115303392933,True,moderate,PRIMARY_ELIGIBLE,USABLE,6.08904294403e-94,100,False,False,False,True
qwen,Qwen 3 32B,12,7,H07_A,1371,0.0965085175278,True,low,PRIMARY_ELIGIBLE,USABLE,5.59109877139e-18,100,False,False,False,True
qwen,Qwen 3 32B,12,7,H07_B,2794,0.196677460228,True,low,PRIMARY_ELIGIBLE,USABLE,2.54825378956e-17,100,False,False,False,True
qwen,Qwen 3 32B,12,7,H07_C,2925,0.205898915951,True,low,PRIMARY_ELIGIBLE,USABLE,5.67001563571e-206,100,False,False,False,True
qwen,Qwen 3 32B,12,7,H07_D,2001,0.140855976348,True,low,PRIMARY_ELIGIBLE,USABLE,9.60249257384e-163,100,False,False,False,True
qwen,Qwen 3 32B,12,7,H07_E,1531,0.107771364212,True,low,PRIMARY_ELIGIBLE,USABLE,1.36988217042e-09,100,False,False,False,True
qwen,Qwen 3 32B,12,7,H07_F,1364,0.0960157679854,True,low,PRIMARY_ELIGIBLE,USABLE,5.84503429748e-72,100,False,False,False,True
qwen,Qwen 3 32B,12,7,H07_G,2220,0.156271997747,True,low,PRIMARY_ELIGIBLE,USABLE,1.86541150132e-173,100,False,False,False,True
qwen,Qwen 3 32B,12,8,H08_A,1266,0.0891172743911,True,low,PRIMARY_ELIGIBLE,USABLE,1.15295870751e-24,100,False,False,False,True
qwen,Qwen 3 32B,12,8,H08_B,2247,0.158172603125,True,low,PRIMARY_ELIGIBLE,USABLE,3.92389382727e-08,100,False,False,False,True
qwen,Qwen 3 32B,12,8,H08_C,2489,0.175207658736,True,low,PRIMARY_ELIGIBLE,USABLE,3.16958123305e-48,100,False,False,False,True
qwen,Qwen 3 32B,12,8,H08_D,1880,0.132338448543,True,low,PRIMARY_ELIGIBLE,USABLE,9.24621252867e-09,100,False,False,False,True
qwen,Qwen 3 32B,12,8,H08_E,1945,0.136913980008,True,low,PRIMARY_ELIGIBLE,USABLE,1.46603009887e-211,100,False,False,False,True
qwen,Qwen 3 32B,12,8,H08_F,1206,0.0848937068844,True,low,PRIMARY_ELIGIBLE,USABLE,9.44240490979e-83,100,False,False,False,True
qwen,Qwen 3 32B,12,8,H08_G,1237,0.0870758834295,True,low,PRIMARY_ELIGIBLE,USABLE,2.3148257708e-12,100,False,False,False,True
qwen,Qwen 3 32B,12,8,H08_H,1936,0.136280444882,True,low,PRIMARY_ELIGIBLE,USABLE,2.02953436715e-310,100,False,False,False,True
qwen,Qwen 3 32B,12,9,H09_A,1172,0.082500351964,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,7.60371084981e-37,100,False,False,False,True
qwen,Qwen 3 32B,12,9,H09_B,2017,0.141982261016,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,2.2657140669e-07,100,False,False,False,True
qwen,Qwen 3 32B,12,9,H09_C,1523,0.107208221878,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,8.26333578635e-138,100,False,False,False,True
qwen,Qwen 3 32B,12,9,H09_D,1847,0.130015486414,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,2.68263859227e-14,100,False,False,False,True
qwen,Qwen 3 32B,12,9,H09_E,1218,0.0857384203858,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,9.32612706027e-34,100,False,False,False,True
qwen,Qwen 3 32B,12,9,H09_F,2508,0.17654512178,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,1.616952137e-183,100,False,False,False,True
qwen,Qwen 3 32B,12,9,H09_G,1422,0.100098549908,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,5.6908193791e-174,100,False,False,False,True
qwen,Qwen 3 32B,12,9,H09_H,888,0.062508799099,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,1.13242028553e-79,100,False,False,False,True
qwen,Qwen 3 32B,12,9,H09_I,1611,0.113402787555,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,7.49616141592e-170,100,False,False,False,True
qwen,Qwen 3 32B,12,10,H10_A,1180,0.0830634942982,True,low,PRIMARY_ELIGIBLE,USABLE,3.9966119324e-25,100,False,False,False,True
qwen,Qwen 3 32B,12,10,H10_B,1203,0.0846825285091,True,low,PRIMARY_ELIGIBLE,USABLE,4.7513479907e-156,100,False,False,False,True
qwen,Qwen 3 32B,12,10,H10_C,1940,0.13656201605,True,low,PRIMARY_ELIGIBLE,USABLE,3.28300836405e-13,100,False,False,False,True
qwen,Qwen 3 32B,12,10,H10_D,1890,0.133042376461,True,low,PRIMARY_ELIGIBLE,USABLE,2.17700161502e-40,100,False,False,False,True
qwen,Qwen 3 32B,12,10,H10_E,1518,0.106856257919,True,low,PRIMARY_ELIGIBLE,USABLE,2.44872872364e-11,100,False,False,False,True
qwen,Qwen 3 32B,12,10,H10_F,2001,0.140855976348,True,low,PRIMARY_ELIGIBLE,USABLE,2.24042397603e-22,100,False,False,False,True
qwen,Qwen 3 32B,12,10,H10_G,1157,0.0814444600873,True,low,PRIMARY_ELIGIBLE,USABLE,4.15438350249e-47,100,False,False,False,True
qwen,Qwen 3 32B,12,10,H10_H,777,0.0546951992116,True,low,PRIMARY_ELIGIBLE,USABLE,1.02877273805e-104,100,False,False,False,True
qwen,Qwen 3 32B,12,10,H10_I,1491,0.104955652541,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
qwen,Qwen 3 32B,12,10,H10_J,1049,0.0738420385752,True,low,PRIMARY_ELIGIBLE,USABLE,2.15860538191e-134,100,False,False,False,True
llama,LLaMA 3.3 70B,12,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
llama,LLaMA 3.3 70B,12,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,5.2728347521e-16,100,False,False,False,True
llama,LLaMA 3.3 70B,12,4,H04_C,3304,0.232577784035,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
llama,LLaMA 3.3 70B,12,4,H04_D,2183,0.153667464452,True,moderate,PRIMARY_ELIGIBLE,USABLE,6.24812371261e-59,100,False,False,False,True
llama,LLaMA 3.3 70B,12,5,H05_A,3405,0.239687456005,True,moderate,PRIMARY_ELIGIBLE,USABLE,3.63961187311e-24,100,False,False,False,True
llama,LLaMA 3.3 70B,12,5,H05_B,3813,0.26840771505,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
llama,LLaMA 3.3 70B,12,5,H05_C,2847,0.200408278192,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
llama,LLaMA 3.3 70B,12,5,H05_D,1730,0.121779529776,True,moderate,PRIMARY_ELIGIBLE,USABLE,7.34622174528e-81,100,False,False,False,True
llama,LLaMA 3.3 70B,12,5,H05_E,2411,0.169717020977,True,moderate,PRIMARY_ELIGIBLE,USABLE,1.31088046482e-88,100,False,False,False,True
llama,LLaMA 3.3 70B,12,6,H06_A,2967,0.208855413206,True,moderate,PRIMARY_ELIGIBLE,USABLE,3.67267471199e-19,100,False,False,False,True
llama,LLaMA 3.3 70B,12,6,H06_B,2874,0.20230888357,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
llama,LLaMA 3.3 70B,12,6,H06_C,2479,0.174503730818,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
llama,LLaMA 3.3 70B,12,6,H06_D,1741,0.122553850486,True,moderate,PRIMARY_ELIGIBLE,USABLE,4.11371670136e-34,100,False,False,False,True
llama,LLaMA 3.3 70B,12,6,H06_E,2507,0.176474728988,True,moderate,PRIMARY_ELIGIBLE,USABLE,6.42457996701e-47,100,False,False,False,True
llama,LLaMA 3.3 70B,12,6,H06_F,1638,0.115303392933,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
llama,LLaMA 3.3 70B,12,7,H07_A,1371,0.0965085175278,True,low,PRIMARY_ELIGIBLE,USABLE,7.14388002394e-84,100,False,False,False,True
llama,LLaMA 3.3 70B,12,7,H07_B,2794,0.196677460228,True,low,PRIMARY_ELIGIBLE,USABLE,3.41384746642e-20,100,False,False,False,True
llama,LLaMA 3.3 70B,12,7,H07_C,2925,0.205898915951,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
llama,LLaMA 3.3 70B,12,7,H07_D,2001,0.140855976348,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
llama,LLaMA 3.3 70B,12,7,H07_E,1531,0.107771364212,True,low,PRIMARY_ELIGIBLE,USABLE,1.0945321443e-34,100,False,False,False,True
llama,LLaMA 3.3 70B,12,7,H07_F,1364,0.0960157679854,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
llama,LLaMA 3.3 70B,12,7,H07_G,2220,0.156271997747,True,low,PRIMARY_ELIGIBLE,USABLE,8.12347285558e-36,100,False,False,False,True
llama,LLaMA 3.3 70B,12,8,H08_A,1266,0.0891172743911,True,low,PRIMARY_ELIGIBLE,USABLE,4.85443713949e-91,100,False,False,False,True
llama,LLaMA 3.3 70B,12,8,H08_B,2247,0.158172603125,True,low,PRIMARY_ELIGIBLE,USABLE,5.44874815873e-21,100,False,False,False,True
llama,LLaMA 3.3 70B,12,8,H08_C,2489,0.175207658736,True,low,PRIMARY_ELIGIBLE,USABLE,4.57398184594e-15,100,False,False,False,True
llama,LLaMA 3.3 70B,12,8,H08_D,1880,0.132338448543,True,low,PRIMARY_ELIGIBLE,USABLE,8.89227031721e-44,100,False,False,False,True
llama,LLaMA 3.3 70B,12,8,H08_E,1945,0.136913980008,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
llama,LLaMA 3.3 70B,12,8,H08_F,1206,0.0848937068844,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
llama,LLaMA 3.3 70B,12,8,H08_G,1237,0.0870758834295,True,low,PRIMARY_ELIGIBLE,USABLE,4.09004665521e-122,100,False,False,False,True
llama,LLaMA 3.3 70B,12,8,H08_H,1936,0.136280444882,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
llama,LLaMA 3.3 70B,12,9,H09_A,1172,0.082500351964,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,1.02144389168e-145,100,False,False,False,True
