model,model_label,trait_set,K,profile_id,profile_size,profile_proportion,eligible_primary_k,human_stability_tier,projection_status,model_usability_gate,ridge_kde_density,terrain_sparsity_percentile,inside_50_sample_coverage,inside_80_sample_coverage,inside_95_sample_coverage,beyond_95_warning,maximum_role_shape_similarity,mean_selected_neighbor_similarity,shape_support_percentile,ridge_knn_pc_standardized_displacement,ridge_knn_disagreement_p95,low_shape_support_warning,ridge_knn_disagreement_warning,nearest_role_native_pc_distance,pc_standardized_displacement,fraction_inside_95_sample_coverage,candidate,cross_model_recurring_candidate
qwen,Qwen 3 32B,12,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,4.52349859395e-285,100,False,False,False,True,-0.535313846687,-0.553281091409,0,20.0853933226,0.933307762733,True,True,16.0314783835,29.954708089,0,True,True
qwen,Qwen 3 32B,12,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,2.91297111133e-08,100,False,False,False,True,0.461399048354,0.434107730435,0,2.03332945203,0.933307762733,True,True,1.1024180467,27.798621018,0.024,True,True
qwen,Qwen 3 32B,12,4,H04_C,3304,0.232577784035,True,moderate,PRIMARY_ELIGIBLE,USABLE,1.30770940737e-92,100,False,False,False,True,0.140868341218,0.0721376807859,0,9.97541348483,0.933307762733,True,True,8.8843003221,25.2645162241,0,True,True
qwen,Qwen 3 32B,12,4,H04_D,2183,0.153667464452,True,moderate,PRIMARY_ELIGIBLE,USABLE,3.49381485854e-08,100,False,False,False,True,0.486180265217,0.461218716586,0,4.31066441176,0.933307762733,True,True,1.20536082675,26.7842114226,0.146,True,True
qwen,Qwen 3 32B,12,5,H05_A,3405,0.239687456005,True,moderate,PRIMARY_ELIGIBLE,USABLE,9.64883245776e-16,100,False,False,False,True,0.615366955422,0.581916654993,0,3.6313795895,0.933307762733,True,True,2.836576548,25.3233290037,0.004,True,True
qwen,Qwen 3 32B,12,5,H05_B,3813,0.26840771505,True,moderate,PRIMARY_ELIGIBLE,USABLE,2.9100279822e-279,100,False,False,False,True,-0.518522481044,-0.537695981282,0,19.8790108092,0.933307762733,True,True,15.8629788738,28.654930744,0,True,True
qwen,Qwen 3 32B,12,5,H05_C,2847,0.200408278192,True,moderate,PRIMARY_ELIGIBLE,USABLE,2.08012481699e-77,100,False,False,False,True,0.144332742798,0.0839223474779,0,9.53728790922,0.933307762733,True,True,8.05398532416,24.3963785225,0,True,True
qwen,Qwen 3 32B,12,5,H05_D,1730,0.121779529776,True,moderate,PRIMARY_ELIGIBLE,USABLE,5.23913025264e-17,100,False,False,False,True,0.529354451843,0.509059241281,0,6.44001096874,0.933307762733,True,True,3.03167791418,26.0772490235,0.002,True,True
qwen,Qwen 3 32B,12,5,H05_E,2411,0.169717020977,True,moderate,PRIMARY_ELIGIBLE,USABLE,4.02793975361e-133,100,False,False,False,True,0.0443141265801,0.0132739273871,0,11.5680365976,0.933307762733,True,True,10.7962538217,19.1381266854,0,True,True
qwen,Qwen 3 32B,12,6,H06_A,2967,0.208855413206,True,moderate,PRIMARY_ELIGIBLE,USABLE,3.37634487643e-17,100,False,False,False,True,0.615516332298,0.577708887359,0,3.56128854805,0.933307762733,True,True,3.0732677574,21.7781161356,0.004,True,True
qwen,Qwen 3 32B,12,6,H06_B,2874,0.20230888357,True,moderate,PRIMARY_ELIGIBLE,USABLE,2.25515582069e-256,100,False,False,False,True,-0.575083471892,-0.59937037486,0,19.0795741923,0.933307762733,True,True,15.1809113047,24.2893508684,0,True,True
qwen,Qwen 3 32B,12,6,H06_C,2479,0.174503730818,True,moderate,PRIMARY_ELIGIBLE,USABLE,4.73905962596e-113,100,False,False,False,True,0.0646716258583,0.00862685890014,0,11.7832288054,0.933307762733,True,True,9.89111123764,26.6392484696,0,True,True
qwen,Qwen 3 32B,12,6,H06_D,1741,0.122553850486,True,moderate,PRIMARY_ELIGIBLE,USABLE,1.33270400576e-15,100,False,False,False,True,0.552459317622,0.524793214651,0,4.64554910301,0.933307762733,True,True,2.8940562845,29.6522087884,0.032,True,True
qwen,Qwen 3 32B,12,6,H06_E,2507,0.176474728988,True,moderate,PRIMARY_ELIGIBLE,USABLE,7.27682078725e-147,100,False,False,False,True,0.0449897349442,0.00322667260022,0,12.1964267057,0.933307762733,True,True,11.375826023,20.7021451411,0,True,True
qwen,Qwen 3 32B,12,6,H06_F,1638,0.115303392933,True,moderate,PRIMARY_ELIGIBLE,USABLE,6.08904294403e-94,100,False,False,False,True,0.166422246523,0.0942635109421,0,9.76077388068,0.933307762733,True,True,8.9534259071,24.5818206359,0,True,True
qwen,Qwen 3 32B,12,7,H07_A,1371,0.0965085175278,True,low,PRIMARY_ELIGIBLE,USABLE,5.59109877139e-18,100,False,False,False,True,0.57502866898,0.532389835725,0,3.57460386326,0.933307762733,True,True,3.1786707626,14.5586263262,0.018,True,True
qwen,Qwen 3 32B,12,7,H07_B,2794,0.196677460228,True,low,PRIMARY_ELIGIBLE,USABLE,2.54825378956e-17,100,False,False,False,True,0.605135106173,0.567916960671,0,3.56500215609,0.933307762733,True,True,3.08562920002,24.3767037858,0.004,True,True
qwen,Qwen 3 32B,12,7,H07_C,2925,0.205898915951,True,low,PRIMARY_ELIGIBLE,USABLE,5.67001563571e-206,100,False,False,False,True,-0.568770127751,-0.59374666204,0,17.5025479625,0.933307762733,True,True,13.5581616423,22.4255529998,0,True,True
qwen,Qwen 3 32B,12,7,H07_D,2001,0.140855976348,True,low,PRIMARY_ELIGIBLE,USABLE,9.60249257384e-163,100,False,False,False,True,-0.0688237220351,-0.107180638095,0,14.0039501216,0.933307762733,True,True,11.9924526506,26.4977836254,0,True,True
qwen,Qwen 3 32B,12,7,H07_E,1531,0.107771364212,True,low,PRIMARY_ELIGIBLE,USABLE,1.36988217042e-09,100,False,False,False,True,0.495709693883,0.474140108722,0,4.12092133803,0.933307762733,True,True,1.74294891256,28.6147924736,0.15,True,True
qwen,Qwen 3 32B,12,7,H07_F,1364,0.0960157679854,True,low,PRIMARY_ELIGIBLE,USABLE,5.84503429748e-72,100,False,False,False,True,0.0863726613197,0.0281084291318,0,9.21723389117,0.933307762733,True,True,7.73540384711,23.1009013037,0,True,True
qwen,Qwen 3 32B,12,7,H07_G,2220,0.156271997747,True,low,PRIMARY_ELIGIBLE,USABLE,1.86541150132e-173,100,False,False,False,True,-0.00285553543925,-0.0517900896959,0,13.3079145958,0.933307762733,True,True,12.4037250871,20.4937202048,0,True,True
qwen,Qwen 3 32B,12,8,H08_A,1266,0.0891172743911,True,low,PRIMARY_ELIGIBLE,USABLE,1.15295870751e-24,100,False,False,False,True,0.464519760968,0.433887468717,0,4.72076989283,0.933307762733,True,True,4.00926622642,14.2526269172,0,True,True
qwen,Qwen 3 32B,12,8,H08_B,2247,0.158172603125,True,low,PRIMARY_ELIGIBLE,USABLE,3.92389382727e-08,100,False,False,False,True,0.520393889122,0.492198070413,0,2.26778856802,0.933307762733,True,True,1.07177254914,28.2568096639,0.12,True,True
qwen,Qwen 3 32B,12,8,H08_C,2489,0.175207658736,True,low,PRIMARY_ELIGIBLE,USABLE,3.16958123305e-48,100,False,False,False,True,-0.10900118885,-0.138457937685,0,9.70178389856,0.933307762733,True,True,6.1519492388,11.9043171872,0,True,True
qwen,Qwen 3 32B,12,8,H08_D,1880,0.132338448543,True,low,PRIMARY_ELIGIBLE,USABLE,9.24621252867e-09,100,False,False,False,True,0.565655460967,0.548338071802,0,4.284467468,0.933307762733,True,True,1.23581565787,22.6852924228,0,True,True
qwen,Qwen 3 32B,12,8,H08_E,1945,0.136913980008,True,low,PRIMARY_ELIGIBLE,USABLE,1.46603009887e-211,100,False,False,False,True,-0.206402374479,-0.261035727266,0,15.1580190379,0.933307762733,True,True,13.7472057226,25.9572843171,0,True,True
qwen,Qwen 3 32B,12,8,H08_F,1206,0.0848937068844,True,low,PRIMARY_ELIGIBLE,USABLE,9.44240490979e-83,100,False,False,False,True,0.0410544168932,-0.0231096081765,0,9.81528258128,0.933307762733,True,True,8.35647285758,22.4228807776,0,True,True
qwen,Qwen 3 32B,12,8,H08_G,1237,0.0870758834295,True,low,PRIMARY_ELIGIBLE,USABLE,2.3148257708e-12,100,False,False,False,True,0.430508455681,0.420862426502,0,5.16517609221,0.933307762733,True,True,2.24950202328,19.5954918602,0.01,True,True
qwen,Qwen 3 32B,12,8,H08_H,1936,0.136280444882,True,low,PRIMARY_ELIGIBLE,USABLE,2.02953436715e-310,100,False,False,False,True,-0.205334392778,-0.228237128798,0,17.5677569524,0.933307762733,True,True,16.7484245643,11.7895097996,0,True,True
qwen,Qwen 3 32B,12,9,H09_A,1172,0.082500351964,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,7.60371084981e-37,100,False,False,False,True,0.540136308773,0.49943859066,0,5.80800160761,0.933307762733,True,True,5.22760742817,12.9224699931,0,False,False
qwen,Qwen 3 32B,12,9,H09_B,2017,0.141982261016,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,2.2657140669e-07,100,False,False,False,True,0.487532328936,0.455613066934,0,2.06343563162,0.933307762733,True,True,0.932024719474,27.0193448412,0.216,False,False
qwen,Qwen 3 32B,12,9,H09_C,1523,0.107208221878,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,8.26333578635e-138,100,False,False,False,True,-0.34975463483,-0.360687724255,0,14.8672083799,0.933307762733,True,True,10.9884485737,25.6263324605,0,False,False
qwen,Qwen 3 32B,12,9,H09_D,1847,0.130015486414,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,2.68263859227e-14,100,False,False,False,True,0.536923584274,0.52225822816,0,6.10963906669,0.933307762733,True,True,2.59180241389,21.5102471853,0,False,False
qwen,Qwen 3 32B,12,9,H09_E,1218,0.0857384203858,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,9.32612706027e-34,100,False,False,False,True,0.575179673169,0.543811024302,0,7.09470557892,0.933307762733,True,True,5.01046808384,28.1843055487,0,False,False
qwen,Qwen 3 32B,12,9,H09_F,2508,0.17654512178,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,1.616952137e-183,100,False,False,False,True,-0.448052378823,-0.458276869531,0,15.5262632883,0.933307762733,True,True,12.7694467303,12.063531026,0,False,False
