model,trait_set,K,profile_id,eligible_primary_k,model_usability_gate,bootstrap_n,centroid_pc1,centroid_pc2,centroid_pc3,sd_pc1,sd_pc2,sd_pc3,cov_11,cov_12,cov_13,cov_22,cov_23,cov_33,eigenvalue_1,eigenvalue_2,eigenvalue_3,eigenvector_1_1,eigenvector_1_2,eigenvector_1_3,eigenvector_2_1,eigenvector_2_2,eigenvector_2_3,eigenvector_3_1,eigenvector_3_2,eigenvector_3_3,fraction_inside_50_sample_coverage,fraction_inside_80_sample_coverage,fraction_inside_95_sample_coverage
qwen,12,4,H04_A,True,USABLE,500,-305.050160446,278.602966767,149.431203055,46.9379154064,52.0250288447,48.8986551185,2203.1679027,-1614.75149551,-1060.4484651,2706.6036263,1980.26503516,2391.0784724,5608.2289735,1245.70941546,446.911612433,-0.490332556622,0.660737160962,0.568331230921,0.803209897952,0.0894899562757,0.58893582635,-0.338271848886,-0.745263679411,0.574590466682,0,0,0
qwen,12,4,H04_B,True,USABLE,500,9.2005654034,51.7243750662,-41.3186784896,26.6255009534,21.9167412002,21.4735309436,708.917301019,-387.983800666,-181.386234151,480.343544838,220.702692175,461.112531186,1117.30081914,365.930137977,167.142419924,-0.719180011525,0.573823817614,0.391798848086,0.503194869234,0.0412886100535,0.863186060045,-0.479139890428,-0.81793733074,0.318439143922,0,0.008,0.024
qwen,12,4,H04_C,True,USABLE,500,-179.140485613,163.282246843,107.817547309,39.7983853102,41.4958748304,36.63453799,1583.9114733,-1002.71292895,-693.290793076,1721.90762794,1289.39615674,1342.08937374,3575.00025053,865.093795274,207.814429184,-0.520833232255,0.659213027675,0.54237526522,0.83901544789,0.278124847367,0.467653341141,-0.157435137061,-0.698630627314,0.697946576894,0,0,0
qwen,12,4,H04_D,True,USABLE,500,58.5486018947,-36.247459393,10.8628532465,32.0244990212,25.6462188516,26.0107854076,1025.56853756,-553.431089053,-287.976855996,657.728541386,360.418938654,676.560957519,1633.63538338,517.877366744,208.345286345,-0.71108592199,0.560181379642,0.424916031058,0.55845684288,0.082811518522,0.825389730395,-0.427180016138,-0.824220282632,0.371723229714,0.054,0.096,0.146
qwen,12,5,H05_A,True,USABLE,500,85.132748748,6.60784501816,-51.8328700885,23.3532912394,20.5778867803,19.0602270901,545.37621171,-315.913613282,-142.737660368,423.449424343,211.532890201,363.292256726,915.919387111,288.877338006,127.321167662,-0.678148530577,0.61066366092,0.408906424146,0.585537539473,0.112701062691,0.802772857249,-0.444140023353,-0.783829295,0.433994557519,0.004,0.004,0.004
qwen,12,5,H05_B,True,USABLE,500,-304.265944732,275.652532354,147.30445468,47.4674149411,52.2970614834,48.9875433276,2253.15548119,-1654.33292064,-1069.6376647,2734.9826398,1982.51397364,2399.77940127,5668.18557484,1266.88055843,452.851388991,-0.4964134144,0.660616810016,0.563168848861,0.79548035507,0.0864478396099,0.599781439963,-0.347540971256,-0.745729308362,0.568421561825,0,0,0
qwen,12,5,H05_C,True,USABLE,500,-155.544858412,155.900432356,103.105826428,37.7196663132,39.1278712947,34.5843670558,1422.77322678,-895.810867036,-611.67547067,1530.99031205,1145.64245444,1196.07844465,3183.07667439,781.514494829,185.250814264,-0.523123948929,0.658681867573,0.54081376775,0.836416250673,0.27501501791,0.474103992321,-0.163551795062,-0.7003605766,0.694799160245,0,0,0
qwen,12,5,H05_D,True,USABLE,500,120.210474547,-41.4672307994,27.3161978913,31.8060094074,24.5086792522,24.4801453862,1011.62223442,-540.218909975,-263.641924363,600.675358687,323.876789405,599.277518129,1554.25960729,477.063668485,180.251835463,-0.737837669263,0.550601017578,0.390428089741,0.529936562552,0.114294069149,0.84030000918,-0.418046425038,-0.826907120056,0.376114080185,0,0.002,0.002
qwen,12,5,H05_E,True,USABLE,500,-266.43992375,201.724750012,72.7936661177,40.670439436,41.3964273414,39.8375293717,1654.08464392,-1028.39102131,-725.197561801,1713.66419663,1183.08174365,1587.02874644,3625.76242884,917.856559212,411.158598944,-0.535754501191,0.633533238179,0.558213893213,0.794979213342,0.155665494641,0.586324401789,-0.284561355086,-0.757894379119,0.587044244747,0,0,0
qwen,12,6,H06_A,True,USABLE,500,91.5319511158,1.10921446532,-52.0336811718,22.5969388677,20.3062999216,18.0601543414,510.621646191,-298.090693085,-129.055371417,412.345816507,204.820836281,326.169174834,864.126718411,267.499674438,117.510244683,-0.671880666739,0.624121006888,0.398809902616,0.611419299557,0.163473867736,0.774236872473,-0.418022499145,-0.764034857404,0.491434560119,0,0.002,0.004
qwen,12,6,H06_B,True,USABLE,500,-315.64963402,261.299740388,132.594654007,47.2345209332,51.8928970589,48.8438731493,2231.09996779,-1602.72849451,-1032.29331425,2692.87276516,1936.37140817,2385.72394422,5550.88938965,1285.46993672,473.337350807,-0.4945257776,0.660275464086,0.565226120075,0.797111359289,0.0852851975193,0.59777915318,-0.346493486493,-0.746165361438,0.568488801303,0,0,0
qwen,12,6,H06_C,True,USABLE,500,-166.906673384,175.223191422,129.383140437,37.2767904401,41.6369655897,37.7992234876,1389.55910551,-969.421890965,-677.869040859,1733.63690352,1332.40376459,1428.78129627,3559.81287741,781.121358264,211.043069625,-0.476902709552,0.669058554,0.570021453053,0.855146775494,0.203260543933,0.476874347856,-0.203193991015,-0.714874676149,0.669078769217,0,0,0
qwen,12,6,H06_D,True,USABLE,500,99.2611804568,-23.8036108687,-27.7194761108,28.1514471536,23.2989420694,23.3062814535,792.503976843,-443.567620862,-202.851395625,542.840701553,274.955864319,543.182755192,1276.65961955,430.947694253,170.920119781,-0.703369015464,0.579435692227,0.411735724292,0.535421084974,0.0508846475822,0.843051015304,-0.467542821408,-0.813427950844,0.346032771477,0.012,0.02,0.032
qwen,12,6,H06_E,True,USABLE,500,-266.465875217,224.426200284,65.9845855221,40.3315792753,39.5660563681,38.900318441,1626.63628684,-999.117399603,-710.341214793,1565.47281652,1081.70476585,1513.23477481,3437.05152512,873.661457957,394.630895101,-0.558251471787,0.617972124531,0.553593485828,0.769774795047,0.136865550136,0.623469795657,-0.309519077213,-0.774195243132,0.552104760306,0,0,0
qwen,12,6,H06_F,True,USABLE,500,-197.346707374,152.942185869,107.611664098,44.4920041669,43.8228603914,38.1452203301,1979.53843478,-1187.43494027,-809.720792038,1920.44309288,1386.01134328,1455.05783404,4072.33567833,1022.55980708,260.143876295,-0.564973964955,0.643995075677,0.515824351332,0.811891292695,0.322447519379,0.486682777682,-0.147095029722,-0.693756397989,0.705028447994,0,0,0
qwen,12,7,H07_A,True,USABLE,500,-0.178642108091,38.5037871989,86.9648892717,25.6887018968,23.2261044334,24.1637311084,659.909405145,-371.350067242,-207.177049743,539.451927151,291.516814666,583.885901081,1180.2124795,411.733318275,191.301435599,-0.625275833033,0.593121939811,0.507184874714,0.609817195505,-0.0342036011051,0.791803701519,-0.486983696536,-0.804385776967,0.340309272754,0.002,0.006,0.018
qwen,12,7,H07_B,True,USABLE,500,87.6258617885,5.05473133651,-57.5971431956,23.228834888,20.5243618274,18.581312306,539.578770253,-311.15189223,-138.581516719,421.249428421,208.616970912,345.265167013,901.783133291,279.423864864,124.886367533,-0.680501787131,0.614147311277,0.39967536547,0.59616703125,0.146914816273,0.78930406537,-0.42603073664,-0.77539610317,0.466110174344,0,0.004,0.004
qwen,12,7,H07_C,True,USABLE,500,-285.231350547,233.754226774,126.717220282,47.19290185,51.3508569857,48.4210596315,2227.16998502,-1596.40485366,-1000.18541475,2636.91051317,1865.94438673,2344.59901584,5438.10703807,1292.4174748,478.155001166,-0.502095077343,0.659104036475,0.559894992307,0.782528029168,0.0706334039002,0.618595833982,-0.368171721991,-0.748727447978,0.551232067074,0,0,0
qwen,12,7,H07_D,True,USABLE,500,-223.321480426,212.411944907,129.028808912,43.5011507954,48.7591835631,45.0284303809,1892.35012052,-1366.20426046,-987.646474952,2377.45798174,1864.628454,2027.55954257,4984.93647327,1024.36061442,288.070557141,-0.477106835042,0.66273668977,0.577190737962,0.852519273925,0.189464135411,0.487149082909,-0.213494626497,-0.724488385984,0.655390435566,0,0,0
qwen,12,7,H07_E,True,USABLE,500,78.5459525183,-19.2539876326,-9.84454330246,29.8646554078,23.8827330937,24.2070299571,891.897642629,-486.003001307,-219.421374353,570.384940024,281.579961005,585.980299344,1390.610637,472.711453616,184.94079138,-0.724370796141,0.564882333954,0.395215002859,0.508215091594,0.0501754523845,0.859767320067,-0.465837278859,-0.82364456701,0.32342735948,0.058,0.108,0.15
