model,model_label,role,trait_set,trait_order,trait,raw_trait_value,row_trait_mean,centered_l2_norm,shape_value
qwen,Qwen 3 32B,aberration,12,1,adventurous,0.0414100575916,0.0164917763629,0.789499599039,0.0315621201823
qwen,Qwen 3 32B,aberration,12,2,altruistic,0.04598004887,0.0164917763629,0.789499599039,0.0373505857925
qwen,Qwen 3 32B,aberration,12,3,forgiving,-0.0334135261155,0.0164917763629,0.789499599039,-0.0632113081997
qwen,Qwen 3 32B,aberration,12,4,grandiose,0.244304420618,0.0164917763629,0.789499599039,0.288553210835
qwen,Qwen 3 32B,aberration,12,5,impulsive,-0.439875794257,0.0164917763629,0.789499599039,-0.578046614812
qwen,Qwen 3 32B,aberration,12,6,innovative,0.175596843579,0.0164917763629,0.789499599039,0.201526469944
qwen,Qwen 3 32B,aberration,12,7,introspective,0.522105188769,0.0164917763629,0.789499599039,0.640422633553
qwen,Qwen 3 32B,aberration,12,8,judgmental,-0.112875139474,0.0164917763629,0.789499599039,-0.163859381302
qwen,Qwen 3 32B,aberration,12,9,manipulative,-0.0681396746338,0.0164917763629,0.789499599039,-0.107196319162
qwen,Qwen 3 32B,aberration,12,10,optimistic,-0.144175797184,0.0164917763629,0.789499599039,-0.203505579664
qwen,Qwen 3 32B,aberration,12,11,pessimistic,0.0981854510271,0.0164917763629,0.789499599039,0.103475257953
qwen,Qwen 3 32B,aberration,12,12,traditional,-0.131200762436,0.0164917763629,0.789499599039,-0.18707107512
qwen,Qwen 3 32B,absurdist,12,1,adventurous,0.0687575773615,0.0169035748299,0.760087322105,0.0682211122638
qwen,Qwen 3 32B,absurdist,12,2,altruistic,0.0414482412716,0.0169035748299,0.760087322105,0.0322919034799
qwen,Qwen 3 32B,absurdist,12,3,forgiving,-0.0117007533233,0.0169035748299,0.760087322105,-0.0376329499536
qwen,Qwen 3 32B,absurdist,12,4,grandiose,0.196369684537,0.0169035748299,0.760087322105,0.236112489299
qwen,Qwen 3 32B,absurdist,12,5,impulsive,-0.426699862599,0.0169035748299,0.760087322105,-0.583621676784
