model,model_label,trait_set,K,profile_id,profile_size,profile_proportion,eligible_primary_k,human_stability_tier,projection_status,model_usability_gate,ridge_pc1,ridge_pc2,ridge_pc3,display_aligned_x,display_aligned_y,display_aligned_z
qwen,Qwen 3 32B,12,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,-303.339855827,278.844137779,157.559347146,-10.1029458007,12.9844858287,10.0058958383
qwen,Qwen 3 32B,12,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,12.9467216387,46.4750495924,-42.9826369598,0.431199608294,2.16412877684,-2.72963677538
qwen,Qwen 3 32B,12,4,H04_C,3304,0.232577784035,True,moderate,PRIMARY_ELIGIBLE,USABLE,-180.458657254,164.274819976,113.006804892,-6.0103016418,7.64952094375,7.17656133541
qwen,Qwen 3 32B,12,4,H04_D,2183,0.153667464452,True,moderate,PRIMARY_ELIGIBLE,USABLE,61.3907353848,-40.4650105068,9.90060109568,2.04466132736,-1.88426896713,0.628743296378
qwen,Qwen 3 32B,12,5,H05_A,3405,0.239687456005,True,moderate,PRIMARY_ELIGIBLE,USABLE,88.1257588256,1.37237238584,-54.2289760277,2.93508995919,0.063905054406,-3.4438419261
qwen,Qwen 3 32B,12,5,H05_B,3813,0.26840771505,True,moderate,PRIMARY_ELIGIBLE,USABLE,-302.635158055,275.875973939,155.464399886,-10.0794753491,12.846272124,9.87285502255
qwen,Qwen 3 32B,12,5,H05_C,2847,0.200408278192,True,moderate,PRIMARY_ELIGIBLE,USABLE,-156.95798779,156.785183752,108.004266446,-5.22759542859,7.30076311729,6.85887228988
qwen,Qwen 3 32B,12,5,H05_D,1730,0.121779529776,True,moderate,PRIMARY_ELIGIBLE,USABLE,122.643855481,-46.1707514654,25.6155839075,4.08473928139,-2.14995901609,1.62673220636
qwen,Qwen 3 32B,12,5,H05_E,2411,0.169717020977,True,moderate,PRIMARY_ELIGIBLE,USABLE,-263.371002255,200.447540772,77.3922834719,-8.77175521165,9.33391776955,4.91484092269
qwen,Qwen 3 32B,12,6,H06_A,2967,0.208855413206,True,moderate,PRIMARY_ELIGIBLE,USABLE,94.3293665068,-3.99519152162,-54.2916459767,3.14170544663,-0.186037648518,-3.44782181681
qwen,Qwen 3 32B,12,6,H06_B,2874,0.20230888357,True,moderate,PRIMARY_ELIGIBLE,USABLE,-313.027590209,260.971283918,140.480512492,-10.4256025618,12.1522294308,8.92129474236
qwen,Qwen 3 32B,12,6,H06_C,2479,0.174503730818,True,moderate,PRIMARY_ELIGIBLE,USABLE,-168.260780347,176.791707177,135.485921471,-5.60404283041,8.23237466908,8.60411040248
qwen,Qwen 3 32B,12,6,H06_D,1741,0.122553850486,True,moderate,PRIMARY_ELIGIBLE,USABLE,102.584957103,-29.4723793132,-30.2860103269,3.4166636585,-1.37239281621,-1.92333028905
qwen,Qwen 3 32B,12,6,H06_E,2507,0.176474728988,True,moderate,PRIMARY_ELIGIBLE,USABLE,-263.434452028,223.08398045,70.5116220708,-8.77386845069,10.3879923954,4.47788061202
qwen,Qwen 3 32B,12,6,H06_F,1638,0.115303392933,True,moderate,PRIMARY_ELIGIBLE,USABLE,-198.397135649,153.336214468,112.249817377,-6.60775519593,7.14016051992,7.12848841332
qwen,Qwen 3 32B,12,7,H07_A,1371,0.0965085175278,True,low,PRIMARY_ELIGIBLE,USABLE,4.46706965666,32.8622405046,84.4834119327,0.14877887545,1.53024302224,5.36516706355
qwen,Qwen 3 32B,12,7,H07_B,2794,0.196677460228,True,low,PRIMARY_ELIGIBLE,USABLE,90.4319138298,-0.0890183559428,-59.8291209181,3.0118980626,-0.00414517439899,-3.79948230839
qwen,Qwen 3 32B,12,7,H07_C,2925,0.205898915951,True,low,PRIMARY_ELIGIBLE,USABLE,-282.392357405,233.117936645,134.405336691,-9.40527473258,10.8552274718,8.53548725228
qwen,Qwen 3 32B,12,7,H07_D,2001,0.140855976348,True,low,PRIMARY_ELIGIBLE,USABLE,-225.578381458,215.119242476,136.675419602,-7.51304557545,10.017111271,8.67965015697
qwen,Qwen 3 32B,12,7,H07_E,1531,0.107771364212,True,low,PRIMARY_ELIGIBLE,USABLE,81.9728571768,-24.621121158,-11.8140866351,2.73016327158,-1.14649209163,-0.750260282466
qwen,Qwen 3 32B,12,7,H07_F,1364,0.0960157679854,True,low,PRIMARY_ELIGIBLE,USABLE,-169.457597832,148.634444141,98.5117853001,-5.64390367281,6.92122075425,6.25604688272
qwen,Qwen 3 32B,12,7,H07_G,2220,0.156271997747,True,low,PRIMARY_ELIGIBLE,USABLE,-292.197160501,241.957061171,55.404427596,-9.73183054896,11.2668247464,3.51848964563
qwen,Qwen 3 32B,12,8,H08_A,1266,0.0891172743911,True,low,PRIMARY_ELIGIBLE,USABLE,1.1301915526,71.1178786715,94.277038707,0.0376418191706,3.31163170627,5.98711689488
qwen,Qwen 3 32B,12,8,H08_B,2247,0.158172603125,True,low,PRIMARY_ELIGIBLE,USABLE,44.910147325,14.7787002758,-36.4921769865,1.49576382928,0.688175931636,-2.31745642802
qwen,Qwen 3 32B,12,8,H08_C,2489,0.175207658736,True,low,PRIMARY_ELIGIBLE,USABLE,-125.518609158,172.71903389,37.2752438934,-4.18048496081,8.04272905197,2.36718553675
qwen,Qwen 3 32B,12,8,H08_D,1880,0.132338448543,True,low,PRIMARY_ELIGIBLE,USABLE,19.3365771217,89.9450120248,-3.28212355552,0.644018208879,4.18832450019,-0.208433120724
qwen,Qwen 3 32B,12,8,H08_E,1945,0.136913980008,True,low,PRIMARY_ELIGIBLE,USABLE,-261.912062189,229.461334393,155.383660186,-8.72316419359,10.6849563644,9.86772760202
qwen,Qwen 3 32B,12,8,H08_F,1206,0.0848937068844,True,low,PRIMARY_ELIGIBLE,USABLE,-199.097432938,150.661184114,96.023071846,-6.63107908634,7.01559669012,6.09799972116
qwen,Qwen 3 32B,12,8,H08_G,1237,0.0870758834295,True,low,PRIMARY_ELIGIBLE,USABLE,105.359198355,-20.9526502344,31.4682597786,3.50906170139,-0.975668314956,1.99840971203
qwen,Qwen 3 32B,12,8,H08_H,1936,0.136280444882,True,low,PRIMARY_ELIGIBLE,USABLE,-424.238618429,241.759308267,116.847326227,-14.1295635447,11.2576163054,7.42045582434
qwen,Qwen 3 32B,12,9,H09_A,1172,0.082500351964,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,53.759265842,39.4028141462,111.125541629,1.79048990317,1.83480738009,7.0570906433
qwen,Qwen 3 32B,12,9,H09_B,2017,0.141982261016,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,40.0062418916,12.5549501863,-30.1452846016,1.33243583313,0.58462614302,-1.91439342192
qwen,Qwen 3 32B,12,9,H09_C,1523,0.107208221878,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,-228.61898002,179.948554234,133.046628765,-7.61431483462,8.37937448122,8.44920173366
qwen,Qwen 3 32B,12,9,H09_D,1847,0.130015486414,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,4.02880267846,130.213872316,-17.824151964,0.134182087583,6.06345965618,-1.13193289505
qwen,Qwen 3 32B,12,9,H09_E,1218,0.0857384203858,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,168.779369205,-61.7929861952,-18.2349283697,5.62131479461,-2.87741445796,-1.15801948403
qwen,Qwen 3 32B,12,9,H09_F,2508,0.17654512178,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,-277.417632853,258.386157131,68.4594088155,-9.23958805619,12.0318519956,4.34755364354
qwen,Qwen 3 32B,12,9,H09_G,1422,0.100098549908,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,-274.801221577,192.707144271,136.730882788,-9.15244665093,8.97348319316,8.68317237815
qwen,Qwen 3 32B,12,9,H09_H,888,0.062508799099,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,-142.022899827,163.703917238,112.929273953,-4.73017189087,7.62293663551,7.17163768916
qwen,Qwen 3 32B,12,9,H09_I,1611,0.113402787555,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,-327.569898018,209.451899109,49.3441977806,-10.9099442821,9.75320922088,3.13363130884
qwen,Qwen 3 32B,12,10,H10_A,1180,0.0830634942982,True,low,PRIMARY_ELIGIBLE,USABLE,139.903090906,-35.3449226374,56.7170433109,4.65957017391,-1.64585008226,3.6018480522
qwen,Qwen 3 32B,12,10,H10_B,1203,0.0846825285091,True,low,PRIMARY_ELIGIBLE,USABLE,-156.395705102,232.348384513,144.520707288,-5.20886821086,10.8193929772,9.17786960783
qwen,Qwen 3 32B,12,10,H10_C,1940,0.13656201605,True,low,PRIMARY_ELIGIBLE,USABLE,34.8427851992,52.589075218,-61.3306123255,1.16046330098,2.44883076026,-3.8948353731
qwen,Qwen 3 32B,12,10,H10_D,1890,0.133042376461,True,low,PRIMARY_ELIGIBLE,USABLE,-147.543768966,115.824375435,70.7090766458,-4.91404829421,5.39340713216,4.49042007697
qwen,Qwen 3 32B,12,10,H10_E,1518,0.106856257919,True,low,PRIMARY_ELIGIBLE,USABLE,67.930444416,-12.2282653964,-41.9225783101,2.26247090505,-0.569413938601,-2.66231714869
qwen,Qwen 3 32B,12,10,H10_F,2001,0.140855976348,True,low,PRIMARY_ELIGIBLE,USABLE,-109.656570084,124.563311401,8.97097462022,-3.65218866882,5.80033908742,0.569706839002
qwen,Qwen 3 32B,12,10,H10_G,1157,0.0814444600873,True,low,PRIMARY_ELIGIBLE,USABLE,-163.96967398,123.461834272,68.6816402754,-5.46112453526,5.74904837611,4.36166657864
qwen,Qwen 3 32B,12,10,H10_H,777,0.0546951992116,True,low,PRIMARY_ELIGIBLE,USABLE,-27.0346130884,101.905183998,179.126234999,-0.900406674323,4.74525456418,11.3755133019
qwen,Qwen 3 32B,12,10,H10_I,1491,0.104955652541,True,low,PRIMARY_ELIGIBLE,USABLE,-399.795412202,322.684491077,219.136257867,-13.3154654862,15.0259289469,13.9163725309
qwen,Qwen 3 32B,12,10,H10_J,1049,0.0738420385752,True,low,PRIMARY_ELIGIBLE,USABLE,-234.754887183,175.250358515,128.647321185,-7.81867550898,8.16060116858,8.16982120688
llama,LLaMA 3.3 70B,12,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,4.47480300562,14.4328763673,20.5395289068,1.45055136891,4.05534473325,43.8203498306
llama,LLaMA 3.3 70B,12,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,-1.37614770451,-4.14069739517,-1.3865473018,1.40215818761,-2.82417169947,-3.73999357234
llama,LLaMA 3.3 70B,12,4,H04_C,3304,0.232577784035,True,moderate,PRIMARY_ELIGIBLE,USABLE,5.32821405448,11.528648744,19.3282504771,3.28783178305,3.17348912603,40.7125635733
llama,LLaMA 3.3 70B,12,4,H04_D,2183,0.153667464452,True,moderate,PRIMARY_ELIGIBLE,USABLE,-0.971894887116,-5.84541647402,5.20513579895,5.45515173718,-6.00365496655,8.7482474236
llama,LLaMA 3.3 70B,12,5,H05_A,3405,0.239687456005,True,moderate,PRIMARY_ELIGIBLE,USABLE,-0.50070447894,-5.58943824433,-0.800935517543,3.04717216254,-3.43831670818,-2.96257924167
llama,LLaMA 3.3 70B,12,5,H05_B,3813,0.26840771505,True,moderate,PRIMARY_ELIGIBLE,USABLE,4.40058115571,14.4284978757,20.5387556301,1.41420006638,4.0115504772,43.8184198166
llama,LLaMA 3.3 70B,12,5,H05_C,2847,0.200408278192,True,moderate,PRIMARY_ELIGIBLE,USABLE,5.56343729656,10.9207953132,18.7331704259,3.56053349717,3.14244823638,39.3922079684
llama,LLaMA 3.3 70B,12,5,H05_D,1730,0.121779529776,True,moderate,PRIMARY_ELIGIBLE,USABLE,0.640321461024,-6.49006500698,6.12946702449,7.10263295993,-5.83245266234,10.3837677089
llama,LLaMA 3.3 70B,12,5,H05_E,2411,0.169717020977,True,moderate,PRIMARY_ELIGIBLE,USABLE,0.0853447610948,6.81613171878,10.210843329,-0.165770721175,0.602405564665,21.7143367748
