model,model_label,trait_set,K,profile_id,profile_size,profile_proportion,eligible_primary_k,human_stability_tier,projection_status,model_usability_gate,maximum_role_shape_similarity,mean_selected_neighbor_similarity,shape_support_percentile,ridge_knn_pc_standardized_displacement,ridge_knn_disagreement_p95,low_shape_support_warning,ridge_knn_disagreement_warning,nearest_role_native_pc_distance
qwen,Qwen 3 32B,12,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,-0.535313846687,-0.553281091409,0,20.0853933226,0.933307762733,True,True,16.0314783835
qwen,Qwen 3 32B,12,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,0.461399048354,0.434107730435,0,2.03332945203,0.933307762733,True,True,1.1024180467
qwen,Qwen 3 32B,12,4,H04_C,3304,0.232577784035,True,moderate,PRIMARY_ELIGIBLE,USABLE,0.140868341218,0.0721376807859,0,9.97541348483,0.933307762733,True,True,8.8843003221
qwen,Qwen 3 32B,12,4,H04_D,2183,0.153667464452,True,moderate,PRIMARY_ELIGIBLE,USABLE,0.486180265217,0.461218716586,0,4.31066441176,0.933307762733,True,True,1.20536082675
qwen,Qwen 3 32B,12,5,H05_A,3405,0.239687456005,True,moderate,PRIMARY_ELIGIBLE,USABLE,0.615366955422,0.581916654993,0,3.6313795895,0.933307762733,True,True,2.836576548
qwen,Qwen 3 32B,12,5,H05_B,3813,0.26840771505,True,moderate,PRIMARY_ELIGIBLE,USABLE,-0.518522481044,-0.537695981282,0,19.8790108092,0.933307762733,True,True,15.8629788738
qwen,Qwen 3 32B,12,5,H05_C,2847,0.200408278192,True,moderate,PRIMARY_ELIGIBLE,USABLE,0.144332742798,0.0839223474779,0,9.53728790922,0.933307762733,True,True,8.05398532416
qwen,Qwen 3 32B,12,5,H05_D,1730,0.121779529776,True,moderate,PRIMARY_ELIGIBLE,USABLE,0.529354451843,0.509059241281,0,6.44001096874,0.933307762733,True,True,3.03167791418
qwen,Qwen 3 32B,12,5,H05_E,2411,0.169717020977,True,moderate,PRIMARY_ELIGIBLE,USABLE,0.0443141265801,0.0132739273871,0,11.5680365976,0.933307762733,True,True,10.7962538217
qwen,Qwen 3 32B,12,6,H06_A,2967,0.208855413206,True,moderate,PRIMARY_ELIGIBLE,USABLE,0.615516332298,0.577708887359,0,3.56128854805,0.933307762733,True,True,3.0732677574
qwen,Qwen 3 32B,12,6,H06_B,2874,0.20230888357,True,moderate,PRIMARY_ELIGIBLE,USABLE,-0.575083471892,-0.59937037486,0,19.0795741923,0.933307762733,True,True,15.1809113047
qwen,Qwen 3 32B,12,6,H06_C,2479,0.174503730818,True,moderate,PRIMARY_ELIGIBLE,USABLE,0.0646716258583,0.00862685890014,0,11.7832288054,0.933307762733,True,True,9.89111123764
qwen,Qwen 3 32B,12,6,H06_D,1741,0.122553850486,True,moderate,PRIMARY_ELIGIBLE,USABLE,0.552459317622,0.524793214651,0,4.64554910301,0.933307762733,True,True,2.8940562845
qwen,Qwen 3 32B,12,6,H06_E,2507,0.176474728988,True,moderate,PRIMARY_ELIGIBLE,USABLE,0.0449897349442,0.00322667260022,0,12.1964267057,0.933307762733,True,True,11.375826023
qwen,Qwen 3 32B,12,6,H06_F,1638,0.115303392933,True,moderate,PRIMARY_ELIGIBLE,USABLE,0.166422246523,0.0942635109421,0,9.76077388068,0.933307762733,True,True,8.9534259071
