outcome_id,mapping_tier,model_trait_labels,observed_associations,unique_observed_item_set_constructs,overlap_excluded,low_n_unavailable,unmatched_unavailable,median_observed_respondent_n
HiFWB_composite,direct,45,42,41,3,0,0,790.0
HiFWB_composite,close,29,27,26,2,0,0,565.0
HiFWB_composite,absent,166,0,0,0,0,166,
q_2765,direct,45,45,44,0,0,0,253.0
q_2765,close,29,29,28,0,0,0,177.0
q_2765,absent,166,0,0,0,0,166,
q_1371,direct,45,45,44,0,0,0,331.0
q_1371,close,29,29,28,0,0,0,270.0
q_1371,absent,166,0,0,0,0,166,
q_1043,direct,45,44,43,1,0,0,250.0
q_1043,close,29,29,28,0,0,0,183.0
q_1043,absent,166,0,0,0,0,166,
q_208,direct,45,45,44,0,0,0,318.0
q_208,close,29,29,28,0,0,0,267.0
q_208,absent,166,0,0,0,0,166,
q_206,direct,45,45,44,0,0,0,312.0
q_206,close,29,29,28,0,0,0,266.0
q_206,absent,166,0,0,0,0,166,
q_1578,direct,45,43,42,2,0,0,250.0
q_1578,close,29,29,28,0,0,0,189.0
q_1578,absent,166,0,0,0,0,166,
q_875,direct,45,45,44,0,0,0,320.0
q_875,close,29,29,28,0,0,0,254.0
q_875,absent,166,0,0,0,0,166,
q_285,direct,45,45,44,0,0,0,299.0
q_285,close,29,29,28,0,0,0,264.0
q_285,absent,166,0,0,0,0,166,
q_820,direct,45,45,44,0,0,0,241.0
q_820,close,29,27,26,2,0,0,173.0
q_820,absent,166,0,0,0,0,166,
q_1044,direct,45,45,44,0,0,0,317.0
q_1044,close,29,29,28,0,0,0,252.0
q_1044,absent,166,0,0,0,0,166,
q_867,direct,45,45,44,0,0,0,324.0
q_867,close,29,29,28,0,0,0,280.0
q_867,absent,166,0,0,0,0,166,
q_4288,direct,45,45,44,0,0,0,308.0
q_4288,close,29,29,28,0,0,0,255.0
q_4288,absent,166,0,0,0,0,166,
q_832,direct,45,45,44,0,0,0,318.0
q_832,close,29,29,28,0,0,0,271.0
q_832,absent,166,0,0,0,0,166,
