layer,cosine_similarity
0,0.99859613
1,0.99900985
2,0.9990164
3,0.9987113
4,0.9983956
5,0.9983678
6,0.99846256
7,0.9983804
8,0.99844563
9,0.9986431
10,0.9984586
11,0.99852777
12,0.9988266
13,0.99894273
14,0.99883986
15,0.99855024
16,0.99851197
17,0.9986255
18,0.99867135
19,0.99907273
20,0.9992002
21,0.99896383
22,0.9983336
23,0.998058
24,0.9971584
25,0.99736327
26,0.9969768
27,0.99720645
28,0.99595135
29,0.99577135
30,0.9959716
31,0.9964235
32,0.99687713
33,0.9963917
34,0.9962699
35,0.9963347
36,0.9966178
37,0.99662775
38,0.99687
39,0.99689025
40,0.9967857
41,0.996819
42,0.9963837
43,0.9946663
44,0.99679375
45,0.99855083
