cluster_label,size,mean_pairwise_cosine
procedural_professional,127,0.998985230922699
mythic_spiritual,61,0.9988222718238831
trickster_chaos,7,0.9987947344779968
editorial,5,0.9987610578536987
combative_iconoclast,8,0.9987058043479919
grounded_social,45,0.9985834956169128
other,22,0.9938094615936279
