rank,role,character,axis_projection_layer22,norm,cluster_label,nearest_seed_similarity,cluster_median_rank,rank_gap_vs_cluster_median
6,statistician,statistician,9603.624,16597.652,procedural_professional,0.9995784759521484,72.0,66.0
7,moderator,moderator,9602.595,16382.554,other,0.9989191293716431,227.5,220.5
8,debugger,debugger,9597.806,16616.055,procedural_professional,0.9995037317276001,72.0,64.0
9,validator,validator,9595.188,16485.959,procedural_professional,0.9995323419570923,72.0,63.0
10,reviewer,reviewer,9592.062,16525.936,procedural_professional,0.9996198415756226,72.0,62.0
11,translator,translator,9549.554,16410.193,procedural_professional,0.9991915225982666,72.0,61.0
12,scientist,scientist,9547.344,16474.715,procedural_professional,0.9996430277824402,72.0,60.0
13,interviewer,interviewer,9544.988,16281.097,other,0.9976580739021301,227.5,214.5
14,analyst,analyst,9539.674,16513.08,procedural_professional,0.9995860457420349,72.0,58.0
15,researcher,researcher,9534.394,16444.402,procedural_professional,0.999562680721283,72.0,57.0
16,evaluator,evaluator,9527.669,16534.172,procedural_professional,0.9995803833007812,72.0,56.0
17,scheduler,scheduler,9522.75,16483.615,procedural_professional,0.9994667768478394,72.0,55.0
18,planner,planner,9520.423,16527.89,procedural_professional,0.9993829131126404,72.0,54.0
19,robot,robot,9503.073,16603.352,other,0.9984019994735718,227.5,208.5
20,engineer,engineer,9494.924,16539.42,procedural_professional,0.9997220039367676,72.0,52.0
21,lawyer,lawyer,9485.431,16333.379,procedural_professional,0.9995200037956238,72.0,51.0
87,student,student,9214.486,16004.452,grounded_social,0.9985299110412598,168.0,81.0
102,virus,virus,9098.019,16337.1875,mythic_spiritual,0.9987883567810059,209.0,107.0
108,devils_advocate,devils advocate,9016.094,16098.655,combative_iconoclast,0.9991993308067322,192.0,84.0
117,saboteur,saboteur,8945.481,16164.771,grounded_social,0.9991026520729065,168.0,51.0
119,composer,composer,8931.195,16097.145,mythic_spiritual,0.999096155166626,209.0,90.0
123,advocate,advocate,8913.346,15899.253,procedural_professional,0.9995625019073486,72.0,51.0
124,podcaster,podcaster,8902.417,15677.002,other,0.9985072612762451,227.5,103.5
127,swarm,swarm,8895.713,16154.276,procedural_professional,0.9990106821060181,72.0,55.0
130,ecosystem,ecosystem,8871.546,16139.127,procedural_professional,0.9992373585700989,72.0,58.0
131,perfectionist,perfectionist,8861.497,16038.939,procedural_professional,0.9991746544837952,72.0,59.0
133,cosmopolitan,cosmopolitan,8843.45,15951.738,procedural_professional,0.9994914531707764,72.0,61.0
135,prodigy,prodigy,8838.005,16030.712,procedural_professional,0.9994853138923645,72.0,63.0
136,writer,writer,8820.351,15869.865,procedural_professional,0.999561071395874,72.0,64.0
137,minimalist,minimalist,8819.554,16034.4795,procedural_professional,0.9990729093551636,72.0,65.0
138,hybrid,hybrid,8817.015,16022.134,procedural_professional,0.9994022846221924,72.0,66.0
139,philosopher,philosopher,8793.905,15912.236,mythic_spiritual,0.9992343187332153,209.0,70.0
142,simulacrum,simulacrum,8776.949,15987.3955,mythic_spiritual,0.9991349577903748,209.0,67.0
144,anarchist,anarchist,8740.184,15904.322,procedural_professional,0.9985371828079224,72.0,72.0
145,witness,witness,8738.245,15761.046,procedural_professional,0.9994884133338928,72.0,73.0
147,optimist,optimist,8734.608,15772.189,procedural_professional,0.9989291429519653,72.0,75.0
151,empath,empath,8678.857,15848.456,procedural_professional,0.9990257024765015,72.0,79.0
153,egregore,egregore,8674.981,15905.766,procedural_professional,0.9990184903144836,72.0,81.0
154,visionary,visionary,8670.012,15889.472,procedural_professional,0.9989752769470215,72.0,82.0
155,zeitgeist,zeitgeist,8661.811,15827.693,mythic_spiritual,0.9993619918823242,209.0,54.0
157,parasite,parasite,8626.121,15894.729,mythic_spiritual,0.9990338087081909,209.0,52.0
158,alien,alien,8618.54,15880.646,mythic_spiritual,0.9992054104804993,209.0,51.0
160,idealist,idealist,8610.931,15783.396,procedural_professional,0.9987732768058777,72.0,88.0
171,revolutionary,revolutionary,8568.766,15775.14,procedural_professional,0.9984685778617859,72.0,99.0
176,crystalline,crystalline,8549.6,15975.872,other,0.9985235929489136,227.5,51.5
201,dilettante,dilettante,8393.813,15558.281,trickster_chaos,0.9994743466377258,254.0,53.0
220,auctioneer,auctioneer,8238.141,15179.028,grounded_social,0.999138593673706,168.0,52.0
223,evangelist,evangelist,8226.314,15398.812,procedural_professional,0.9982336759567261,72.0,151.0
231,smuggler,smuggler,8196.082,15257.281,grounded_social,0.9991207122802734,168.0,63.0
234,daredevil,daredevil,8173.229,15309.563,grounded_social,0.9992005228996277,168.0,66.0
243,prisoner,prisoner,8142.961,15208.872,grounded_social,0.9992697834968567,168.0,75.0
246,exile,exile,8126.5605,15337.606,grounded_social,0.9989305138587952,168.0,78.0
247,surfer,surfer,8124.963,15251.573,grounded_social,0.9991431832313538,168.0,79.0
255,provincial,provincial,8082.1787,15108.956,grounded_social,0.998846709728241,168.0,87.0
258,criminal,criminal,8051.334,15136.783,grounded_social,0.9991462826728821,168.0,90.0
260,eldritch,eldritch,8022.607,15494.174,mythic_spiritual,0.9988669157028198,209.0,51.0
262,bard,bard,7994.2397,15132.981,mythic_spiritual,0.9995980262756348,209.0,53.0
263,bohemian,bohemian,7992.359,15276.038,mythic_spiritual,0.9992370009422302,209.0,54.0
267,leviathan,leviathan,7910.3364,15263.993,mythic_spiritual,0.9990571737289429,209.0,58.0
271,pirate,pirate,7857.7524,14849.913,grounded_social,0.9988293051719666,168.0,103.0
