,combative_iconoclast,editorial,grounded_social,mythic_spiritual,other,procedural_professional,trickster_chaos
aberration,0.29922345002262873,1.7081302101129827,0.7690015377742208,0.21778148673938236,0.49655651340219165,1.802296431912382,0.2474032497155364
absurdist,0.1673731787265872,1.79951807729207,0.4153689615328432,0.4143864653419378,0.24403942197472828,1.8992690241374033,0.04941494847052297
accountant,1.4857879254916178,0.016194176070121746,1.5955336000603517,1.7880360250203826,1.5715484128509412,0.0778942829284931,1.8468864802833527
activist,1.1531285334472559,0.6229854483335586,1.250013761288569,1.521487867234586,1.4750934379916836,0.42081205612104433,1.5291413761398263
actor,0.43008344611445637,1.915165003857596,0.19491436257673578,0.41205679544214535,0.24750281968375698,1.9400406578958767,0.07809942915514068
addict,0.3526494123275036,1.6138577852540217,0.07062921446234471,0.9543075048527577,0.23913820145719233,1.6517991871242261,0.332118357877209
adolescent,0.4831554302512273,1.3568067063004379,0.08649731892171364,1.2588778939775098,0.18225465732820212,1.462519372750464,0.4369019065302028
advocate,1.6412050192794307,0.3353346579024292,1.6504463603533477,1.4988033013142334,1.8405743760433952,0.13008689209551227,1.8715382374599225
alien,0.593684210152865,1.4031791292127687,1.1575188326395018,0.3004158950297894,0.7848313755109916,1.498070912915138,0.528109399092602
altruist,1.8099724902943097,0.23142629842109896,1.6274147168152484,1.5473065926192655,1.7617581883144877,0.11007400704054315,1.9297376908877335
amateur,0.9714886572934823,1.2376239838976713,0.22287928266395807,1.3102200995618958,0.4598613867136526,1.240906556506082,0.6881520075494663
ambassador,1.7661260226057398,0.13528300268288151,1.7861985924285482,1.5560977199593857,1.8545352762892238,0.03208751691916045,1.9644026623358637
amnesiac,0.5434995684327772,1.8485786646150115,0.23193737304340156,0.41043027675553967,0.2359873277862251,1.9136455721082468,0.16199081010328387
analyst,1.4426729148692707,0.05770271092664436,1.724098095174304,1.6908938094548698,1.6950032785039113,0.061981244320078566,1.8591708427471083
anarchist,0.49673224038825947,1.2497329507181183,1.079160530459093,0.8001542842579852,1.0604408925379702,1.1342786336521848,0.8533130248610844
ancient,0.8627222505168908,1.6728768823835847,1.0967177425488042,0.015271485052013034,0.9661620049763718,1.601376131267298,0.5631088420218164
angel,1.6064027241999836,1.1941017229282815,1.3804690542974827,0.4106521544746349,1.4123566101621527,1.0287203211651519,1.1788940868245155
anthropologist,1.6719247420874928,0.2989743065550733,1.7525240969780915,1.4183522571140146,1.8760130854861905,0.13743569106942166,1.8369503158540945
archaeologist,1.524659570110304,0.8692920391491752,1.6126425493211989,0.6929481077689261,1.6562862416434108,0.7213750108273258,1.3598025630713362
architect,1.6870699900406296,0.14396867604551522,1.6826076911846584,1.6761010635655624,1.809984594819058,0.01798398975508242,1.9261379097460876
archivist,1.802526036149181,0.1913199647099143,1.8526172346481706,1.3863320119841804,1.887728044057042,0.10242050631007371,1.921060643710231
artisan,1.3252093085429248,1.5619847298391953,0.9276376350178769,0.27006152182586607,1.0730407950322702,1.411557751328577,0.7819946774984103
ascetic,1.0490154978846624,1.3266474771166514,1.4121726963629397,0.16213658970392741,1.2125452049611687,1.302478667464364,0.9033558518503024
assistant,1.6535168645386915,0.08408297924516173,1.4661478944070803,1.833761600721489,1.5840438362905236,0.06655771131926702,1.8801354999307458
auctioneer,0.3272111410863936,1.6019283659851893,0.07783574479877653,0.9145094957136265,0.08523915012231009,1.7318188214106727,0.176701039769664
auditor,1.4588208999021433,0.030144552550442127,1.7145475115041866,1.684242073613793,1.6435926549739,0.08252941424536553,1.8576579822585688
avatar,1.3914488879524378,1.3370077692231739,1.4194243804417936,0.21191536199480776,1.3814933114541499,1.176025863022241,1.0249709623109928
bard,0.8613035891324774,1.8376470695509117,0.6734433530794097,0.10326196562790213,0.6634305221927472,1.7847031677840999,0.36032044307567324
bartender,0.6773928031042739,1.4905939659436085,0.06327758116406834,1.061329761261517,0.24023031388522897,1.5563503567728503,0.3708458915046057
biologist,1.70897460001951,0.13748336073895673,1.731724850513844,1.611987820713809,1.8121642487919498,0.038103804989945034,1.921728068677512
blogger,0.6261505303949998,1.668710014681794,0.12222248979443562,0.9266537292143058,0.43307811419815123,1.565665908890238,0.3621682529083943
bohemian,0.4984581557317648,1.954421324448194,0.2413546123108955,0.4060893975856802,0.35307194232824934,1.8854323378845264,0.12700133542995662
builder,1.2713657562675031,0.5080984718759189,0.8724206039403964,1.7227500157740667,1.0577372919843633,0.5419215641097779,1.4178787816889202
caregiver,1.761663673473055,0.6060865717815506,1.0264493008166133,1.4796209015651245,1.302960344330541,0.5047214987301847,1.52945231590287
cartographer,1.8015170167019416,0.1736867013338229,1.7653894715810483,1.4937861333527458,1.8530284890524502,0.07860575253779212,1.9060432884930947
caveman,0.37115718931170283,1.5475128730330776,0.1682239378567717,0.8360806340468995,0.04471212913346234,1.7483778556802445,0.2545522040586924
celebrity,0.5718232831021228,1.5214280868197516,0.05974562358637481,1.125713408892569,0.3037536320730705,1.5093031250761813,0.38967845708156323
chameleon,0.9558006743260445,1.5322514652692991,0.26406602829052983,0.8526238840260514,0.4176999547891732,1.5284659985195008,0.4452829592021187
chef,1.2384776847630605,1.0713578766816236,0.4534061039593765,1.3960724206417319,0.8261028347575989,0.9707169824407379,0.9291660899349479
chemist,1.539603758152023,0.04227705352727784,1.6125221599713702,1.7771886737154055,1.6156709974333938,0.060371527410138626,1.842364661780286
chimera,0.5419139337267154,1.7805028318626435,0.8883860993018599,0.06624013994398026,0.7418136472444754,1.7490597763202582,0.3650088807669384
coach,1.531620985340891,0.23853608291249406,1.1923720782329343,1.8940004721096506,1.4229753943962888,0.18748643820032118,1.7207438316073145
collaborator,1.6753695251441378,0.23129885980001796,1.2941921831388845,1.8228505207125685,1.5003398569628015,0.1543246445320683,1.7788807886610911
collector,1.7163574478540888,0.5879340351166114,1.820129038410216,0.9121114710057997,1.8806229988497547,0.4240652733246857,1.632320549979441
comedian,0.1845359326856323,1.5758685808745172,0.127698002871383,0.918359403964158,0.05749577028983832,1.739720535905578,0.1379180627713087
competitor,0.05456828157686433,1.3663426426068275,0.3564785260362022,1.0489833384366292,0.2550017523607977,1.5322254868617198,0.3592960880108964
composer,1.6491321240842294,0.9573049036551734,1.644215159261744,0.6271290997981329,1.7552824842483907,0.7040995009187865,1.3842126365105418
conservator,1.8078242047059305,0.1960646321428291,1.8578136230948035,1.3733182662751662,1.8901187163512767,0.1060750924515017,1.9309766831936868
consultant,1.537114974170382,0.04922913843731491,1.6721378488876733,1.7528085452338265,1.7179626894175724,0.021969156541143287,1.9050976422791526
contrarian,0.05572208045019256,1.4546529464781788,0.6322058069445169,0.7525045501027039,0.493263726153229,1.551655090027074,0.3646090188758341
coordinator,1.6202277225860082,0.0778472334650161,1.6025885137379445,1.7894894123125393,1.700520734086239,0.016631210952896103,1.9126892938185067
coral_reef,0.7741122296792905,1.823758121831121,0.7592207941712867,0.08756756634877438,0.6403511136886226,1.7803140760274347,0.35126648408243333
cosmopolitan,1.5262744507086579,1.2247240718515369,1.1128806066167793,0.7720298467510471,1.4606113662184843,0.9020870377521509,1.1183246377607872
counselor,1.8184268392822787,0.34548726633926763,1.2788508956168656,1.6279324815571115,1.5357454054543667,0.2510900854682646,1.760231657922009
criminal,0.1419073748749481,1.6433550548564595,0.11677190130400084,0.8198147213473026,0.09579587521926836,1.7935221971968516,0.15916183761449998
critic,1.4581105030867343,0.4834953709368047,1.8780297405113466,1.0686230104427532,1.8972398136291613,0.33295266491164366,1.6709980429711435
crystalline,1.0311367810706864,1.2064629520982075,1.5370057919921223,0.28056339504210726,1.2359281844630237,1.1853199957135274,0.9265343951570407
curator,1.7579315460900173,0.5739934591221223,1.6693550939477482,1.1624880153725778,1.893122924775326,0.3098067823703473,1.690544585916109
