cluster_label,trait,mean_zscore,rank_desc,direction,cluster_size
combative_iconoclast,confrontational,2.464841325944312,1,top,8
combative_iconoclast,blunt,2.3677042686607,2,top,8
combative_iconoclast,urgent,2.1792846351056405,3,top,8
combative_iconoclast,callous,2.0720815265561425,4,top,8
combative_iconoclast,savage,2.0289914753695864,5,top,8
combative_iconoclast,hostile,2.0163640947287353,6,top,8
combative_iconoclast,competitive,1.9663636701410574,7,top,8
combative_iconoclast,judgmental,1.925524099466769,8,top,8
combative_iconoclast,dominant,1.9234894954564308,9,top,8
combative_iconoclast,radical,1.9141699505729795,10,top,8
combative_iconoclast,iconoclastic,1.882097836552272,11,middle,8
combative_iconoclast,challenging,1.872281421660591,12,middle,8
combative_iconoclast,cruel,1.8696020729407439,13,middle,8
combative_iconoclast,critical,1.8578079720399976,14,middle,8
combative_iconoclast,cynical,1.8442348136489053,15,middle,8
combative_iconoclast,militant,1.836476107435617,16,middle,8
combative_iconoclast,assertive,1.791182553264217,17,middle,8
combative_iconoclast,anthropocentric,1.779011545661115,18,middle,8
combative_iconoclast,rebellious,1.7594207052891542,19,middle,8
combative_iconoclast,sassy,1.7587896630324895,20,middle,8
combative_iconoclast,progressive,1.7559595996977277,21,middle,8
combative_iconoclast,acerbic,1.74282347649141,22,middle,8
combative_iconoclast,pessimistic,1.6782859215115637,23,middle,8
combative_iconoclast,edgy,1.5627536153607622,24,middle,8
combative_iconoclast,bitter,1.5521503923937854,25,middle,8
combative_iconoclast,impatient,1.5396718763396122,26,middle,8
combative_iconoclast,contrarian,1.5261731666307636,27,middle,8
combative_iconoclast,innovative,1.5141614503029757,28,middle,8
combative_iconoclast,sarcastic,1.4816834798094711,29,middle,8
combative_iconoclast,evil,1.4744200948994575,30,middle,8
combative_iconoclast,provocative,1.451469622811814,31,middle,8
combative_iconoclast,sardonic,1.3934344415943059,32,middle,8
combative_iconoclast,wry,1.3925865399546473,33,middle,8
combative_iconoclast,paranoid,1.3913652438790192,34,middle,8
combative_iconoclast,misanthropic,1.3778258483745387,35,middle,8
combative_iconoclast,deconstructionist,1.3448161849172517,36,middle,8
combative_iconoclast,individualistic,1.2794401874729457,37,middle,8
combative_iconoclast,irreverent,1.2680478522177268,38,middle,8
combative_iconoclast,decisive,1.2555340752839363,39,middle,8
combative_iconoclast,arrogant,1.1951505579039816,40,middle,8
combative_iconoclast,ironic,1.1881650749046995,41,middle,8
combative_iconoclast,manipulative,1.1714487145564154,42,middle,8
combative_iconoclast,risk_taking,1.1579388671742976,43,middle,8
combative_iconoclast,petty,1.147671413191633,44,middle,8
combative_iconoclast,flippant,1.1310735723971745,45,middle,8
combative_iconoclast,dogmatic,1.1122839738907253,46,middle,8
combative_iconoclast,temperamental,1.0837774457449634,47,middle,8
combative_iconoclast,confident,1.0659327160171033,48,middle,8
combative_iconoclast,nonchalant,1.0595775557435987,49,middle,8
combative_iconoclast,manic,1.0473879327005031,50,middle,8
combative_iconoclast,passive_aggressive,1.042912111789115,51,middle,8
combative_iconoclast,subversive,1.0428752161264645,52,middle,8
combative_iconoclast,visceral,1.0373129853007224,53,middle,8
combative_iconoclast,adventurous,1.011515183852164,54,middle,8
combative_iconoclast,impulsive,1.003273379460034,55,middle,8
combative_iconoclast,neurotic,0.9899105644389217,56,middle,8
combative_iconoclast,anxious,0.9825719637398616,57,middle,8
combative_iconoclast,closure_seeking,0.9755056589399362,58,middle,8
combative_iconoclast,mercurial,0.9549325727529061,59,middle,8
combative_iconoclast,skeptical,0.934620162415704,60,middle,8
combative_iconoclast,hedonistic,0.933866504214214,61,middle,8
combative_iconoclast,extroverted,0.9317678911010405,62,middle,8
combative_iconoclast,nihilistic,0.9220454634122157,63,middle,8
combative_iconoclast,futuristic,0.8962553844347217,64,middle,8
combative_iconoclast,passionate,0.8802200856113193,65,middle,8
combative_iconoclast,witty,0.8662215766406026,66,middle,8
combative_iconoclast,libertarian,0.8386292720515794,67,middle,8
combative_iconoclast,mischievous,0.8373441767770144,68,middle,8
combative_iconoclast,existentialist,0.8309151053014753,69,middle,8
combative_iconoclast,efficient,0.8258464221528278,70,middle,8
combative_iconoclast,goofy,0.8214952203965233,71,middle,8
combative_iconoclast,prescriptive,0.8103918837531912,72,middle,8
combative_iconoclast,condescending,0.8051076850019134,73,middle,8
combative_iconoclast,relativist,0.8047970926162613,74,middle,8
combative_iconoclast,elitist,0.7977920066992266,75,middle,8
combative_iconoclast,effusive,0.777377195530218,76,middle,8
combative_iconoclast,chaotic,0.7764557330082532,77,middle,8
combative_iconoclast,zealous,0.7585091199514998,78,middle,8
combative_iconoclast,entertaining,0.7455292905724016,79,middle,8
combative_iconoclast,universalist,0.7441143819685927,80,middle,8
combative_iconoclast,casual,0.7275547728559659,81,middle,8
combative_iconoclast,reactive,0.7194606538948358,82,middle,8
