role,character,cluster_label,nearest_seed_similarity
contrarian,contrarian,combative_iconoclast,0.9997585415840149
provocateur,provocateur,combative_iconoclast,0.9996688961982727
rebel,rebel,combative_iconoclast,0.9996285438537598
maverick,maverick,combative_iconoclast,0.9995858669281006
competitor,competitor,combative_iconoclast,0.9995179176330566
devils_advocate,devils advocate,combative_iconoclast,0.9991993308067322
cynic,cynic,combative_iconoclast,0.9991412162780762
workaholic,workaholic,combative_iconoclast,0.9989697933197021
editor,editor,editorial,0.9997711777687073
examiner,examiner,editorial,0.9997310042381287
screener,screener,editorial,0.9996146559715271
grader,grader,editorial,0.9992529153823853
proofreader,proofreader,editorial,0.9991522431373596
retiree,retiree,grounded_social,0.9996889233589172
veteran,veteran,grounded_social,0.9996871948242188
celebrity,celebrity,grounded_social,0.999650239944458
expatriate,expatriate,grounded_social,0.9996435642242432
parent,parent,grounded_social,0.9995986819267273
orphan,orphan,grounded_social,0.9995951652526855
divorcee,divorcee,grounded_social,0.999579906463623
soldier,soldier,grounded_social,0.999526858329773
graduate,graduate,grounded_social,0.9995267391204834
blogger,blogger,grounded_social,0.9995264410972595
fixer,fixer,grounded_social,0.9994978308677673
survivor,survivor,grounded_social,0.9994950890541077
vigilante,vigilante,grounded_social,0.9994760751724243
refugee,refugee,grounded_social,0.9994726181030273
mechanic,mechanic,grounded_social,0.9994693994522095
patient,patient,grounded_social,0.999461829662323
immigrant,immigrant,grounded_social,0.9994508624076843
widow,widow,grounded_social,0.9994267821311951
actor,actor,grounded_social,0.9993789792060852
grandparent,grandparent,grounded_social,0.9993758797645569
rogue,rogue,grounded_social,0.9993661642074585
spy,spy,grounded_social,0.9993323087692261
presenter,presenter,grounded_social,0.9993313550949097
chef,chef,grounded_social,0.9993247389793396
bartender,bartender,grounded_social,0.9993169903755188
influencer,influencer,grounded_social,0.9993128180503845
shapeshifter,shapeshifter,grounded_social,0.9993104934692383
prisoner,prisoner,grounded_social,0.9992697834968567
addict,addict,grounded_social,0.9992592930793762
newlywed,newlywed,grounded_social,0.999244749546051
hacker,hacker,grounded_social,0.9992291927337646
amateur,amateur,grounded_social,0.9992137551307678
daredevil,daredevil,grounded_social,0.9992005228996277
criminal,criminal,grounded_social,0.9991462826728821
surfer,surfer,grounded_social,0.9991431832313538
auctioneer,auctioneer,grounded_social,0.999138593673706
smuggler,smuggler,grounded_social,0.9991207122802734
saboteur,saboteur,grounded_social,0.9991026520729065
playwright,playwright,grounded_social,0.9990113377571106
chameleon,chameleon,grounded_social,0.9989804029464722
exile,exile,grounded_social,0.9989305138587952
provincial,provincial,grounded_social,0.998846709728241
pirate,pirate,grounded_social,0.9988293051719666
sommelier,sommelier,grounded_social,0.9988101720809937
student,student,grounded_social,0.9985299110412598
ghost,ghost,mythic_spiritual,0.9997574687004089
ancient,ancient,mythic_spiritual,0.9997515678405762
spirit,spirit,mythic_spiritual,0.999750018119812
familiar,familiar,mythic_spiritual,0.9997448325157166
witch,witch,mythic_spiritual,0.9997445344924927
avatar,avatar,mythic_spiritual,0.9997334480285645
homunculus,homunculus,mythic_spiritual,0.999731183052063
wanderer,wanderer,mythic_spiritual,0.9997275471687317
virtuoso,virtuoso,mythic_spiritual,0.9997252225875854
sage,sage,mythic_spiritual,0.9996922016143799
guru,guru,mythic_spiritual,0.9996742010116577
pilgrim,pilgrim,mythic_spiritual,0.9996622204780579
mystic,mystic,mythic_spiritual,0.9996615052223206
hermit,hermit,mythic_spiritual,0.9996271729469299
revenant,revenant,mythic_spiritual,0.9996134638786316
warrior,warrior,mythic_spiritual,0.9996044635772705
oracle,oracle,mythic_spiritual,0.9995982646942139
bard,bard,mythic_spiritual,0.9995980262756348
wraith,wraith,mythic_spiritual,0.9995816946029663
echo,echo,mythic_spiritual,0.9995812177658081
shaman,shaman,mythic_spiritual,0.9995806813240051
angel,angel,mythic_spiritual,0.9995759725570679
dreamer,dreamer,mythic_spiritual,0.9995613098144531
golem,golem,mythic_spiritual,0.9995586276054382
elder,elder,mythic_spiritual,0.9995577335357666
nomad,nomad,mythic_spiritual,0.9995205402374268
narrator,narrator,mythic_spiritual,0.9995020627975464
prophet,prophet,mythic_spiritual,0.9994961619377136
chimera,chimera,mythic_spiritual,0.9994943737983704
wind,wind,mythic_spiritual,0.9994890093803406
vampire,vampire,mythic_spiritual,0.9994840621948242
romantic,romantic,mythic_spiritual,0.9994825720787048
flaneur,flaneur,mythic_spiritual,0.9994665384292603
ascetic,ascetic,mythic_spiritual,0.9994454383850098
artisan,artisan,mythic_spiritual,0.9994269013404846
mycorrhizal,mycorrhizal,mythic_spiritual,0.9994145035743713
novelist,novelist,mythic_spiritual,0.9994124174118042
musician,musician,mythic_spiritual,0.9994005560874939
whale,whale,mythic_spiritual,0.9993857145309448
predator,predator,mythic_spiritual,0.9993827939033508
coral_reef,coral reef,mythic_spiritual,0.9993820190429688
zeitgeist,zeitgeist,mythic_spiritual,0.9993619918823242
photographer,photographer,mythic_spiritual,0.9993562698364258
martyr,martyr,mythic_spiritual,0.9993426203727722
loner,loner,mythic_spiritual,0.9992712140083313
bohemian,bohemian,mythic_spiritual,0.9992370009422302
philosopher,philosopher,mythic_spiritual,0.9992343187332153
alien,alien,mythic_spiritual,0.9992054104804993
tree,tree,mythic_spiritual,0.9991875886917114
simulacrum,simulacrum,mythic_spiritual,0.9991349577903748
composer,composer,mythic_spiritual,0.999096155166626
purist,purist,mythic_spiritual,0.9990779757499695
traditionalist,traditionalist,mythic_spiritual,0.9990704655647278
leviathan,leviathan,mythic_spiritual,0.9990571737289429
parasite,parasite,mythic_spiritual,0.9990338087081909
demon,demon,mythic_spiritual,0.9990296363830566
aberration,aberration,mythic_spiritual,0.9989990592002869
void,void,mythic_spiritual,0.9988948702812195
eldritch,eldritch,mythic_spiritual,0.9988669157028198
stoic,stoic,mythic_spiritual,0.9988164305686951
virus,virus,mythic_spiritual,0.9987883567810059
moderator,moderator,other,0.9989191293716431
gossip,gossip,other,0.9987905621528625
comedian,comedian,other,0.9987463355064392
prey,prey,other,0.9987390041351318
gamer,gamer,other,0.9986544251441956
adolescent,adolescent,other,0.9985446929931641
crystalline,crystalline,other,0.9985235929489136
podcaster,podcaster,other,0.9985072612762451
amnesiac,amnesiac,other,0.9984791278839111
teenager,teenager,other,0.9984265565872192
robot,robot,other,0.9984019994735718
luddite,luddite,other,0.9979077577590942
hoarder,hoarder,other,0.9979072213172913
narcissist,narcissist,other,0.9978288412094116
interviewer,interviewer,other,0.9976580739021301
poet,poet,other,0.9974652528762817
procrastinator,procrastinator,other,0.9970123171806335
zealot,zealot,other,0.9969165921211243
fool,fool,other,0.9966607689857483
toddler,toddler,other,0.9939867258071899
caveman,caveman,other,0.9935348033905029
infant,infant,other,0.9889199733734131
