lens,content,direct_items
Auxiliary content-free,Auxiliary,1
Psychological wellbeing,Meaning-making,1
Psychological wellbeing,Self-concept,4
Social wellbeing,Interpersonal relationships,1
Subjective wellbeing,Affect,4
Subjective wellbeing,Appraisal,2
