role,subset,n,retained_fraction,centroid_pc1,centroid_pc2,centroid_pc3,centroid_distance_to_published,mean_response_distance_to_published,sd_pc1,sd_pc2,sd_pc3,cloud_volume_proxy
amateur,all,60,1.0,-1.6212863420477956,38.46016335218537,-16.303681091036857,8.394237429757384,24.912256940997317,16.921735697009524,15.281252793480062,11.886649801490433,7349631.27030816
amateur,score_ge_2,44,0.7333333333333333,-6.069091337567085,40.899834360114696,-17.312947566187855,9.223934777643949,23.308184535205704,15.248306289399029,14.337885449355179,10.892183781237653,4514630.412497144
amateur,score_eq_3,11,0.18333333333333332,-11.667624663820204,41.084475332266486,-20.064481809901153,12.25717531525071,22.369150005440734,16.67406659745552,13.752607243391084,7.459847453297962,1997131.4849390814
playwright,all,60,1.0,-8.507922491963175,11.929763913080157,4.3104351512242935,7.460003840971534,27.916286844249125,24.371576299728353,13.07159121547707,10.005566736746003,9008474.593808085
playwright,score_ge_2,54,0.9,-12.175499527079417,12.692661465784065,4.685764117458483,8.451728771951018,26.626780045414883,22.529131004231356,12.440003011204576,9.676458426001753,6638858.40400628
playwright,score_eq_3,40,0.6666666666666666,-19.086568797410102,13.066180600046744,6.5391502598612,12.760972312918462,25.94988004563312,19.526620141719047,13.22070231136652,8.545510528594312,3275354.1244114065
