replicate,K,mean_canonical_corr,min_canonical_corr,procrustes_similarity,projection_distance
0,3,0.9485331021309992,0.8974966386087941,0.5481088178206445,0.7696629319972481
1,3,0.9293869403009406,0.823794691015129,0.538332205760397,0.8851959400836794
2,3,0.8943322289421092,0.7118988111875924,0.5216927991995718,1.0493136893892454
3,3,0.9103844201568058,0.7905230518206886,0.5280069467227054,0.9908359883584085
4,3,0.8780225107432856,0.68349722177253,0.5131855322859739,1.1222882740822449
5,3,0.9301769875008495,0.8341364698566567,0.5385237090650715,0.8830967477838279
6,3,0.9529434050145088,0.8833658852799899,0.5509270602349292,0.7325494777939444
7,3,0.9639320859773403,0.9235220150494922,0.5567835498425838,0.6479640539755499
8,3,0.9021230766666041,0.7355137962468632,0.5252823396910739,1.0165689081199023
9,3,0.958446913992174,0.9091088331351735,0.5537433037431391,0.6932750998509928
10,3,0.973702417689405,0.9440662968686243,0.5623013482899284,0.5556163125790353
11,3,0.9292263752005256,0.8162961530011222,0.538489520481628,0.8834719316234081
12,3,0.9819882196555386,0.9675469976929065,0.5669858158445146,0.4620471008028839
13,3,0.932349804760932,0.8212290947740724,0.5402128364274671,0.8643272785593615
14,3,0.8999456990600421,0.7428745570660636,0.523584167307079,1.0322175911194031
15,3,0.9489921243483876,0.8784885321385406,0.5486638189507165,0.7625118018362046
16,3,0.9278059697244153,0.8085170300537172,0.5378935069471998,0.8899833444018891
17,3,0.9660375711884649,0.9240203996744564,0.558016150236793,0.6285885533068205
18,3,0.9088805678332438,0.7537239277577316,0.5285651546085616,0.9854642520179483
19,3,0.9535610744987711,0.9010041840898375,0.5509805716575015,0.7318246878915116
20,3,0.980523642346003,0.9719543661007878,0.5661290679119245,0.4805848649022979
21,3,0.9406581691205079,0.8594353759956146,0.5441275920102672,0.8189340297215242
22,3,0.8760787354508063,0.6493880434724738,0.5142067326536325,1.1138428298849774
23,3,0.974369570803181,0.956108209014043,0.5626271245407438,0.5496480120570423
24,3,0.9605358762944052,0.9205965417804451,0.5548468111345627,0.677207716382892
25,3,0.9557279025489521,0.8939548832611348,0.5523811988981622,0.7125659266825279
26,3,0.9169614882248903,0.7881292228206709,0.5320549201796317,0.9510605209068606
27,3,0.9038448519803296,0.7487129430591082,0.5256920554445405,1.0127494908243058
28,3,0.9051965317797985,0.7538374351611489,0.5262918077285773,1.0071270009885305
29,3,0.9537507548760796,0.8868877610245358,0.5513370083411692,0.7269766558847554
30,3,0.9183033293973105,0.8065500380853965,0.5322128535451138,0.9494685952597888
31,3,0.9563546503970602,0.8901047782161445,0.5528206489201385,0.7064049421509591
32,3,0.9625275448119073,0.9210592999607465,0.5560047194055825,0.6598920638839024
33,3,0.8546688868073398,0.5906195575167269,0.5050982637286672,1.18649205290602
34,3,0.9651854656069697,0.9303261286620742,0.557454235539319,0.6374997686485189
35,3,0.9688054209513378,0.9422004223476271,0.5594764807405553,0.6047720355364842
36,3,0.9164612549813927,0.7802633509132668,0.5320509151760381,0.951100849482389
37,3,0.9740012167644411,0.954526146659217,0.5624129814294843,0.5535788017552444
38,3,0.9398989632204243,0.8463893281929955,0.5440104589835141,0.8203335719680295
39,3,0.9437817104622601,0.8588193582636447,0.5460165527073335,0.7959815544676889
40,3,0.9204703129052437,0.7865970232665024,0.5342468415990224,0.928679503567543
41,3,0.8948403644055158,0.7325527446984983,0.5209413497306663,1.0560123022646328
42,3,0.9234080969563682,0.7985046053282667,0.5355799722736607,0.9147533434692737
43,3,0.8454004418432609,0.5648686774462035,0.5013700991739741,1.2146211037920558
44,3,0.9486037673802099,0.8639509761198912,0.5487674061978246,0.7611688446779856
45,3,0.9691458501590042,0.932276996085642,0.5597477703620465,0.6002364570274877
46,3,0.9229304240434478,0.8088931072971696,0.534918570204095,0.9216931259993862
47,3,0.8955336723987495,0.7170011972376574,0.522166415606157,1.0450646962912513
48,3,0.9394218705201243,0.8425609279521384,0.543822405887095,0.8225748813288026
49,3,0.9428531024998866,0.8565143674942473,0.5455132229423489,0.8021694488765663
