component,eigenvalue,variance_fraction,cumulative_variance
1,4.629182958982786,0.05859725264535174,0.05859725264535174
2,2.8372835118697215,0.03591498116290788,0.09451223380825963
3,2.655998609767395,0.0336202355666759,0.12813246937493553
4,2.5387354913058253,0.03213589229501046,0.16026836166994599
5,2.356131355103289,0.029824447532953036,0.19009280920289903
6,2.086104792431327,0.026406389777611745,0.21649919898051076
7,2.0013091331274677,0.025333027001613526,0.24183222598212428
8,1.9515359126538179,0.024702986236124286,0.26653521221824855
9,1.8982838722075681,0.024028909774779353,0.2905641219930279
10,1.820957100069275,0.02305008987429463,0.3136142118673225
11,1.7429139344055555,0.022062201701336152,0.33567641356865874
12,1.6467117372369768,0.02084445237008832,0.35652086593874704
13,1.5659606392287806,0.019822286572516216,0.37634315251126327
14,1.5614099882099004,0.019764683395062037,0.39610783590632526
15,1.5298631046480586,0.019365355755038723,0.415473191661364
16,1.5067821914843575,0.019073192297270357,0.4345463839586343
17,1.4262069425149884,0.018053252436898592,0.4525996363955329
18,1.3691529765900685,0.01733105033658315,0.469930686732116
19,1.28186692071173,0.016226163553313043,0.48615685028542904
20,1.275417294076449,0.016144522709828475,0.5023013729952575
21,1.2030703960258902,0.015228739190201146,0.5175301121854586
22,1.191613697747907,0.015083717693011487,0.5326138298784702
23,1.1553234507018482,0.01462434747723859,0.5472381773557088
24,1.1278688104758157,0.014276820385769823,0.5615149977414786
25,1.0941490050341094,0.01384998740549506,0.5753649851469737
26,1.083576392609482,0.01371615686847446,0.5890811420154481
27,1.0434208121519004,0.013207858381669631,0.6022890003971177
28,1.0312736766953263,0.013054097173358566,0.6153430975704763
29,1.0177886394077373,0.012883400498832123,0.6282264980693085
30,1.0069925860356845,0.012746741595388416,0.6409732396646969
31,0.9915345612364924,0.012551070395398642,0.6535243100600956
32,0.9641510402561819,0.012204443547546611,0.6657287536076422
33,0.9599780060074867,0.012151620329208697,0.677880373936851
34,0.9497739333813019,0.012022454852927876,0.6899028287897788
35,0.9314613115197244,0.011790649512907909,0.7016934783026867
36,0.9192527378305166,0.011636110605449583,0.7133295889081364
37,0.9079684442000786,0.01149327144557062,0.7248228603537069
38,0.9034701020178231,0.011436330405288905,0.7362591907589958
39,0.8852299553066199,0.011205442472235698,0.7474646332312316
40,0.8683569708148521,0.010991860390061423,0.758456493621293
41,0.8518931283518139,0.01078345732090904,0.769239950942202
42,0.8318755605250502,0.010530070386393043,0.779770021328595
43,0.8148690463059315,0.010314798054505466,0.7900848193831004
44,0.7957916458366672,0.010073311972616043,0.8001581313557165
45,0.7745785227204118,0.00980479142684066,0.8099629227825571
46,0.7516073123424672,0.009514016611929969,0.8194769393944871
47,0.7023864519365721,0.008890967746032562,0.8283679071405198
48,0.6909559837481638,0.008746278275293215,0.837114185415813
49,0.6510225211707356,0.008240791407224503,0.8453549768230374
50,0.6407003055431616,0.008110130449913442,0.8534651072729509
51,0.6297944326928976,0.007972081426492377,0.8614371886994433
52,0.6145561212639621,0.007779191408404586,0.8692163801078479
53,0.6012965603263338,0.007611348864890305,0.8768277289727382
54,0.5891602137063341,0.007457724224130814,0.884285453196869
55,0.5713272320223093,0.007231990278763411,0.8915174434756324
56,0.5579355432947705,0.007062475231579376,0.8985799187072119
57,0.5427129248790847,0.006869783859228923,0.9054497025664409
58,0.5227263213286171,0.006616788877577434,0.9120664914440183
59,0.502024126241278,0.006354735775206053,0.9184212272192244
60,0.486703617976379,0.006160805290840243,0.9245820325100645
61,0.4811107808415844,0.00609000988407069,0.9306720423941354
62,0.4624161719679283,0.005853369265416816,0.9365254116595522
63,0.44575628565563985,0.005642484628552405,0.9421678962881045
64,0.4092273905908703,0.005180093551783171,0.9473479898398877
65,0.39548199772410775,0.005006101237014024,0.9523540910769016
66,0.3909929216111797,0.004949277488749112,0.9573033685656509
67,0.37115193857785184,0.0046981258047829365,0.9620014943704338
68,0.35191059462404545,0.004454564488911969,0.9664560588593457
69,0.34111034155392717,0.004317852424733257,0.9707739112840791
70,0.33347273551141815,0.004221173867233143,0.9749950851513122
71,0.31858474659071256,0.004032718311274844,0.9790278034625871
72,0.28026206452035546,0.0035476210698779185,0.982575424532465
73,0.2624570534226617,0.003322241182565339,0.9858976657150305
74,0.23699296098824407,0.002999910898585369,0.9888975766136158
75,0.21389476185114295,0.002707528631027127,0.9916051052446428
76,0.20264697893850891,0.002565151632133025,0.9941702568767758
77,0.18976183787924764,0.002402048580749971,0.9965723054575257
78,0.18331174896073554,0.002320401885578932,0.9988927073431046
79,0.08747611989475887,0.0011072926568956823,1.0000000000000004
