model,N_test,test_N,test_R2,test_RMSE,test_MAE,test_Pearson,test_Spearman
M0,783,783,-7.036027154216917e-05,0.8200420482432351,0.6727240432097872,,
M1,783,783,0.44673040852991286,0.6099429900430704,0.48788984011161707,0.6707572755227215,0.6672060796550259
M2,783,783,0.21142050981335925,0.7281881084247755,0.5863532616307027,0.4599160040776834,0.45363039560527607
M3,783,783,0.46215913983856804,0.6013782820757081,0.4810293215172535,0.6823357263098715,0.6763969150520188
