pc,N,pearson,spearman
1,783,-0.003859700472193875,-0.0018978236428248219
2,783,0.0657885751995415,0.07466029536736034
3,783,0.12070908211003947,0.1200359049270159
4,783,0.2741420937497966,0.2837710862297933
5,783,-0.028117542653725375,-0.024749674598007587
6,783,-0.054747419907055256,-0.03727556561527824
7,783,0.13695201790832004,0.13192927138838642
8,783,-0.07795742759652792,-0.04614305818892388
9,783,0.00942593775200715,0.03404921167782431
10,783,0.08566891102588031,0.10771333117713569
11,783,0.09764591930171372,0.10613033870467403
12,783,0.052583344568399165,0.08307598290125498
13,783,0.01775096011646002,0.013605983534564077
14,783,-0.06209961631421453,-0.09410978490003402
15,783,0.0029654710841134253,0.014768980301848322
16,783,-0.1279439035731482,-0.10917384833742183
17,783,-0.029086363932011066,-0.0340715969502099
18,783,0.13759438521810569,0.17822677670789022
19,783,-0.010462859691609483,-0.005174760046691067
20,783,-0.17648592585568584,-0.17598167512356153
