pc,N,multiple_R2,residual_variance
1,783,0.09966992619553827,4.449084573531675
2,783,0.03868279001652042,2.904349762652836
3,783,0.04440590537986078,2.405430848217046
4,783,0.13414774835608778,2.230805700662589
5,783,0.018786834325936863,2.0791169611592197
6,783,0.03598373008362177,2.467489311179921
7,783,0.0452645869862609,3.2558074107047124
8,783,0.04307230823597563,4.539189065242107
9,783,0.009514859860501934,6.841532366172071
10,783,0.05860939072640636,2.296753324491004
11,783,0.03038499402103656,2.078077964202631
12,783,0.015592744619752352,2.5327002838132415
13,783,0.028315350395827776,2.1859960064358828
14,783,0.007895960113610268,3.8610390550234963
15,783,0.010082048328411308,2.1941468751871205
16,783,0.02312647247209154,1.9723782578786826
17,783,0.001164824701138878,2.7974775659179674
18,783,0.025527790197744427,1.7630270954538731
19,783,0.02635333752752389,1.3013759912228906
20,783,0.055325209966172406,1.7859219466461025
21,783,0.04601818508271682,1.516195517948141
22,783,0.008669101991250261,1.3785319836715133
23,783,0.015312591963169586,1.3602398435510112
24,783,0.013237320949791465,1.2439460568360912
25,783,0.008087180087912538,1.2734789877237305
26,783,0.01759863358314373,1.222392852718521
27,783,0.005845935205075814,1.2333589404972667
28,783,0.021308877724695585,1.1904376648737007
29,783,0.0137268775745083,1.2842267137525396
30,783,0.005759291069536432,1.1353278562815423
