indicator,content,axis,n,pearson_r,p_value,bh_fdr_q,fdr_significant
q_2765,Appraisal,C1,762,-0.30496668001727106,7.27218981313194e-18,1.575641126178587e-17,True
q_2765,Appraisal,C2,762,0.2178489966102803,1.2257527546534851e-09,1.5934785810495307e-09,True
q_2765,Appraisal,C3,762,0.35966154520868604,1.0992405969410166e-24,4.287038328069965e-24,True
q_1371,Appraisal,C1,1027,-0.1649827671011708,1.0536762677807773e-07,1.174096412670009e-07,True
q_1371,Appraisal,C2,1027,0.19706032310308488,1.8898873640029077e-10,2.632343114146907e-10,True
q_1371,Appraisal,C3,1027,0.3241401865775497,1.495844873439883e-26,9.722991677359239e-26,True
q_1043,Affect,C1,756,-0.09676671875344413,0.00775642114065711,0.00775642114065711,True
q_1043,Affect,C2,756,0.1746281696030075,1.3605317927354762e-06,1.4340740518022587e-06,True
q_1043,Affect,C3,756,0.2838856822873823,1.7637126764222982e-15,3.1265815627486195e-15,True
q_208,Affect,C1,1045,-0.43076726506026336,1.8601266489933185e-48,3.627246965536971e-47,True
q_208,Affect,C2,1045,0.2994143912450145,4.3624635081653234e-23,1.308739052449597e-22,True
q_208,Affect,C3,1045,0.4401964938126712,9.22252844553786e-51,3.596786093759765e-49,True
q_206,Affect,C1,1025,-0.34088705730186253,2.631409438785903e-29,2.0524993622530047e-28,True
q_206,Affect,C2,1025,0.3015777408698534,5.385386275121695e-23,1.5002147480696153e-22,True
q_206,Affect,C3,1025,0.27467957170879403,3.3627720152033912e-19,8.196756787058266e-19,True
q_1578,Affect,C1,760,-0.37000952025786915,4.5293731334103706e-26,2.5235078886143495e-25,True
q_1578,Affect,C2,760,0.2845113828228314,1.2815043301397357e-15,2.3799366131166518e-15,True
q_1578,Affect,C3,760,0.24178478006339055,1.427869455530032e-11,2.1418041832950477e-11,True
q_875,Meaning-making,C1,1018,-0.31031757167318547,3.662127526699066e-24,1.2983906685569416e-23,True
q_875,Meaning-making,C2,1018,0.3155059274959741,5.788315926157579e-25,2.508270234668284e-24,True
q_875,Meaning-making,C3,1018,0.2861545986677065,1.227372199228347e-20,3.1911677179937025e-20,True
q_285,Self-concept,C1,1027,-0.1878637070721914,1.3015561552573015e-09,1.6374416146785406e-09,True
q_285,Self-concept,C2,1027,0.3456557043547419,3.421039540816175e-30,3.3355135522957704e-29,True
q_285,Self-concept,C3,1027,0.15851907730591305,3.2875861410203257e-07,3.561551652772019e-07,True
q_820,Self-concept,C1,767,-0.2207590797005232,6.397766880217304e-10,8.603893390637064e-10,True
q_820,Self-concept,C2,767,0.29435932900713957,8.502071673974396e-17,1.6579039764250073e-16,True
q_820,Self-concept,C3,767,0.20182713585291848,1.7147489808531824e-08,1.966917948625709e-08,True
q_1044,Self-concept,C1,1056,-0.22031404233733087,4.4862377156254324e-13,7.290136287891327e-13,True
q_1044,Self-concept,C2,1056,0.3139796099583644,1.3666281890181694e-25,6.662312421463575e-25,True
q_1044,Self-concept,C3,1056,0.14683957756932603,1.6507098741255743e-06,1.6941496076551947e-06,True
q_867,Self-concept,C1,1033,-0.30784529760112384,4.097256975593687e-24,1.3316085170679482e-23,True
q_867,Self-concept,C2,1033,0.4027784913631307,1.4410999346696006e-41,1.873429915070481e-40,True
q_867,Self-concept,C3,1033,0.21157647906375293,6.4283853066506565e-12,1.0028281078375023e-11,True
q_4288,Interpersonal relationships,C1,1018,-0.268535014089116,2.8315724347997983e-18,6.495960291599538e-18,True
q_4288,Interpersonal relationships,C2,1018,0.2041929810549557,4.819462567055435e-11,6.961445930191184e-11,True
q_4288,Interpersonal relationships,C3,1018,0.2281733900556287,1.724344975617357e-13,2.9238893064816054e-13,True
q_832,Vitality,C1,1057,-0.18294597757998513,2.079760099898226e-09,2.534707621750963e-09,True
q_832,Vitality,C2,1057,0.25553397191406513,3.2155924434499965e-17,6.600426594449993e-17,True
q_832,Vitality,C3,1057,0.18247818915506428,2.2886680781807513e-09,2.704789546940888e-09,True
