variant,metric,value
primary,test_r2,0.4979047796583128
C3_five_factor_subspace,test_r2,0.5001667372974011
six_factor_subspace,test_r2,0.4985188430719367
future_safe_direct_plus_close_C1,zero_order_r,-0.19238137497669056
future_safe_direct_plus_close_C2,zero_order_r,0.23131957535401418
future_safe_direct_plus_close_C3,zero_order_r,0.25638099866008246
future_safe_direct_unique_C1,zero_order_r,-0.3183988308482884
future_safe_direct_unique_C2,zero_order_r,0.33895844521889384
future_safe_direct_unique_C3,zero_order_r,0.30517130661051695
remove_C1_theatrical,test_r2,0.498430622845765
remove_C1_optimistic,test_r2,0.4973073833372782
remove_C1_pessimistic,test_r2,0.49721451969519614
remove_C2_stoic,test_r2,0.4976962978692724
remove_C2_optimistic,test_r2,0.4961754239660816
remove_C2_pessimistic,test_r2,0.49779440354164217
remove_C3_bitter,test_r2,0.49818796706707924
remove_C3_optimistic,test_r2,0.4962518056063463
remove_C3_pessimistic,test_r2,0.4981039645157471
