axis,removed_trait,test_r2,delta_vs_primary
C1,theatrical,0.498430622845765,0.0005258431874521907
C1,optimistic,0.4973073833372782,-0.0005973963210346156
C1,pessimistic,0.49721451969519614,-0.0006902599631166684
C2,stoic,0.4976962978692724,-0.0002084817890404267
C2,optimistic,0.4961754239660816,-0.0017293556922312048
C2,pessimistic,0.49779440354164217,-0.00011037611667064073
C3,bitter,0.49818796706707924,0.0002831874087664277
C3,optimistic,0.4962518056063463,-0.001652974051966516
C3,pessimistic,0.4981039645157471,0.00019918485743430914
