model,seed,train_n,validation_n,test_n,alpha,r2,rmse,mae,calibration_slope,calibration_intercept
Intercept,20260915,1757,538,564,0.0,-0.0014816636442622766,0.8239791599139878,0.674927249181004,0.7450907863427634,-0.04817500308150307
BigFive,20260915,1757,538,564,100.0,0.4926908920039872,0.5864500887716504,0.460284287028379,1.1536915441530309,-0.03925154451301091
C1_C3,20260915,1757,538,564,100.0,0.1787244622606804,0.746172381531192,0.5962023345331237,1.1401757356778208,-0.052113113648581975
BigFive_plus_C1_C3,20260915,1757,538,564,100.0,0.4979047796583128,0.5834286745792842,0.4568347059553756,1.1468714077197317,-0.044638323496743376
HumanFactors5,20260915,1757,538,564,100.0,0.42887243937461317,0.6222448139582085,0.4862496194713064,1.069916289234723,-0.025936830134499836
BigFive_plus_HumanFactors5,20260915,1757,538,564,100.0,0.5180245448993681,0.5716196999662109,0.4436309625767943,1.069800275932398,-0.032273841776805756
Intercept,20260916,1751,549,559,0.0,-0.0003068430672448219,0.8017490962432949,0.6537431276471479,0.404676097715289,-0.0298061417021759
BigFive,20260916,1751,549,559,100.0,0.46566663603070535,0.5859735397160768,0.46793821925358176,1.0540932499512763,0.04036302874019958
C1_C3,20260916,1751,549,559,100.0,0.19230773381853117,0.7204350297211962,0.5846299078001268,1.0312173660907933,0.004125230030768909
BigFive_plus_C1_C3,20260916,1751,549,559,100.0,0.4662323119937125,0.5856632849726943,0.4650209347392821,1.0094755041300931,0.03110391227462063
HumanFactors5,20260916,1751,549,559,10.0,0.3949190031303754,0.6235605278458426,0.4951666615355191,0.9511982247056769,0.04073807878954967
BigFive_plus_HumanFactors5,20260916,1751,549,559,100.0,0.4846320957974306,0.5754804086125354,0.4581306902052605,0.9845504749686845,0.04415882964650407
Intercept,20260917,1759,527,573,0.0,-0.0025076764756477576,0.8183440331975749,0.6645194718562455,0.8263545596775298,-0.051817274608071645
BigFive,20260917,1759,527,573,0.0,0.4497178345373375,0.6062961152902602,0.48592333167360574,0.9895518718805362,-0.03514606588020441
C1_C3,20260917,1759,527,573,0.0,0.18897569775903733,0.7360528536263437,0.5925920708979657,1.042597019566051,-0.026898707338541536
BigFive_plus_C1_C3,20260917,1759,527,573,0.0,0.4478771292552023,0.607309305266574,0.48547079003540433,0.9665691647491443,-0.03445416470150152
HumanFactors5,20260917,1759,527,573,0.0,0.41424308196811843,0.6255337982122544,0.4912934928113962,0.9898216190393772,-0.027062942561405748
BigFive_plus_HumanFactors5,20260917,1759,527,573,0.0,0.4852887127515926,0.5863729300208035,0.4633907831998225,0.9660389851095583,-0.032418339533355545
Intercept,20260918,1696,574,589,0.0,-8.821159253780131e-05,0.800096347961089,0.6636993115751538,,
BigFive,20260918,1696,574,589,100.0,0.43089428669096874,0.6035588283460918,0.47625525423023823,1.0168627824350247,-0.02100286278296281
C1_C3,20260918,1696,574,589,0.0,0.18060147750163436,0.7242203471730613,0.5972702614355316,1.0231334973786774,-0.010193696924885476
BigFive_plus_C1_C3,20260918,1696,574,589,100.0,0.44131565022507946,0.5980071641918626,0.47045192473641867,1.0213266638988219,-0.022475965798829482
HumanFactors5,20260918,1696,574,589,100.0,0.38421034284363675,0.6278260463302615,0.4990766532898963,1.006547728445437,-0.02913909265032827
BigFive_plus_HumanFactors5,20260918,1696,574,589,100.0,0.46339505512760815,0.5860713199650128,0.4582926238784431,0.9915317889526848,-0.027874734618466623
Intercept,20260919,1701,600,558,0.0,-9.310182266619726e-05,0.8206644034444429,0.6821944022006301,,
BigFive,20260919,1701,600,558,100.0,0.4782928851525109,0.592732526569055,0.47505263498993744,1.087955071791673,0.01505356383324101
C1_C3,20260919,1701,600,558,100.0,0.1870554585741796,0.7399047918792959,0.6099491761227543,1.0603402390773475,0.024968156368249908
BigFive_plus_C1_C3,20260919,1701,600,558,100.0,0.49289134628086295,0.5843807361909162,0.4684402148534759,1.0920915580498698,0.02284341747779413
HumanFactors5,20260919,1701,600,558,100.0,0.4607083825269007,0.6026389742909091,0.48299493763101514,1.0505116145191677,0.017329609983608482
BigFive_plus_HumanFactors5,20260919,1701,600,558,100.0,0.5352401924075811,0.5594479179876416,0.4458932503035283,1.051222274929954,0.014433682491649127
