emotion,valence_raw,valence_scaled,valence_rank_positive_to_negative,arousal_raw,arousal_scaled,arousal_rank_high_to_low,quadrant,cluster_id,cluster_representative
afraid,-0.56850386,-0.89246595,164,0.10507786,0.26942658,57,negative_high_arousal,1,distressed
alarmed,-0.31091696,-0.50156443,110,0.26380843,0.57049869,20,negative_high_arousal,1,distressed
alert,0.01724652,-0.00355927,74,0.08311082,0.22776060,66,positive_high_arousal,3,perplexed
amazed,-0.05578214,-0.11438407,82,0.20274767,0.45468173,29,negative_high_arousal,3,perplexed
amused,0.16688950,0.22353174,63,0.05766673,0.17949955,77,positive_high_arousal,3,perplexed
angry,-0.25724834,-0.42011951,105,0.49024916,1.00000000,1,negative_high_arousal,3,perplexed
annoyed,-0.17533332,-0.29580921,97,0.01497074,0.09851594,91,negative_high_arousal,1,distressed
anxious,-0.43490699,-0.68972575,139,0.06551059,0.19437737,73,negative_high_arousal,1,distressed
aroused,-0.02441831,-0.06678782,79,0.32825005,0.69272829,9,negative_high_arousal,3,perplexed
ashamed,-0.47237381,-0.74658361,149,-0.03591693,0.00199479,107,negative_low_arousal,1,distressed
astonished,-0.37345216,-0.59646485,125,0.10545075,0.27013385,56,negative_high_arousal,1,distressed
at ease,0.50036091,0.72959194,22,-0.44652021,-0.77681673,162,positive_low_arousal,0,serene
awestruck,-0.04047354,-0.09115247,80,0.15716110,0.36821543,40,negative_high_arousal,3,perplexed
bewildered,-0.06541012,-0.12899503,84,-0.02730646,0.01832669,103,negative_low_arousal,3,perplexed
bitter,0.08908571,0.10546044,70,0.18351167,0.41819586,33,positive_high_arousal,4,proud
blissful,0.56533277,0.82819012,12,-0.04636557,-0.01782367,111,positive_low_arousal,2,joyful
bored,-0.00332311,-0.03477476,78,-0.43207729,-0.74942213,160,negative_low_arousal,1,distressed
brooding,-0.38948846,-0.62080077,130,-0.13703749,-0.18980556,130,negative_low_arousal,1,distressed
calm,0.34195125,0.48919704,46,-0.50945771,-0.89619340,166,positive_low_arousal,0,serene
cheerful,0.43576068,0.63155773,33,0.14564694,0.34637596,45,positive_high_arousal,4,proud
compassionate,0.36933053,0.53074652,42,-0.13689457,-0.18953449,129,positive_low_arousal,4,proud
contemptuous,0.31338215,0.44584195,51,-0.03271481,0.00806841,105,positive_low_arousal,4,proud
content,0.18599185,0.25252054,62,-0.56418639,-1.00000000,171,positive_low_arousal,0,serene
defiant,0.28363732,0.40070261,52,0.10418278,0.26772883,59,positive_high_arousal,4,proud
delighted,0.60979420,0.89566265,8,0.10489452,0.26907882,58,positive_high_arousal,2,joyful
dependent,-0.04207722,-0.09358614,81,0.08964127,0.24014724,64,negative_high_arousal,3,perplexed
depressed,-0.40558410,-0.64522674,134,-0.16758651,-0.24774940,136,negative_low_arousal,1,distressed
desperate,-0.25667992,-0.41925691,104,0.09213081,0.24486926,63,negative_high_arousal,1,distressed
disdainful,0.34131205,0.48822703,47,-0.05330750,-0.03099076,116,positive_low_arousal,4,proud
disgusted,-0.45944560,-0.72696436,147,0.18888943,0.42839612,32,negative_high_arousal,1,distressed
disoriented,-0.34661591,-0.55573945,118,0.04813682,0.16142368,79,negative_high_arousal,1,distressed
dispirited,-0.45196721,-0.71561552,142,-0.26472515,-0.43199706,151,negative_low_arousal,1,distressed
distressed,-0.63936406,-1.00000000,171,0.06648421,0.19622410,71,negative_high_arousal,1,distressed
disturbed,-0.40969032,-0.65145815,135,0.23532435,0.51647153,22,negative_high_arousal,1,distressed
docile,0.00337475,-0.02461042,77,-0.01154505,0.04822215,101,positive_low_arousal,3,perplexed
droopy,-0.52515924,-0.82668824,156,-0.25656593,-0.41652107,148,negative_low_arousal,1,distressed
dumbstruck,-0.38701791,-0.61705158,129,0.06568678,0.19471156,72,negative_high_arousal,1,distressed
eager,0.06163077,0.06379613,72,0.09897804,0.25785675,62,positive_high_arousal,2,joyful
ecstatic,0.42348069,0.61292221,36,0.27674073,0.59502802,19,positive_high_arousal,2,joyful
elated,0.53067762,0.77559912,17,0.30738467,0.65315189,13,positive_high_arousal,2,joyful
embarrassed,-0.48900196,-0.77181768,153,0.14402407,0.34329778,46,negative_high_arousal,1,distressed
empathetic,0.23476639,0.32653845,57,-0.03443045,0.00481427,106,positive_low_arousal,4,proud
energized,0.25874221,0.36292300,53,0.34388131,0.72237687,7,positive_high_arousal,2,joyful
enraged,-0.37873861,-0.60448732,127,0.33674163,0.70883468,8,negative_high_arousal,1,distressed
enthusiastic,0.52292311,0.76383126,19,0.20582092,0.46051091,26,positive_high_arousal,2,joyful
envious,0.00621898,-0.02029414,76,0.14794520,0.35073517,43,positive_high_arousal,3,perplexed
euphoric,0.43749842,0.63419485,32,0.35661161,0.74652306,6,positive_high_arousal,2,joyful
exasperated,-0.39802057,-0.63374869,133,-0.06728424,-0.05750114,122,negative_low_arousal,1,distressed
excited,0.49129093,0.71582777,25,0.30190369,0.64275586,14,positive_high_arousal,2,joyful
exuberant,0.25213099,0.35289012,55,0.28851792,0.61736640,16,positive_high_arousal,2,joyful
frightened,-0.45341176,-0.71780770,144,0.21280846,0.47376452,25,negative_high_arousal,1,distressed
frustrated,-0.48083115,-0.75941805,150,-0.00056181,0.06905458,96,negative_low_arousal,1,distressed
fulfilled,0.65800893,0.96883102,2,-0.33460301,-0.56453786,153,positive_low_arousal,0,serene
furious,-0.27197844,-0.44247320,107,0.44213086,0.90873166,3,negative_high_arousal,3,perplexed
gloomy,-0.35833746,-0.57352751,122,-0.45883507,-0.80017493,163,negative_low_arousal,1,distressed
grateful,0.60586154,0.88969465,9,0.02827449,0.12374982,87,positive_high_arousal,4,proud
greedy,0.32113409,0.45760592,49,0.18003204,0.41159588,34,positive_high_arousal,4,proud
grief-stricken,-0.48971024,-0.77289254,154,0.02412997,0.11588871,88,negative_high_arousal,1,distressed
grumpy,-0.28008795,-0.45477980,109,0.03062613,0.12821031,86,negative_high_arousal,1,distressed
guilty,-0.33986628,-0.54549653,117,-0.06844511,-0.05970301,123,negative_low_arousal,1,distressed
happy,0.67854792,1.00000000,1,0.03653677,0.13942131,85,positive_high_arousal,2,joyful
hateful,-0.21610498,-0.35768233,101,0.23468943,0.51526724,23,negative_high_arousal,3,perplexed
heartbroken,-0.35939774,-0.57513654,123,-0.17602772,-0.26376026,137,negative_low_arousal,1,distressed
hope,0.61774904,0.90773453,6,-0.14189243,-0.19901418,131,positive_low_arousal,0,serene
hopeful,0.62998569,0.92630429,4,0.01974467,0.10757089,90,positive_high_arousal,2,joyful
horrified,-0.57618546,-0.90412319,166,0.14356083,0.34241912,47,negative_high_arousal,1,distressed
hostile,-0.16363144,-0.27805099,95,0.31925407,0.67566517,10,negative_high_arousal,4,proud
humiliated,-0.56404424,-0.88569824,163,0.10230666,0.26417031,60,negative_high_arousal,1,distressed
hurt,-0.39533293,-0.62967006,132,-0.24762410,-0.39956066,147,negative_low_arousal,1,distressed
hysterical,-0.32062164,-0.51629179,112,0.31018528,0.65846396,12,negative_high_arousal,1,distressed
impatient,0.12248023,0.15613835,67,0.10783104,0.27464866,55,positive_high_arousal,4,proud
indifferent,0.22117075,0.30590636,60,-0.51038796,-0.89795785,167,positive_low_arousal,0,serene
indignant,-0.10982379,-0.19639509,92,0.13099445,0.31858386,49,negative_high_arousal,3,perplexed
infatuated,0.23135401,0.32135998,58,0.22005486,0.48750914,24,positive_high_arousal,3,perplexed
inspired,0.41741833,0.60372226,38,0.17731002,0.40643288,35,positive_high_arousal,2,joyful
insulted,-0.27693787,-0.44999940,108,0.14585558,0.34677168,44,negative_high_arousal,1,distressed
invigorated,0.42965883,0.62229786,35,0.28595799,0.61251086,17,positive_high_arousal,4,proud
irate,-0.37593448,-0.60023190,126,0.40403143,0.83646657,4,negative_high_arousal,1,distressed
irritated,-0.20749861,-0.34462171,100,0.07130168,0.20536162,69,negative_high_arousal,1,distressed
jealous,0.02528801,0.00864410,73,0.19170490,0.43373636,31,positive_high_arousal,3,perplexed
joyful,0.50005740,0.72913135,23,0.10116012,0.26199561,61,positive_high_arousal,2,joyful
