role,tfidf_cosine,svd_cosine,tfidf_displacement,svd_displacement
aberration,0.9876382163814552,0.9981921884329668,0.012361783618544786,0.0018078115670332462
absurdist,0.967651269263507,0.995654466391672,0.032348730736493025,0.004345533608328012
accountant,0.9905551638178994,0.9980101959069095,0.009444836182100569,0.0019898040930904637
activist,0.7437660398952379,0.9815339276490767,0.25623396010476207,0.018466072350923346
actor,0.9751477677438705,0.9980456552297361,0.024852232256129536,0.001954344770263905
addict,1.0,1.0000000000000004,0.0,-4.440892098500626e-16
adolescent,0.8545688808676549,0.9940862469917774,0.14543111913234508,0.005913753008222611
advocate,0.7942329652133344,0.9348948740396422,0.20576703478666558,0.06510512596035778
alien,0.8999199777090444,0.9881613209411669,0.10008002229095558,0.011838679058833068
altruist,1.0,1.0000000000000004,0.0,-4.440892098500626e-16
amateur,0.7399446077590671,0.968189066733025,0.2600553922409329,0.03181093326697504
ambassador,0.9926225985263168,0.9991663569163062,0.007377401473683154,0.0008336430836938247
amnesiac,0.9848875139858846,0.9984776044523815,0.015112486014115412,0.0015223955476184603
analyst,0.981641035664091,0.9984516347842295,0.018358964335909,0.0015483652157705086
anarchist,0.9546274135609298,0.994254077977559,0.04537258643907016,0.005745922022440952
ancient,0.9885022382510166,0.9989883703575686,0.011497761748983426,0.0010116296424313997
angel,0.9861742429498773,0.9991879703557434,0.013825757050122678,0.0008120296442566399
anthropologist,0.9619401899353726,0.9981805773870527,0.03805981006462744,0.001819422612947319
archaeologist,0.9928842230000807,0.9990356272272267,0.007115776999919277,0.0009643727727732809
architect,0.9817078614597914,0.9958872258228768,0.018292138540208613,0.004112774177123191
archivist,0.9728966565853157,0.996057531481115,0.027103343414684344,0.003942468518885023
artisan,0.9922694017375446,0.9987864040627449,0.007730598262455368,0.0012135959372551186
ascetic,0.979861734182479,0.9880696257441876,0.020138265817520984,0.011930374255812448
assistant,0.9763998537177206,0.99856574481931,0.023600146282279355,0.0014342551806899584
auctioneer,0.984388744295366,0.9971893718821954,0.015611255704633953,0.0028106281178046366
auditor,0.9861073979802777,0.998167577992166,0.013892602019722311,0.001832422007833956
avatar,1.0000000000000002,1.0,-2.220446049250313e-16,0.0
bard,0.9638220906451411,0.9955327147752309,0.03617790935485887,0.004467285224769135
bartender,0.9938276967638682,0.9990200687620673,0.006172303236131826,0.0009799312379327185
biologist,0.9901903187653757,0.9969740000658719,0.009809681234624335,0.0030259999341281096
blogger,1.0,1.0,0.0,0.0
bohemian,0.9840313385098352,0.9944014442481486,0.015968661490164848,0.0055985557518514195
builder,0.9929150981265299,0.9984610895368995,0.007084901873470106,0.0015389104631005068
caregiver,0.9764609247669703,0.9994999775366078,0.02353907523302967,0.0005000224633922024
cartographer,0.9638463615082552,0.9948266922103939,0.0361536384917448,0.005173307789606119
caveman,0.9914210460263807,0.9997576607520866,0.008578953973619297,0.00024233924791339234
celebrity,0.9845302330571248,0.9981355690671798,0.015469766942875163,0.0018644309328201825
chameleon,0.9781726602096306,0.9934258752858521,0.021827339790369438,0.0065741247141478665
chef,0.9944709888391888,0.9982199463381733,0.00552901116081117,0.0017800536618266527
chemist,0.9821194475788735,0.9964057436914476,0.017880552421126517,0.0035942563085523682
chimera,0.9742471481744124,0.9826490661236216,0.02575285182558762,0.017350933876378427
coach,0.9907966897807178,0.9994595744221872,0.009203310219282224,0.0005404255778127531
collaborator,1.0,1.0000000000000002,0.0,-2.220446049250313e-16
collector,0.9627874595775721,0.9983504546405133,0.03721254042242794,0.0016495453594866927
comedian,0.9711039509742638,0.9994441666165412,0.02889604902573617,0.0005558333834587703
competitor,1.0,1.0,0.0,0.0
composer,0.9915255360793477,0.9994221766315186,0.00847446392065232,0.0005778233684814449
conservator,0.9667189020310921,0.9961389490325514,0.03328109796890788,0.003861050967448598
consultant,0.9929299148362746,0.9990304800220697,0.007070085163725426,0.0009695199779302666
contrarian,0.7610727086160796,0.9971527394118469,0.23892729138392044,0.0028472605881531
coordinator,0.9672261937923279,0.9962235555698443,0.03277380620767212,0.0037764444301556788
coral_reef,0.9661976768433954,0.9800650969024209,0.033802323156604586,0.01993490309757906
cosmopolitan,0.7604753927132258,0.9907978964421488,0.23952460728677416,0.009202103557851227
counselor,0.9741519089306898,0.9977925616691825,0.025848091069310186,0.0022074383308174905
criminal,1.0,1.0000000000000004,0.0,-4.440892098500626e-16
critic,0.7830538571677877,0.9914242864135301,0.21694614283221225,0.008575713586469913
crystalline,0.9376930141226538,0.981188917199417,0.06230698587734618,0.018811082800582968
curator,0.9886198544093071,0.9991421237326639,0.011380145590692892,0.0008578762673361329
cyborg,0.9855435593650875,0.9979242823661222,0.01445644063491247,0.002075717633877816
cynic,1.0,1.0000000000000002,0.0,-2.220446049250313e-16
daredevil,0.9612745396895702,0.9980833574708479,0.03872546031042978,0.001916642529152135
debugger,0.9831182524209828,0.9964888923822498,0.01688174757901717,0.0035111076177501976
demon,0.9869831932478406,0.9914218780954528,0.013016806752159438,0.008578121904547209
designer,0.9873513092599477,0.9968583320983805,0.01264869074005226,0.003141667901619516
