model,domain,n_personas,pearson_r,spearman_r
Gemma,agreeableness,275,0.9934370970278997,0.9903909292865182
Gemma,conscientiousness,275,0.9365339100701917,0.9505247973226393
Gemma,emotional_stability,275,0.9930869009140831,0.9923354779146593
Gemma,extraversion,275,0.9456000131509849,0.9569210351692103
Gemma,openness,275,0.7537390658728218,0.7807541617379765
Llama,agreeableness,275,0.9973938089222291,0.9944744814056145
Llama,conscientiousness,275,0.9673923129395358,0.9597547676062433
Llama,emotional_stability,275,0.9870883328168562,0.9806658780762241
Llama,extraversion,275,0.8287904617809918,0.8451510343036843
Llama,openness,275,0.8632291854626298,0.9144669801794525
Qwen,agreeableness,275,0.9942569548728973,0.9902847580854565
Qwen,conscientiousness,275,0.9857463632554717,0.9887366204091054
Qwen,emotional_stability,275,0.9882157020556674,0.9841060557975824
Qwen,extraversion,275,0.9567148870530718,0.9606710712327977
Qwen,openness,275,0.882977569370053,0.8855474452554744
