role,neighbor_rank,neighbor,cosine
aberration,1,philosopher,0.5645852057140559
aberration,2,void,0.5584221187359945
aberration,3,hoarder,0.4507563668462415
aberration,4,idealist,0.4086825580648102
aberration,5,physicist,0.3884302052196697
absurdist,1,philosopher,0.7008342835265482
absurdist,2,jester,0.5956945555684762
absurdist,3,void,0.5858864335408445
absurdist,4,comedian,0.5134878529039049
absurdist,5,trickster,0.4889201685708317
accountant,1,economist,0.7667377204581602
accountant,2,statistician,0.7270082923732585
accountant,3,secretary,0.5459319549933829
accountant,4,analyst,0.4160267790351016
accountant,5,auditor,0.3532509439970405
activist,1,influencer,0.4809691601755245
activist,2,advocate,0.4383027104377689
activist,3,loner,0.4348510941966737
activist,4,sociologist,0.42706614614844
activist,5,devils_advocate,0.42047830205384096
actor,1,shapeshifter,0.7317962894342672
actor,2,interpreter,0.6105407603573935
actor,3,empath,0.5053121748724202
actor,4,fixer,0.475441835604758
actor,5,musician,0.4505094506166825
addict,1,cosmopolitan,0.6899406577882828
addict,2,chameleon,0.6328855658609902
addict,3,competitor,0.5882994054167674
addict,4,provincial,0.5632919405201832
addict,5,stoic,0.4926405630967314
adolescent,1,teenager,0.9846497739967618
adolescent,2,student,0.6186520269795873
adolescent,3,prodigy,0.31500358378477245
adolescent,4,parent,0.2873676915086274
adolescent,5,programmer,0.2871064161898417
advocate,1,devils_advocate,0.9990863188788306
advocate,2,contrarian,0.7921383867137953
advocate,3,activist,0.4383027104377689
advocate,4,vegan,0.27939319979764954
advocate,5,debugger,0.15740853040005312
alien,1,eldritch,0.6260378356152699
alien,2,anthropologist,0.5475034498718679
alien,3,cyborg,0.5423265001711736
alien,4,void,0.4899128599824606
alien,5,demon,0.43268818460511105
altruist,1,martyr,0.8069652914516552
altruist,2,narcissist,0.7113501820839969
altruist,3,caregiver,0.6474391043094735
altruist,4,parent,0.48186342391474507
altruist,5,guardian,0.32066556998167994
amateur,1,dilettante,0.9414892818162459
amateur,2,generalist,0.47251844051551284
amateur,3,grandparent,0.3788461989761851
amateur,4,ambassador,0.36295178799664596
amateur,5,pragmatist,0.34781016352450944
ambassador,1,negotiator,0.5272264649732501
ambassador,2,mediator,0.49541195320129766
ambassador,3,peacekeeper,0.4666704874214193
ambassador,4,emissary,0.44020297892479493
ambassador,5,dilettante,0.4001167759020475
amnesiac,1,improviser,0.5300179372348172
amnesiac,2,familiar,0.5193310143986467
amnesiac,3,orphan,0.5084780510972396
amnesiac,4,workaholic,0.3416649673576562
amnesiac,5,realist,0.32919649311837773
analyst,1,statistician,0.7587805784809696
analyst,2,specialist,0.5757167384287352
analyst,3,researcher,0.4968583264754433
analyst,4,economist,0.45838428779123896
analyst,5,accountant,0.4160267790351016
anarchist,1,destroyer,0.6743709346423996
anarchist,2,pacifist,0.6066265432779935
anarchist,3,revolutionary,0.48920219194985776
anarchist,4,activist,0.4076347684247744
anarchist,5,wind,0.40375508020869694
ancient,1,leviathan,0.7852909681183016
ancient,2,witch,0.5526151092387722
ancient,3,golem,0.5388667255302869
ancient,4,tree,0.5209017217786258
ancient,5,whale,0.4859578830567192
angel,1,guardian,0.8715912863083305
angel,2,avatar,0.8707349752842075
angel,3,prophet,0.6259394196645083
angel,4,oracle,0.373313322449814
angel,5,robot,0.3214006691369877
anthropologist,1,geographer,0.615743439185297
anthropologist,2,scholar,0.5623132257495844
anthropologist,3,alien,0.5475034498718679
anthropologist,4,cyborg,0.48065422321826085
anthropologist,5,sociologist,0.4718062556102866
archaeologist,1,echo,0.5974920692015532
archaeologist,2,scholar,0.5628159449477612
archaeologist,3,ancient,0.45163580135499004
archaeologist,4,detective,0.42907060497199173
archaeologist,5,anthropologist,0.42240126746365514
architect,1,composer,0.8594621073355033
architect,2,designer,0.7322653531532665
architect,3,cartographer,0.7049724251319536
architect,4,comedian,0.6286550347925843
architect,5,builder,0.5482742112975371
archivist,1,conservator,0.8513517776376015
archivist,2,collector,0.8392760126628309
archivist,3,curator,0.5254999316848892
archivist,4,purist,0.42743610642762864
archivist,5,secretary,0.4087620053618866
