role,neighbor_rank,neighbor,cosine
aberration,1,void,0.6333850019009479
aberration,2,hoarder,0.5476982022637001
aberration,3,philosopher,0.5343143471522107
aberration,4,dreamer,0.4823532846728213
aberration,5,eldritch,0.47911999132587335
absurdist,1,philosopher,0.6796797835475917
absurdist,2,trickster,0.5735647562767057
absurdist,3,sage,0.5445010222845021
absurdist,4,comedian,0.5194627110212331
absurdist,5,wanderer,0.4830266557341985
accountant,1,economist,0.8297693623020341
accountant,2,statistician,0.7088634041575904
accountant,3,auditor,0.6682810340971125
accountant,4,consultant,0.5579429076008939
accountant,5,analyst,0.491378178697292
activist,1,sociologist,0.6380169254634612
activist,2,loner,0.603837271501814
activist,3,revolutionary,0.5204678894124241
activist,4,provocateur,0.512461929304638
activist,5,traditionalist,0.49201140882144506
actor,1,shapeshifter,0.8420476425217002
actor,2,interpreter,0.7207393625670367
actor,3,translator,0.6046463981476675
actor,4,curator,0.5350194081768272
actor,5,fixer,0.5202121581893672
addict,1,stoic,0.6165471099485053
addict,2,provincial,0.5956171266265662
addict,3,prisoner,0.5729245123617456
addict,4,cosmopolitan,0.5714607160641627
addict,5,exile,0.5616405276028332
adolescent,1,teenager,0.9810227080753847
adolescent,2,parent,0.5405825397794456
adolescent,3,grandparent,0.44760098348958466
adolescent,4,naturalist,0.38450401474462265
adolescent,5,amnesiac,0.38387113813293483
advocate,1,devils_advocate,0.6882727644577039
advocate,2,contrarian,0.47247752944688004
advocate,3,idealist,0.43925432217969
advocate,4,activist,0.4015999422158595
advocate,5,martyr,0.37277790990226495
alien,1,cyborg,0.781596888876478
alien,2,demon,0.7669954391164197
alien,3,anthropologist,0.6618485574741527
alien,4,psychologist,0.6238074710848965
alien,5,cynic,0.6179900828636408
altruist,1,martyr,0.930889762694495
altruist,2,narcissist,0.8575051489487375
altruist,3,caregiver,0.7223656269666072
altruist,4,guardian,0.5836882198565639
altruist,5,guru,0.4852538650898241
amateur,1,dilettante,0.6582487002238574
amateur,2,student,0.4839180061919563
amateur,3,romantic,0.4828818553154907
amateur,4,pragmatist,0.4596087814113656
amateur,5,idealist,0.4482414658466288
ambassador,1,emissary,0.7221582949694421
ambassador,2,peacekeeper,0.7094241269485931
ambassador,3,mediator,0.7055015961864864
ambassador,4,negotiator,0.6962450933149439
ambassador,5,networker,0.5147318412826226
amnesiac,1,orphan,0.5907259578945592
amnesiac,2,improviser,0.47348603435265574
amnesiac,3,graduate,0.44893906936851347
amnesiac,4,workaholic,0.4407229010223824
amnesiac,5,hoarder,0.4398369112952805
analyst,1,researcher,0.9022312622491601
analyst,2,statistician,0.7783828180602393
analyst,3,scientist,0.7283739041229831
analyst,4,detective,0.7010899577687603
analyst,5,consultant,0.5989465097450869
anarchist,1,revolutionary,0.8228625919979258
anarchist,2,destroyer,0.7732657512612192
anarchist,3,pacifist,0.6331054037891158
anarchist,4,virus,0.44603286227058553
anarchist,5,rebel,0.44438982398846855
ancient,1,leviathan,0.7261000950033942
ancient,2,elder,0.555948558658412
ancient,3,wind,0.5431765354482148
ancient,4,survivor,0.5111591268128083
ancient,5,echo,0.508812241241839
angel,1,avatar,0.8447336902407164
angel,2,prophet,0.6525326429199042
angel,3,oracle,0.47606029958116075
angel,4,guardian,0.4727860230363406
angel,5,mystic,0.3188740437582247
anthropologist,1,sociologist,0.7742277108642581
anthropologist,2,geographer,0.7589076132307071
anthropologist,3,psychologist,0.6625621741943237
anthropologist,4,alien,0.6618485574741527
anthropologist,5,cyborg,0.5977125045297852
archaeologist,1,scholar,0.7129022375836359
archaeologist,2,scientist,0.5887156250935125
archaeologist,3,detective,0.5868384586487133
archaeologist,4,statistician,0.515088044186788
archaeologist,5,anthropologist,0.4892738995344465
architect,1,cartographer,0.8064976155163229
architect,2,merchant,0.7256556608469897
architect,3,chemist,0.6768846001507893
architect,4,designer,0.6744638061544183
architect,5,smuggler,0.6624684114645536
archivist,1,conservator,0.9180280229231605
archivist,2,collector,0.8957831229256057
archivist,3,purist,0.5979408577504527
archivist,4,historian,0.5617725863215058
archivist,5,librarian,0.5347870800220977
artisan,1,conservator,0.6091606022427948
artisan,2,purist,0.5874152513755301
artisan,3,playwright,0.5320137636616181
artisan,4,archivist,0.5279444192090642
artisan,5,collector,0.5269835676114863
ascetic,1,pilgrim,0.6281752268231744
ascetic,2,shaman,0.5849431986563431
ascetic,3,mystic,0.49977624828660794
ascetic,4,pacifist,0.45604935292556414
ascetic,5,witch,0.4524788362784986
assistant,1,caregiver,0.5209964528532021
assistant,2,generalist,0.4392279233541637
assistant,3,navigator,0.42141864709196053
assistant,4,reviewer,0.41382183949585244
assistant,5,altruist,0.40471267584179504
auctioneer,1,scheduler,0.6266999514158915
auctioneer,2,narrator,0.6133456586732066
auctioneer,3,facilitator,0.5735337214655207
auctioneer,4,moderator,0.551832861227341
auctioneer,5,historian,0.544378757319423
auditor,1,examiner,0.8756447066984818
auditor,2,accountant,0.6682810340971125
auditor,3,screener,0.6157022067696862
auditor,4,pilot,0.5747068331726857
auditor,5,supervisor,0.5654855018793492
avatar,1,angel,0.8447336902407164
avatar,2,prophet,0.5712507197426295
avatar,3,spirit,0.5519778986997331
avatar,4,shapeshifter,0.4652630750634938
avatar,5,oracle,0.38837884586650545
bard,1,narrator,0.6064067266779986
bard,2,blogger,0.5539895956104162
bard,3,poet,0.531776981024943
bard,4,photographer,0.49759063031106743
bard,5,podcaster,0.48547172421599644
bartender,1,networker,0.6508441603901188
bartender,2,sociologist,0.5887089012038443
bartender,3,loner,0.541303412828678
bartender,4,librarian,0.5015773489492807
bartender,5,chef,0.49956239823696
biologist,1,chemist,0.6018067787542637
biologist,2,naturalist,0.580968181857104
biologist,3,geographer,0.5140563290129568
biologist,4,parasite,0.4479556064668084
biologist,5,psychologist,0.4338509813712967
blogger,1,writer,0.7831451475140934
blogger,2,influencer,0.6471024830966483
blogger,3,narrator,0.5993666917456265
blogger,4,podcaster,0.5837897681629731
blogger,5,publisher,0.5637645072275096
bohemian,1,minimalist,0.5776798287970394
bohemian,2,luddite,0.5381284046055499
bohemian,3,critic,0.5226109955059154
bohemian,4,provocateur,0.4892957794031877
bohemian,5,musician,0.4564757874263845
builder,1,saboteur,0.745359739734003
builder,2,composer,0.682977138527737
builder,3,destroyer,0.6687510040401463
builder,4,theorist,0.5649959861089788
builder,5,architect,0.5543991911672526
caregiver,1,altruist,0.7223656269666072
caregiver,2,counselor,0.6690150893178952
caregiver,3,martyr,0.6252827001632647
caregiver,4,narcissist,0.5864363967309726
caregiver,5,therapist,0.5848604341578537
cartographer,1,architect,0.8064976155163229
cartographer,2,merchant,0.6618247003069575
cartographer,3,smuggler,0.6357260061591994
cartographer,4,chemist,0.6231685276553162
cartographer,5,designer,0.6028373126758119
caveman,1,pirate,0.5415088672893332
caveman,2,mechanic,0.5148463644352209
caveman,3,infant,0.5123543737785534
caveman,4,toddler,0.5068532680016361
caveman,5,engineer,0.46060830343353193
celebrity,1,parent,0.6775742337511764
celebrity,2,prisoner,0.6691281159387161
celebrity,3,refugee,0.5827157221836252
celebrity,4,immigrant,0.5598068799723496
celebrity,5,exile,0.5487532825378288
chameleon,1,cosmopolitan,0.6611580706298886
chameleon,2,hybrid,0.6335413691623085
chameleon,3,stoic,0.479580920218046
chameleon,4,realist,0.474714138947471
chameleon,5,addict,0.4662870291197919
chef,1,sommelier,0.7670051844732744
chef,2,architect,0.6124552837687934
chef,3,mentor,0.5850170022144003
chef,4,cartographer,0.552873210429555
chef,5,pharmacist,0.5376807502741358
chemist,1,architect,0.6768846001507893
chemist,2,naturalist,0.6397859403390553
chemist,3,smuggler,0.6261994740798962
chemist,4,cartographer,0.6231685276553162
chemist,5,biologist,0.6018067787542637
chimera,1,coral_reef,0.591991911234026
chimera,2,zealot,0.5850760126597494
chimera,3,leviathan,0.5609775278297373
chimera,4,golem,0.5460756392874985
chimera,5,whale,0.542280686160522
coach,1,trainer,0.7633861420102587
coach,2,guide,0.6598616456945917
coach,3,mentor,0.6493896342212038
coach,4,planner,0.6488111009295603
coach,5,instructor,0.622793476814983
collaborator,1,mediator,0.5938586004013048
collaborator,2,symbiont,0.5012954627133634
collaborator,3,negotiator,0.5004258712612165
collaborator,4,coral_reef,0.4546661685156614
collaborator,5,peacekeeper,0.4513836277753159
collector,1,archivist,0.8957831229256057
collector,2,conservator,0.8803006862562495
collector,3,historian,0.560110910857078
collector,4,curator,0.5458400760211648
collector,5,artisan,0.5269835676114863
comedian,1,fool,0.7282810051926982
comedian,2,trickster,0.721677999134642
comedian,3,jester,0.6949344267251039
comedian,4,absurdist,0.5194627110212331
comedian,5,photographer,0.4851769371145226
competitor,1,daredevil,0.5389340640777089
competitor,2,idealist,0.5227106650075096
