role,neighbor_rank,neighbor,cosine
aberration,1,void,0.6005911660707893
aberration,2,philosopher,0.5468894048212793
aberration,3,hoarder,0.4993325980424982
aberration,4,idealist,0.4375070616290086
aberration,5,eldritch,0.43593696761889505
absurdist,1,philosopher,0.6987872305383798
absurdist,2,trickster,0.5385274925101161
absurdist,3,sage,0.5332212343283693
absurdist,4,comedian,0.5225293104567694
absurdist,5,fool,0.4330250866863983
accountant,1,economist,0.8210432073972598
accountant,2,statistician,0.7110261469760997
accountant,3,auditor,0.5858305848927877
accountant,4,consultant,0.47946083472151685
accountant,5,analyst,0.45916042943997243
activist,1,sociologist,0.6144197363468763
activist,2,loner,0.5904005938419683
activist,3,influencer,0.4952997255186562
activist,4,bartender,0.4842925978414107
activist,5,revolutionary,0.4565024953297446
actor,1,shapeshifter,0.8283258248414256
actor,2,interpreter,0.6879906952857229
actor,3,translator,0.5487284025552045
actor,4,fixer,0.5042546554180207
actor,5,nomad,0.46914732088201044
addict,1,provincial,0.5585640840953869
addict,2,exile,0.5454768219852164
addict,3,prisoner,0.5377703881462673
addict,4,stoic,0.531117664889447
addict,5,cosmopolitan,0.5122414447330743
adolescent,1,teenager,0.9896915814415648
adolescent,2,parent,0.5005756646306344
adolescent,3,grandparent,0.40397167752653257
adolescent,4,naturalist,0.33061022880374824
adolescent,5,programmer,0.3305474926963192
advocate,1,devils_advocate,0.8485125640247043
advocate,2,contrarian,0.6324796987590037
advocate,3,activist,0.3968899028811254
advocate,4,vegan,0.28190247132706836
advocate,5,idealist,0.2729843015475386
alien,1,cyborg,0.7574491467136507
alien,2,demon,0.7434004328157063
alien,3,anthropologist,0.6832202898039424
alien,4,geographer,0.6486987994118616
alien,5,cynic,0.6098072098555665
altruist,1,martyr,0.9151946052678415
altruist,2,narcissist,0.8352431721935133
altruist,3,caregiver,0.714216017323046
altruist,4,guardian,0.5645088136056403
altruist,5,guru,0.4447101094235367
amateur,1,dilettante,0.7853035577444696
amateur,2,student,0.43696702870642046
amateur,3,pragmatist,0.41019719018139505
amateur,4,romantic,0.38869917505398055
amateur,5,generalist,0.37561738806958356
ambassador,1,emissary,0.6776267891739896
ambassador,2,mediator,0.6709535092329926
ambassador,3,negotiator,0.6641884686327335
ambassador,4,peacekeeper,0.6636029600102391
ambassador,5,networker,0.44319288279583585
amnesiac,1,orphan,0.5819982783420025
amnesiac,2,improviser,0.48516398705318725
amnesiac,3,workaholic,0.40594660024796825
amnesiac,4,hoarder,0.3978668043043699
amnesiac,5,graduate,0.39537214251280123
analyst,1,researcher,0.8599513676895693
analyst,2,statistician,0.7698943680341439
analyst,3,detective,0.6243252156282211
analyst,4,scientist,0.5493807945966456
analyst,5,consultant,0.5418845265738904
anarchist,1,revolutionary,0.7691960150479527
anarchist,2,destroyer,0.7506146888958487
anarchist,3,pacifist,0.6039249464821275
anarchist,4,rebel,0.4093339553801613
anarchist,5,virus,0.4072509045396405
ancient,1,leviathan,0.7374889854247435
ancient,2,echo,0.5612351074443049
ancient,3,elder,0.5558438839800514
ancient,4,survivor,0.5331205893231673
ancient,5,wind,0.5313027212812145
angel,1,avatar,0.8563743837310707
angel,2,prophet,0.6450818335006032
angel,3,guardian,0.64038072785581
angel,4,oracle,0.4533171943329439
angel,5,shapeshifter,0.28861229389881077
anthropologist,1,geographer,0.7392143181026058
anthropologist,2,sociologist,0.7335684723315059
anthropologist,3,alien,0.6832202898039424
