role,activation_cluster,cos_role_name_to_original_prompt,displacement_role_name_to_original_prompt,cos_role_name_description_to_original_prompt,displacement_role_name_description_to_original_prompt,cos_original_prompt_to_no_label_prompt,displacement_original_prompt_to_no_label_prompt,cos_role_name_to_no_label_prompt,displacement_role_name_to_no_label_prompt,nn_role_name,nn_original_prompt,nn_no_label_prompt,nn_all_same
aberration,mythic_spiritual,0.9722273344176835,0.027772665582316503,0.9670860110044334,0.032913988995566634,0.993110461987244,0.006889538012756047,0.9444958771274259,0.05550412287257411,philosopher,void,void,False
absurdist,trickster_chaos,0.9463897649292212,0.05361023507077878,0.8759711401793898,0.12402885982061018,0.9883791868702264,0.011620813129773588,0.9034290345095457,0.0965709654904543,philosopher,philosopher,philosopher,True
accountant,procedural_professional,0.9511810234220733,0.048818976577926665,0.9152173419321024,0.08478265806789764,0.990229246007103,0.009770753992896952,0.9057924493528724,0.0942075506471276,economist,economist,economist,True
activist,procedural_professional,0.9525002708707091,0.0474997291292909,0.8447022570976446,0.15529774290235543,0.9681881020662362,0.03181189793376382,0.8766110971198252,0.12338890288017479,influencer,sociologist,sociologist,False
actor,grounded_social,0.9369014780083591,0.0630985219916409,0.7899448983627567,0.21005510163724328,0.9871050819094318,0.012894918090568197,0.8813253290456867,0.11867467095431328,shapeshifter,shapeshifter,shapeshifter,True
addict,grounded_social,0.7374228647783344,0.2625771352216656,0.7986799603157402,0.20132003968425982,1.0,0.0,0.7374228647783346,0.26257713522166537,cosmopolitan,provincial,stoic,False
adolescent,other,0.9644563927603083,0.035543607239691744,0.6665675670261404,0.3334324329738596,0.984646499729073,0.015353500270926967,0.9223102282170031,0.07768977178299685,teenager,teenager,teenager,True
advocate,procedural_professional,0.9587526527938391,0.041247347206160856,0.9855514086401246,0.014448591359875418,0.9503844905869601,0.04961550941303994,0.8259133771934143,0.1740866228065857,devils_advocate,devils_advocate,devils_advocate,True
alien,mythic_spiritual,0.8472193570531608,0.15278064294683924,0.8651118194653783,0.1348881805346217,0.9808074893737236,0.01919251062627636,0.7957785633287979,0.20422143667120207,eldritch,cyborg,cyborg,False
altruist,procedural_professional,0.9596642804285355,0.040335719571464534,0.9864712356306433,0.013528764369356683,0.9970274608495263,0.0029725391504736853,0.935149989862519,0.06485001013748104,martyr,martyr,martyr,True
amateur,grounded_social,0.9560041158090468,0.04399588419095324,0.9338493048028326,0.06615069519716743,0.9636700510014915,0.0363299489985085,0.8562885436039571,0.14371145639604288,dilettante,dilettante,dilettante,True
ambassador,procedural_professional,0.9306867172033152,0.0693132827966848,0.8796839269616145,0.12031607303838554,0.9940806717655603,0.005919328234439747,0.888204974136194,0.11179502586380596,negotiator,emissary,emissary,False
amnesiac,other,0.9367174750003603,0.06328252499963971,0.956138898356308,0.043861101643691947,0.9973203274266718,0.00267967257332824,0.9173776089379139,0.08262239106208613,improviser,orphan,orphan,False
analyst,procedural_professional,0.8021714492519376,0.19782855074806238,0.5169076724278321,0.4830923275721679,0.982869456970299,0.017130543029700962,0.6868422313125191,0.3131577686874809,statistician,researcher,researcher,False
anarchist,procedural_professional,0.9742002057668346,0.025799794233165363,0.973279731918084,0.026720268081915965,0.9840200527777992,0.015979947222200752,0.9292995484686574,0.07070045153134263,destroyer,revolutionary,revolutionary,False
ancient,mythic_spiritual,0.5308205435720414,0.46917945642795855,0.9568596423585191,0.04314035764148094,0.9982469256631437,0.0017530743368563417,0.49866976581931877,0.5013302341806812,leviathan,leviathan,leviathan,True
angel,mythic_spiritual,0.9756199979925754,0.024380002007424628,0.984791469875151,0.015208530124849018,0.9970380299429373,0.0029619700570626684,0.9597115780160175,0.040288421983982525,guardian,avatar,avatar,False
anthropologist,procedural_professional,0.9048483058800872,0.09515169411991276,0.8135510306062047,0.1864489693937953,0.9895405805288735,0.010459419471126497,0.8428816479071015,0.15711835209289848,geographer,geographer,sociologist,False
archaeologist,procedural_professional,0.8967338655215032,0.10326613447849675,0.7496956322649121,0.2503043677350879,0.9910457625887686,0.008954237411231358,0.8332716952473745,0.16672830475262546,echo,scholar,scholar,False
architect,procedural_professional,0.9092991668646215,0.09070083313537847,0.9034326695318178,0.09656733046818222,0.9446828963855168,0.055317103614483165,0.7300585980683026,0.26994140193169736,composer,cartographer,cartographer,False
archivist,procedural_professional,0.9538028959586393,0.04619710404136068,0.9171735675277638,0.0828264324722362,0.9847695326697563,0.015230467330243691,0.8966191932726238,0.10338080672737615,conservator,conservator,conservator,True
artisan,mythic_spiritual,0.8715602252738543,0.12843977472614565,0.5803376327043717,0.41966236729562834,0.9794874747560627,0.02051252524393732,0.7622036818941375,0.23779631810586255,perfectionist,purist,conservator,False
ascetic,mythic_spiritual,0.945128546485591,0.05487145351440903,0.8977348557266891,0.1022651442733109,0.9752930598738735,0.02470694012612651,0.8950855947469044,0.10491440525309559,pilgrim,pilgrim,pilgrim,True
assistant,procedural_professional,0.9423847809461965,0.05761521905380351,0.8601185502058372,0.13988144979416284,0.9919111557466578,0.00808884425334222,0.8954153127620896,0.10458468723791037,chimera,caregiver,caregiver,False
