persona,final_model_residual_pca3d,baseline_residual_pca3d,residual_improvement_pca3d,actual_pc1,actual_pc2,actual_pc3,predicted_pc1,predicted_pc2,predicted_pc3,gemma_axis_proj_raw,gemma_cluster,semantic_cluster_id,is_stable_anchor,is_semantic_bridge,is_semantic_anchor
architect,0.2993,0.5543,0.255,0.1349,1.2765,0.2349,0.2505,1.008,0.1704,9249.77,procedural_professional,1,True,False,True
improviser,0.2996,1.2526,0.953,2.7385,-1.4594,-1.1798,2.9222,-1.4042,-0.9497,8243.92,trickster_chaos,2,False,False,True
journalist,0.3002,0.8026,0.5024,0.9751,1.319,0.0434,0.9885,1.0616,0.1971,9364.44,procedural_professional,6,False,False,True
paramedic,0.3077,0.5151,0.2074,0.1313,1.3491,-0.1713,0.401,1.227,-0.2554,9151.66,procedural_professional,5,False,False,False
marketer,0.3265,0.4492,0.1227,0.1759,1.407,-0.3621,-0.1126,1.5598,-0.3565,9447.49,procedural_professional,5,True,False,True
parasite,0.3287,0.7763,0.4477,0.3682,-0.9808,0.3092,0.2486,-1.0987,0.5916,8626.12,mythic_spiritual,4,False,False,False
veteran,0.329,1.0379,0.7089,0.7607,0.4043,-0.6726,0.4331,0.384,-0.6509,8610.56,grounded_social,4,True,False,False
absurdist,0.3325,0.5045,0.172,-0.0537,-2.2774,-0.9633,-0.2131,-2.5676,-0.9942,7902.84,trickster_chaos,3,False,False,False
soldier,0.3341,0.9061,0.572,-0.0611,0.1453,-0.4239,0.1948,-0.0694,-0.421,8609.98,grounded_social,4,True,False,False
reporter,0.3642,0.3447,-0.0195,1.2604,1.1251,-0.0444,1.5514,1.3058,0.0792,9153.12,procedural_professional,6,False,False,True
doctor,0.3973,0.3321,-0.0652,-0.349,1.7805,0.0752,-0.3175,1.7412,-0.3189,9331.25,procedural_professional,5,False,False,False
recruiter,0.4172,0.2839,-0.1333,0.2869,1.5539,-0.2389,-0.0887,1.5999,-0.0633,9240.0,procedural_professional,5,False,False,True
bartender,0.4672,1.6051,1.1379,0.7311,-1.0269,-1.1243,0.5115,-0.812,-1.4762,8545.38,grounded_social,1,False,False,False
psychologist,0.4697,0.4289,-0.0408,-0.3296,1.5873,0.0965,-0.0279,1.5059,-0.2542,9323.0,procedural_professional,5,False,False,False
researcher,0.4732,0.3078,-0.1654,-0.5503,2.0067,0.1789,-0.6896,1.7693,-0.2059,9534.39,procedural_professional,5,False,False,True
pilot,0.5093,0.5274,0.0181,-0.3007,1.3269,-0.1199,0.1277,1.0605,-0.0503,9197.33,procedural_professional,5,True,False,True
archivist,0.517,0.4704,-0.0465,0.0811,1.2463,0.5978,0.1442,1.3665,1.0966,9256.34,procedural_professional,0,True,True,False
scholar,0.5253,0.4401,-0.0852,-0.6649,1.7481,0.5216,-0.9735,1.7634,0.0967,9283.51,procedural_professional,1,False,False,False
ghost,0.5334,0.7186,0.1852,-0.9429,-2.1217,1.0055,-1.2224,-2.5265,1.2117,8163.51,mythic_spiritual,3,False,True,False
veterinarian,0.5523,0.3744,-0.1779,-0.0644,1.3567,0.0791,-0.0225,1.8597,-0.1451,9235.55,procedural_professional,5,False,False,False
geographer,0.5665,0.9516,0.3851,-1.2816,1.698,0.3301,-1.49,1.1726,0.2925,9300.59,procedural_professional,1,False,False,False
whale,0.5781,0.9399,0.3617,-1.2257,-1.5088,1.1327,-0.6767,-1.5978,0.9751,8092.85,mythic_spiritual,3,True,False,True
debugger,0.5872,0.3869,-0.2003,0.0826,1.6645,-0.2274,-0.4696,1.466,-0.2075,9597.81,procedural_professional,5,False,False,True
playwright,0.6285,0.7063,0.0779,2.3076,-0.9091,-0.0545,1.681,-0.8718,-0.085,8785.89,grounded_social,6,False,False,False
builder,0.6286,1.1622,0.5336,1.8692,0.3863,0.0857,1.2802,0.5775,-0.0219,8926.11,procedural_professional,1,True,False,False
vegan,0.6402,1.2572,0.617,-0.1436,0.7693,-0.1724,0.3835,0.8515,0.1815,9127.76,procedural_professional,1,False,True,False
examiner,0.6605,1.4846,0.8242,-1.2215,2.3453,0.2353,-1.1561,2.9997,0.1747,9639.43,editorial,5,True,False,False
hive,0.6619,1.6635,1.0016,-0.3362,0.2333,1.0648,0.1821,-0.1411,0.8937,8952.99,procedural_professional,3,False,False,False
flaneur,0.6628,1.1055,0.4427,1.0969,-1.6717,0.3075,0.5468,-1.32,0.4218,8156.5,mythic_spiritual,4,False,False,False
evaluator,0.671,0.6746,0.0036,-0.6646,2.1459,0.1386,-0.5015,1.5097,0.0014,9527.67,procedural_professional,5,False,False,True
auditor,0.6724,0.9956,0.3232,-2.1137,2.5384,0.1127,-1.9195,2.0041,-0.2463,9465.77,procedural_professional,5,False,False,False
analyst,0.6756,0.333,-0.3425,-0.1468,1.9305,0.0448,-0.663,1.4954,0.0199,9539.67,procedural_professional,5,False,False,False
programmer,0.6785,0.5847,-0.0939,0.5188,1.1636,-0.3215,0.5599,1.2673,0.3477,9396.38,procedural_professional,1,False,False,False
revolutionary,0.6846,0.342,-0.3426,0.0359,-0.5352,-0.1338,-0.1332,-0.454,-0.7922,8568.77,procedural_professional,0,False,False,True
organizer,0.7093,1.7886,1.0793,0.5126,1.6448,0.0165,0.3385,2.2777,0.2854,9456.7,procedural_professional,1,True,False,False
pacifist,0.7149,1.1836,0.4687,-0.6048,0.8848,0.6437,0.0086,0.7433,0.3051,9001.96,procedural_professional,0,False,False,True
newlywed,0.7289,0.9532,0.2243,0.3354,-0.2003,-0.9769,0.1931,-0.6526,-0.4233,8691.67,grounded_social,4,True,False,False
networker,0.7359,1.0935,0.3576,1.2143,0.8197,-0.2499,0.9989,1.3512,0.2112,9228.78,procedural_professional,1,False,False,False
celebrity,0.7413,1.2175,0.4762,1.8783,-0.6344,-1.0116,2.3116,-1.2338,-1.062,8546.96,grounded_social,4,True,False,False
interviewer,0.7455,1.2279,0.4824,0.1366,1.3932,-0.1691,-0.1713,0.7824,0.1273,9544.99,other,6,False,False,False
saboteur,0.7588,1.137,0.3782,1.4787,-0.1502,-0.3722,1.0973,-0.4857,-0.9359,8945.48,grounded_social,5,False,False,False
sommelier,0.7658,0.6442,-0.1216,-0.5221,0.0642,0.3844,-0.0888,-0.1064,-0.2236,8893.02,grounded_social,1,False,False,False
engineer,0.7686,0.9466,0.178,0.065,1.6878,-0.0229,0.4416,1.0186,0.0098,9494.92,procedural_professional,1,False,False,True
provocateur,0.7741,1.2614,0.4874,1.3057,-1.691,-1.3319,0.7835,-1.2162,-1.0139,8254.87,combative_iconoclast,2,True,False,False
theorist,0.7879,1.1536,0.3657,-0.5991,1.428,0.484,0.1427,1.4837,0.2241,9241.94,procedural_professional,1,False,False,False
scientist,0.8009,0.9031,0.1021,-0.6171,1.9538,0.1754,-1.1438,1.9272,0.7782,9547.34,procedural_professional,1,False,False,False
pilgrim,0.8144,1.3104,0.4959,-1.9448,-1.3196,1.4132,-2.5059,-1.1704,0.8419,8206.01,mythic_spiritual,4,False,False,False
curator,0.8237,0.6044,-0.2193,1.7484,0.604,0.3857,1.273,1.2531,0.209,9119.88,procedural_professional,6,False,False,False
spirit,0.8268,1.2929,0.4661,-1.9646,-1.5206,1.5154,-1.1606,-1.3393,1.4501,8319.22,mythic_spiritual,3,False,False,True
physicist,0.8281,1.097,0.2688,-0.1331,1.1025,0.2682,-0.7159,0.7319,-0.1886,9303.97,procedural_professional,1,False,False,False
secretary,0.8311,1.1374,0.3063,-1.4616,2.2855,0.1095,-2.1032,1.9623,-0.3085,9455.15,procedural_professional,5,True,False,False
consultant,0.84,1.3693,0.5293,0.1268,1.8568,-0.0215,0.438,1.1028,-0.2221,9468.12,procedural_professional,5,False,False,True
mentor,0.8401,0.2402,-0.5999,1.617,0.9928,-0.1773,2.1449,1.1521,0.4564,9279.18,procedural_professional,5,False,False,False
generalist,0.8404,0.9896,0.1492,0.7963,1.3427,0.0974,0.1399,0.9097,0.3938,9370.84,procedural_professional,1,False,False,False
judge,0.8481,1.5988,0.7507,-0.6295,1.8533,0.4665,-0.7959,1.6689,1.2774,9349.49,procedural_professional,5,False,False,False
predator,0.8526,1.2305,0.3779,0.2128,-1.1293,0.358,0.7842,-1.014,0.9802,8436.64,mythic_spiritual,2,False,False,False
supervisor,0.8581,1.4021,0.5439,-0.8932,2.2574,0.0006,-0.7558,1.4502,-0.2559,9401.15,procedural_professional,5,False,False,False
optimist,0.8585,0.8845,0.026,0.7112,-0.0309,-0.4192,1.3865,0.2684,0.0184,8734.61,procedural_professional,2,False,False,True
addict,0.8603,1.6654,0.805,-0.047,-0.8516,-1.3108,-0.0261,-1.1965,-0.5228,8454.25,grounded_social,4,False,True,False
