component,cos_to_editor,cos_to_synthesizer,cos_to_blogger,cos_to_ancient,cos_to_trickster,cos_to_contrarian,cos_to_podcaster,explained_variance_ratio
PC1,0.26358774,0.33250063,0.46557603,0.22366164,0.39526253,0.44968893,0.44127845,0.593019
PC2,0.61105277,0.51929478,0.02227561,-0.38650461,-0.40605014,-0.01504497,-0.20484714,0.258942
PC3,0.18510442,0.26008828,-0.12407587,0.84774577,-0.03626334,-0.25717994,-0.310751,0.103045
