persona,test_fold,gemma_cluster,predicted_pc1,predicted_pc2,predicted_pc3,predicted_gemma_norm,actual_pc1,actual_pc2,actual_pc3,actual_gemma_norm,residual_pca3d,residual_gemma
proofreader,1,editorial,2.100671,2.283966,0.944266,1.046489,-4.473583,2.776439,-0.030998,1.0,6.664419,0.046489
screener,4,editorial,1.271785,1.644755,0.713617,0.743906,-1.674332,2.514455,-0.002297,0.949518,3.154128,0.205612
grader,2,editorial,1.506544,2.245869,-0.140954,1.01259,-1.371597,2.333048,0.091686,0.936006,2.888843,0.076584
editor,0,editorial,2.481171,1.633406,0.141503,0.904842,-0.243071,1.934704,0.194791,0.920127,2.741372,0.015285
examiner,3,editorial,-1.156092,2.999705,0.174747,0.949659,-1.221498,2.345293,0.235348,0.917762,0.660459,0.031897
statistician,2,procedural_professional,-0.113922,2.039392,0.74082,0.861257,-1.220482,2.010367,-0.067977,0.887659,1.370937,0.026402
moderator,2,other,0.298582,0.349665,-0.539456,0.269912,0.704485,1.470127,-0.02032,0.886794,1.299883,0.616882
debugger,1,procedural_professional,-0.469611,1.466005,-0.207468,0.594567,0.082643,1.66451,-0.227413,0.882767,0.587185,0.2882
validator,0,procedural_professional,0.734676,2.478486,0.388999,1.082331,-0.94561,2.244499,0.031901,0.880566,1.733675,0.201765
reviewer,1,procedural_professional,-1.807441,1.901861,-0.245961,0.635684,-0.118903,1.955319,0.171515,0.877938,1.740203,0.242253
translator,4,procedural_professional,-0.497342,2.043145,0.310403,0.644932,-3.51751,2.171315,-0.036243,0.842199,3.042698,0.197266
scientist,2,procedural_professional,-1.143769,1.927235,0.77825,0.720966,-0.617076,1.953808,0.175432,0.840341,0.800937,0.119375
interviewer,0,other,-0.171349,0.782396,0.127304,0.386739,0.136559,1.393199,-0.169139,0.83836,0.745497,0.451621
analyst,2,procedural_professional,-0.662953,1.495364,0.019943,0.702984,-0.146792,1.930495,0.044758,0.833892,0.675556,0.130907
researcher,4,procedural_professional,-0.689553,1.769308,-0.205922,0.714376,-0.550272,2.006743,0.17892,0.829453,0.473158,0.115076
evaluator,3,procedural_professional,-0.501488,1.509656,0.001363,0.631538,-0.664566,2.145937,0.138607,0.823799,0.671032,0.192261
scheduler,1,procedural_professional,2.021865,1.373051,0.689335,0.811607,-0.421224,1.790083,-0.152149,0.819663,2.617384,0.008056
planner,3,procedural_professional,0.847201,1.429572,0.203558,0.697734,-0.397914,1.992227,-0.042566,0.817706,1.388333,0.119972
robot,0,other,-0.003373,0.720672,0.511536,0.506216,-2.161175,2.083676,0.173647,0.803119,2.574501,0.296903
engineer,1,procedural_professional,0.441613,1.018575,0.009773,0.551184,0.06501,1.687797,-0.022856,0.796268,0.768605,0.245084
lawyer,2,procedural_professional,-0.054211,1.165919,0.328742,0.619039,-2.699552,2.478483,0.130504,0.788286,2.959722,0.169248
accountant,0,procedural_professional,1.714612,1.883756,0.790211,0.911861,-1.321583,2.177503,-0.02283,0.787474,3.156866,0.124386
nutritionist,3,procedural_professional,-0.311574,1.195092,0.359726,0.541569,-1.200223,1.853965,-0.044766,0.785249,1.17789,0.24368
facilitator,3,procedural_professional,1.684367,0.878684,-0.094052,0.617698,0.334916,1.556449,-0.056489,0.784811,1.510561,0.167112
observer,1,procedural_professional,1.086903,0.709232,0.133191,0.24602,0.073904,1.65736,0.392619,0.781099,1.41153,0.535079
strategist,3,procedural_professional,-1.623412,1.808599,-0.181106,0.661932,0.213073,1.653876,0.057433,0.777353,1.858364,0.115421
