persona,pseudo_pc1,pseudo_pc2,pseudo_pc3,gemma_axis_proj_raw,gemma_axis_proj_norm,cos_to_editor,cos_to_synthesizer,cos_to_blogger,cos_to_ancient,cos_to_trickster,cos_to_contrarian,cos_to_podcaster,gemma_cluster
proofreader,-4.473583,2.776439,-0.030998,9737.242,1.0,0.988798,0.971165,0.954232,0.941234,0.94403,0.943936,0.950968,editorial
screener,-1.674332,2.514455,-0.002297,9677.199,0.949518,0.995277,0.989128,0.969019,0.952986,0.953585,0.961696,0.962586,editorial
grader,-1.371597,2.333048,0.091686,9661.128,0.936006,0.997668,0.989497,0.969052,0.955711,0.956644,0.960848,0.965337,editorial
editor,-0.243071,1.934704,0.194791,9642.241,0.920127,0.997848,0.993317,0.9765,0.96284,0.962239,0.96573,0.970146,editorial
examiner,-1.221498,2.345293,0.235348,9639.429,0.917762,0.995891,0.993129,0.968863,0.957993,0.956853,0.96453,0.964081,editorial
statistician,-1.220482,2.010367,-0.067977,9603.624,0.887659,0.988069,0.990289,0.969014,0.955834,0.958789,0.965666,0.965205,procedural_professional
moderator,0.704485,1.470127,-0.02032,9602.595,0.886794,0.991983,0.995903,0.983182,0.966196,0.96631,0.97056,0.976183,other
debugger,0.082643,1.66451,-0.227413,9597.806,0.882767,0.991098,0.993385,0.976725,0.960362,0.964641,0.971713,0.972648,procedural_professional
validator,-0.94561,2.244499,0.031901,9595.188,0.880566,0.994382,0.993532,0.970858,0.956959,0.958219,0.96622,0.966165,procedural_professional
reviewer,-0.118903,1.955319,0.171515,9592.062,0.877938,0.995495,0.996415,0.975534,0.962971,0.962481,0.970056,0.969537,procedural_professional
translator,-3.51751,2.171315,-0.036243,9549.554,0.842199,0.980762,0.97499,0.959604,0.947817,0.948837,0.948398,0.957028,procedural_professional
scientist,-0.617076,1.953808,0.175432,9547.344,0.840341,0.991917,0.994571,0.971891,0.961247,0.960838,0.967505,0.967789,procedural_professional
interviewer,0.136559,1.393199,-0.169139,9544.988,0.83836,0.988121,0.989691,0.98009,0.963158,0.964533,0.969549,0.973666,other
analyst,-0.146792,1.930495,0.044758,9539.674,0.833892,0.993767,0.996219,0.975367,0.961367,0.962594,0.970012,0.970032,procedural_professional
researcher,-0.550272,2.006743,0.17892,9534.394,0.829453,0.993144,0.995299,0.972593,0.961142,0.961007,0.967751,0.967709,procedural_professional
evaluator,-0.664566,2.145937,0.138607,9527.669,0.823799,0.994521,0.995214,0.972409,0.959657,0.95968,0.96721,0.967154,procedural_professional
scheduler,-0.421224,1.790083,-0.152149,9522.75,0.819663,0.989636,0.991817,0.976211,0.958634,0.962135,0.966565,0.970065,procedural_professional
planner,-0.397914,1.992227,-0.042566,9520.423,0.817706,0.992795,0.994773,0.975056,0.959038,0.961342,0.967704,0.969361,procedural_professional
robot,-2.161175,2.083676,0.173647,9503.073,0.803119,0.985362,0.986362,0.961665,0.955537,0.954767,0.961631,0.960761,other
engineer,0.06501,1.687797,-0.022856,9494.924,0.796268,0.990723,0.995305,0.976308,0.962588,0.964467,0.97201,0.971267,procedural_professional
lawyer,-2.699552,2.478483,0.130504,9485.431,0.788286,0.986062,0.985741,0.962357,0.951073,0.950399,0.958359,0.956558,procedural_professional
accountant,-1.321583,2.177503,-0.02283,9484.465,0.787474,0.989384,0.990228,0.971476,0.955392,0.95657,0.963782,0.963994,procedural_professional
nutritionist,-1.200223,1.853965,-0.044766,9481.819,0.785249,0.984607,0.989115,0.973402,0.957087,0.957976,0.96046,0.967047,procedural_professional
facilitator,0.334916,1.556449,-0.056489,9481.297,0.784811,0.990014,0.994808,0.981663,0.963978,0.964512,0.968589,0.974417,procedural_professional
observer,0.073904,1.65736,0.392619,9476.882,0.781099,0.99322,0.996035,0.976672,0.968082,0.963794,0.968921,0.971298,procedural_professional
strategist,0.213073,1.653876,0.057433,9472.427,0.777353,0.990792,0.996247,0.977406,0.964258,0.965082,0.973281,0.971042,procedural_professional
consultant,0.126799,1.856794,-0.021517,9468.118,0.77373,0.993545,0.99673,0.977795,0.9619,0.963733,0.971532,0.97118,procedural_professional
auditor,-2.113662,2.538429,0.112686,9465.773,0.771759,0.990524,0.989377,0.965928,0.952627,0.951942,0.960912,0.959373,procedural_professional
organizer,0.512567,1.644836,0.01647,9456.701,0.764131,0.993652,0.997346,0.979822,0.96473,0.966082,0.971696,0.974117,procedural_professional
secretary,-1.461604,2.285512,0.109528,9455.146,0.762824,0.99263,0.99022,0.97121,0.95586,0.955479,0.959309,0.964545,procedural_professional
marketer,0.175856,1.406994,-0.362052,9447.491,0.756388,0.984987,0.99156,0.979264,0.960177,0.966274,0.973375,0.972078,procedural_professional
collaborator,1.112386,1.130389,-0.131097,9446.313,0.755397,0.987968,0.995344,0.986499,0.967933,0.969184,0.972023,0.978867,procedural_professional
linguist,-1.535409,1.687085,0.267375,9434.1875,0.745203,0.983592,0.986733,0.967244,0.960525,0.959022,0.961927,0.963797,procedural_professional
mediator,0.784048,1.325085,0.138994,9431.061,0.742574,0.989698,0.996214,0.983866,0.969336,0.966683,0.971105,0.975958,procedural_professional
coordinator,0.132487,1.78963,0.03221,9422.582,0.735445,0.992173,0.996429,0.979403,0.962978,0.963395,0.969569,0.971676,procedural_professional
economist,-1.359971,1.962448,-0.042121,9416.448,0.730288,0.984748,0.989718,0.968283,0.956045,0.958286,0.967247,0.963216,procedural_professional
forecaster,0.078627,1.61822,0.043476,9414.3545,0.728528,0.988923,0.995452,0.976512,0.96384,0.964695,0.972917,0.970523,procedural_professional
skeptic,0.279715,1.372435,-0.128255,9411.201,0.725876,0.988773,0.991916,0.97475,0.964115,0.967183,0.978183,0.971631,procedural_professional
summarizer,-1.099986,2.181797,0.182278,9402.88,0.71888,0.990954,0.992852,0.973407,0.958979,0.955916,0.962075,0.966036,procedural_professional
supervisor,-0.893245,2.257449,0.000583,9401.147,0.717423,0.992962,0.993587,0.974271,0.956877,0.957141,0.965051,0.966302,procedural_professional
programmer,0.518839,1.163596,-0.321534,9396.379,0.713415,0.985155,0.991685,0.979126,0.963173,0.968915,0.974939,0.974888,procedural_professional
mathematician,-0.621281,1.377016,0.169979,9391.184,0.709047,0.9851,0.989101,0.970509,0.963982,0.964474,0.967839,0.968609,procedural_professional
publisher,0.670045,1.44664,0.143324,9376.783,0.696939,0.992171,0.996621,0.980932,0.967782,0.967821,0.973153,0.973629,procedural_professional
generalist,0.796341,1.342667,0.097442,9370.841,0.691943,0.990565,0.997602,0.980027,0.968121,0.96905,0.974582,0.97486,procedural_professional
assistant,0.818307,1.496254,-0.074624,9368.907,0.690317,0.993222,0.997116,0.982281,0.965577,0.967395,0.972152,0.976719,procedural_professional
journalist,0.975075,1.319028,0.043355,9364.44,0.686561,0.991321,0.996293,0.982608,0.96887,0.968443,0.976519,0.975391,procedural_professional
