model,K,resample,sample_seed,valid_starts,best_seed,ari_to_full,nmi_to_full
gemma,4,1,3046492,20,6066196,0.9580663251218128,0.9309466763297455
gemma,4,2,3046493,20,6066298,0.9167154423346002,0.8759390695272248
gemma,4,3,3046494,20,6066405,0.9884186782454267,0.9815968085436325
gemma,4,4,3046495,20,6066493,0.9462906916503785,0.9180331421854475
gemma,4,5,3046496,20,6066592,0.9577848844465376,0.9319897413059991
gemma,4,6,3046497,20,6066705,0.950989214753254,0.9112614921455952
gemma,4,7,3046498,20,6066795,0.9616592017062766,0.9288285626125868
gemma,4,8,3046499,20,6066898,0.9959783295668376,0.9873223415155656
gemma,4,9,3046500,20,6067001,0.9577473672541383,0.9321151791511901
gemma,4,10,3046501,20,6067106,0.6048515566067342,0.6479065025282499
gemma,4,11,3046502,20,6067210,0.988257887391403,0.9721761482498958
gemma,4,12,3046503,20,6067307,0.9768628044122822,0.9677099795948538
gemma,4,13,3046504,20,6067398,0.9537645635778654,0.9269680907423292
gemma,4,14,3046505,20,6067504,0.9577256942566247,0.9319689597767588
gemma,4,15,3046506,20,6067600,0.9613383092630443,0.9321029804050894
gemma,4,16,3046507,20,6067698,0.7155536865639571,0.7231842641545316
gemma,4,17,3046508,20,6067794,0.9807519190414303,0.9644300888694629
gemma,4,18,3046509,20,6067894,0.9128458334159653,0.8844200370224208
gemma,4,19,3046510,20,6068009,0.6565287229626736,0.641936564878367
gemma,4,20,3046511,20,6068092,0.9309115511073275,0.9107538003792193
gemma,4,21,3046512,20,6068206,0.9091409175137956,0.8920209846072034
gemma,4,22,3046513,20,6068305,0.9160798053124105,0.877670838731001
gemma,4,23,3046514,20,6068397,0.9658947389240582,0.9407863327783571
gemma,4,24,3046515,20,6068499,0.9847339971494159,0.9701006388841216
gemma,4,25,3046516,20,6068593,0.9807519190414303,0.9644300888694629
gemma,4,26,3046517,20,6068695,0.5965521009008217,0.6167115995066864
gemma,4,27,3046518,20,6068808,1.0,1.0000000000000002
gemma,4,28,3046519,20,6068896,0.9546561669898428,0.9269645067137737
gemma,4,29,3046520,20,6069007,0.9581885761004564,0.9383989305318646
gemma,4,30,3046521,20,6069102,0.9655832821069158,0.9346163195625795
gemma,4,31,3046522,20,6069207,0.9419856403139947,0.9148232596651584
gemma,4,32,3046523,20,6069296,0.6141008069091187,0.6537511883473847
gemma,4,33,3046524,20,6069400,0.9136262768963187,0.8725483770790116
gemma,4,34,3046525,20,6069495,0.8912711070883361,0.8657036435389698
gemma,4,35,3046526,20,6069600,0.9883611620949033,0.9815725477259272
gemma,4,36,3046527,20,6069710,0.9847339971494159,0.9701006388841216
gemma,4,37,3046528,20,6069795,0.9883935117071444,0.9816273478520898
gemma,4,38,3046529,20,6069897,0.9425173816332847,0.9052477950879122
gemma,4,39,3046530,20,6070004,0.9578593799987879,0.9321705845022908
gemma,4,40,3046531,20,6070092,0.9656981960230864,0.9346663849765886
gemma,4,41,3046532,20,6070196,0.9092291499300214,0.8682035547284381
gemma,4,42,3046533,20,6070300,0.9392151521315721,0.9071867361045641
gemma,4,43,3046534,20,6070397,0.9847339971494159,0.9701006388841216
gemma,4,44,3046535,20,6070493,0.9883935117071444,0.9816273478520898
gemma,4,45,3046536,20,6070595,0.9618591867053807,0.937838546595299
gemma,4,46,3046537,20,6070707,0.6076997762691642,0.6678221200386787
gemma,4,47,3046538,20,6070793,0.9884186782454267,0.9815968085436323
gemma,4,48,3046539,20,6070895,0.9807519190414303,0.9644300888694629
gemma,4,49,3046540,20,6070996,0.9656981960230864,0.9346663849765888
gemma,4,50,3046541,20,6071096,0.9284570644472082,0.8772006658507137
gemma,5,1,3046592,20,6076206,0.7396228040014217,0.7070179980883143
gemma,5,2,3046593,20,6076300,0.9179797504621598,0.9027405835597717
gemma,5,3,3046594,20,6076403,0.9130771372188319,0.8887194949526291
gemma,5,4,3046595,20,6076493,0.6065041268777474,0.6456602357347289
gemma,5,5,3046596,20,6076602,0.7073199651336899,0.7309989422943419
gemma,5,6,3046597,20,6076703,0.6724067607303053,0.7259734775590079
gemma,5,7,3046598,20,6076811,0.8751301476575396,0.8823288453590882
gemma,5,8,3046599,20,6076896,0.7162567198489151,0.6828103210174516
gemma,5,9,3046600,20,6077004,0.951126053763899,0.9362288379105108
gemma,5,10,3046601,20,6077099,0.7560380463940215,0.7106943842179381
gemma,5,11,3046602,20,6077200,0.7263426996386322,0.7577011432220917
gemma,5,12,3046603,20,6077292,0.8174807520789256,0.7782702046942965
gemma,5,13,3046604,20,6077395,0.7567656280513645,0.7538827325544715
gemma,5,14,3046605,20,6077495,0.9005095755897282,0.8610060172238073
gemma,5,15,3046606,20,6077604,0.8243905976388547,0.8044836631342951
gemma,5,16,3046607,20,6077692,0.7058128213198618,0.7358762124206001
gemma,5,17,3046608,20,6077805,0.9348221026880265,0.918908663370596
gemma,5,18,3046609,20,6077910,0.9112340806886641,0.8966194473220186
gemma,5,19,3046610,20,6077995,0.7989563644459194,0.8190336951790638
gemma,5,20,3046611,20,6078111,0.8225128056323656,0.7953881070173618
gemma,5,21,3046612,20,6078200,0.9498212629836664,0.9419802615427948
gemma,5,22,3046613,20,6078295,0.8699227760782479,0.8424902530679129
gemma,5,23,3046614,20,6078394,0.8914603467337963,0.8815033713205297
