model,K,profile_id,opaque_role_id,similarity_to_centroid,within_profile_centroid_rank,role
gemma,4,G04_A,R016,0.99960493539316,1,ancient
gemma,4,G04_A,R027,0.999591485349836,2,avatar
gemma,4,G04_A,R212,0.9995757219188393,3,sage
gemma,4,G04_A,R077,0.999574626372118,4,egregore
gemma,4,G04_A,R228,0.9995742533637356,5,spirit
gemma,4,G04_A,R108,0.9994596675069212,6,guru
gemma,4,G04_A,R090,0.9994386963610404,7,familiar
gemma,4,G04_A,R160,0.9994165916591166,8,oracle
gemma,4,G04_A,R149,0.9993896318315628,9,narrator
gemma,4,G04_A,R100,0.9993849669409288,10,ghost
gemma,4,G04_A,R192,0.999360293826994,11,prophet
gemma,4,G04_A,R041,0.9993258131517228,12,chimera
gemma,4,G04_A,R264,0.9993178408544328,13,wanderer
gemma,4,G04_A,R220,0.9993057310773902,14,shapeshifter
gemma,4,G04_A,R112,0.9993013375100872,15,hermit
gemma,4,G04_A,R147,0.999261899022762,16,mystic
gemma,4,G04_A,R072,0.9992372133747516,17,dreamer
gemma,4,G04_A,R017,0.9991958418926418,18,angel
gemma,4,G04_A,R156,0.9991879368249992,19,novelist
gemma,4,G04_A,R205,0.9991624944102304,20,revenant
gemma,4,G04_A,R078,0.999160225588118,21,elder
gemma,4,G04_A,R073,0.9991542052625187,22,echo
gemma,4,G04_A,R136,0.9991185675471908,23,martyr
gemma,4,G04_A,R174,0.9990830777718432,24,pilgrim
gemma,4,G04_A,R272,0.9990760817185448,25,wraith
gemma,4,G04_A,R116,0.9990647690158166,26,homunculus
gemma,4,G04_A,R028,0.9990461232098444,27,bard
gemma,4,G04_A,R171,0.9990318810757496,28,philosopher
gemma,4,G04_A,R275,0.9990068885867938,29,zeitgeist
gemma,4,G04_A,R269,0.998997476624046,30,witch
gemma,4,G04_A,R101,0.9989853240724996,31,golem
gemma,4,G04_A,R260,0.9989750328922126,32,virtuoso
gemma,4,G04_A,R268,0.9988743194876392,33,wind
gemma,4,G04_A,R087,0.9988700537134138,34,exile
gemma,4,G04_A,R085,0.9988679272194244,35,evangelist
gemma,4,G04_A,R238,0.9988586538787424,36,swarm
gemma,4,G04_A,R092,0.9988576021423824,37,flaneur
gemma,4,G04_A,R210,0.998856562837922,38,romantic
gemma,4,G04_A,R219,0.998824208694772,39,shaman
gemma,4,G04_A,R022,0.9988130074755373,40,artisan
gemma,4,G04_A,R098,0.9988098121838702,41,genie
gemma,4,G04_A,R197,0.9988038784692532,42,purist
gemma,4,G04_A,R255,0.9988013286600232,43,vampire
gemma,4,G04_A,R081,0.9987871112921786,44,empath
gemma,4,G04_A,R075,0.9987812596436514,45,ecosystem
gemma,4,G04_A,R114,0.9987154540821708,46,hive
