model,K,profile_id,opaque_role_id,similarity_to_centroid,within_profile_centroid_rank
gemma,4,G04_C,R102,0.9978294723442537,56
gemma,4,G04_C,R115,0.9977346003183708,57
gemma,4,G04_C,R007,0.997532844534015,58
gemma,4,G04_C,R193,0.9974399715225633,59
gemma,4,G04_C,R243,0.997341257447738,60
gemma,4,G04_C,R134,0.9972006391832718,61
gemma,4,G04_C,R002,0.9971094714889248,62
gemma,4,G04_C,R187,0.9970788644194566,63
gemma,4,G04_C,R148,0.9970490830711868,64
gemma,4,G04_C,R096,0.9970156642890297,65
gemma,4,G04_C,R236,0.996649428570942,66
gemma,4,G04_C,R176,0.9958083341619515,67
gemma,4,G04_D,R124,0.9997916499103097,1
gemma,4,G04_D,R240,0.9997785078625528,2
gemma,4,G04_D,R141,0.9997738481767309,3
gemma,4,G04_D,R051,0.9997699505410769,4
gemma,4,G04_D,R049,0.9997622937395423,5
gemma,4,G04_D,R161,0.9997548925816279,6
gemma,4,G04_D,R123,0.999744847268413,7
gemma,4,G04_D,R097,0.999743255261282,8
gemma,4,G04_D,R127,0.9997389332384876,9
gemma,4,G04_D,R206,0.9997325791167059,10
gemma,4,G04_D,R202,0.9997195567209493,11
gemma,4,G04_D,R012,0.9997122190169901,12
gemma,4,G04_D,R232,0.9996910917022522,13
gemma,4,G04_D,R024,0.999686129992102,14
gemma,4,G04_D,R082,0.9996833742583222,15
gemma,4,G04_D,R158,0.9996769590244553,16
gemma,4,G04_D,R042,0.9996764662835322,17
gemma,4,G04_D,R196,0.9996720575151755,18
gemma,4,G04_D,R227,0.9996684485514037,19
gemma,4,G04_D,R203,0.9996684447438886,20
gemma,4,G04_D,R094,0.999663768094386,21
gemma,4,G04_D,R014,0.9996520275252728,22
gemma,4,G04_D,R214,0.9996494698011846,23
gemma,4,G04_D,R080,0.999647667001906,24
gemma,4,G04_D,R084,0.9996430230645151,25
gemma,4,G04_D,R152,0.9996356097513152,26
gemma,4,G04_D,R140,0.9996331350523187,27
gemma,4,G04_D,R242,0.9996316330672375,28
gemma,4,G04_D,R241,0.9996304963973193,29
gemma,4,G04_D,R128,0.999629311737673,30
gemma,4,G04_D,R177,0.9996290850863361,31
gemma,4,G04_D,R008,0.9996290006717063,32
gemma,4,G04_D,R131,0.999617895234508,33
gemma,4,G04_D,R215,0.9996170687483724,34
gemma,4,G04_D,R248,0.9996156808042199,35
gemma,4,G04_D,R107,0.999607524099778,36
gemma,4,G04_D,R254,0.9996072961836943,37
gemma,4,G04_D,R273,0.9996045629206377,38
gemma,4,G04_D,R184,0.9996043136347281,39
gemma,4,G04_D,R043,0.999602592554239,40
gemma,4,G04_D,R253,0.9996013924988999,41
gemma,4,G04_D,R056,0.9995981995735691,42
gemma,4,G04_D,R153,0.9995942654485678,43
gemma,4,G04_D,R189,0.9995896888146234,44
gemma,4,G04_D,R235,0.9995841717133356,45
gemma,4,G04_D,R181,0.9995816071018736,46
gemma,4,G04_D,R062,0.999575437337096,47
gemma,4,G04_D,R106,0.9995740992091653,48
gemma,4,G04_D,R064,0.9995734517549422,49
gemma,4,G04_D,R234,0.9995723347375056,50
gemma,4,G04_D,R244,0.999567547171906,51
gemma,4,G04_D,R168,0.9995643994846372,52
gemma,4,G04_D,R224,0.9995505964708999,53
gemma,4,G04_D,R071,0.9995383552703452,54
gemma,4,G04_D,R030,0.999524060387706,55
gemma,4,G04_D,R213,0.9995163635737172,56
gemma,4,G04_D,R200,0.9995093403141261,57
gemma,4,G04_D,R182,0.9995092744460113,58
gemma,4,G04_D,R195,0.9995029906601343,59
