consensus_family_id,selection,rank,trait,cross_model_mean_z,minimum_model_z,maximum_model_z,cross_model_sd,models_represented
MFamily_A,elevated,1,factual,1.0498037554038457,1.011542091074415,1.096378507238278,0.03512961661031319,3
MFamily_A,elevated,2,analytical,1.0107868374728113,0.9529327564513096,1.0958292096334274,0.06142340196975003,3
MFamily_A,elevated,3,rationalist,0.9876442435672231,0.927892071067802,1.0612530136170066,0.0553190095184744,3
MFamily_A,elevated,4,transparent,0.9789963586203877,0.9148141040072424,1.0524640220693997,0.05657761099331635,3
MFamily_A,elevated,5,methodical,0.9664451912030424,0.8194412118743162,1.0836383922912491,0.10989858782697023,3
MFamily_A,elevated,6,reserved,0.9612024749195968,0.9190902465525868,1.0301680317689017,0.049162279104166706,3
MFamily_A,elevated,7,quantitative,0.9439874625401812,0.8214966473871661,1.0447126896089254,0.09241809344775578,3
MFamily_A,elevated,8,problem_solving,0.9413546634847098,0.9185322402683296,0.9711318877033028,0.022029641702429905,3
MFamily_A,elevated,9,data_driven,0.9316945399389841,0.737541767478995,1.0795656038026882,0.14341448919440394,3
MFamily_A,elevated,10,dispassionate,0.9202563075749456,0.8546037606594257,1.032991753829273,0.08007566665099787,3
MFamily_A,depressed,1,spontaneous,-1.039765602827873,-1.0795507409163851,-1.005015896504063,0.030636333959151604,3
MFamily_A,depressed,2,narrative,-1.0330449107276884,-1.0740012509316033,-1.001114086068735,0.030432763578923563,3
MFamily_A,depressed,3,flirty,-1.0154435781088418,-1.0620670661529628,-0.9824730475434992,0.03389792899808586,3
MFamily_A,depressed,4,passionate,-1.00587581370494,-1.041947625183247,-0.9500273880771858,0.04004720837395709,3
MFamily_A,depressed,5,zealous,-0.9967333102627083,-1.057389745842551,-0.9347712701631468,0.05006729535905711,3
MFamily_A,depressed,6,libertarian,-0.9957099831136779,-1.0421632610845843,-0.9600363359505192,0.03438370048203648,3
MFamily_A,depressed,7,stream_of_consciousness,-0.9906101375914282,-1.0223409177027416,-0.9454665713104384,0.032785600578465864,3
MFamily_A,depressed,8,individualistic,-0.9687371690785523,-1.0409778486501409,-0.908043383584396,0.05488102934351432,3
MFamily_A,depressed,9,mercurial,-0.9648901318393707,-1.0043116714985376,-0.909273537431196,0.04045385503255958,3
MFamily_A,depressed,10,romantic,-0.9622513376151738,-1.0445877659688718,-0.8703634062890672,0.07144674139167549,3
MFamily_A,disagreement,1,generalist,-0.13174240724133773,-0.8051699701038898,0.7033437038347218,0.6263670333879416,3
MFamily_A,disagreement,2,avoidant,-0.03977023389245297,-0.6458439127903323,0.7897509352140122,0.6070034198500813,3
MFamily_A,disagreement,3,egalitarian,0.09204267680328555,-0.6786789432375746,0.5855501175325838,0.5520897000986261,3
MFamily_A,disagreement,4,anthropocentric,-0.20601590897644606,-0.7091792265243655,0.5494387678731704,0.5439166672932184,3
MFamily_A,disagreement,5,literal,0.3630399638739827,-0.279011501802729,1.0203070350355274,0.5305536737098829,3
MFamily_A,disagreement,6,inclusive,0.3182917453953741,-0.3871202610471628,0.7481733640561928,0.5027661151028627,3
MFamily_A,disagreement,7,curious,-0.07492554600780199,-0.7497177872945372,0.3640525403201155,0.48430522223622485,3
MFamily_A,disagreement,8,charismatic,-0.6549718226467446,-1.0581258161298337,-0.0140602031127848,0.45819556787480736,3
MFamily_A,disagreement,9,independent,-0.08359898862470977,-0.7026590412267498,0.3815043570527758,0.45579934857898613,3
MFamily_A,disagreement,10,existentialist,-0.386575316921073,-0.9404053368823704,0.1593467599590881,0.44900673365375937,3
MFamily_B,elevated,1,ethereal,1.751582198682015,1.6200056985003894,1.946567476035396,0.14065597132369637,3
MFamily_B,elevated,2,cryptic,1.7265938439076234,1.610621235033254,1.902854390049052,0.1266913066145674,3
MFamily_B,elevated,3,spiritual,1.6965864213614072,1.5803314588613333,1.8690904909647497,0.12441440482720546,3
MFamily_B,elevated,4,fatalistic,1.687548365402911,1.660061223215226,1.7226365901969718,0.026105573872473392,3
MFamily_B,elevated,5,mystical,1.6697634278012592,1.543226974720287,1.8571723071477,0.1352023351569131,3
MFamily_B,elevated,6,enigmatic,1.6519285568791726,1.5562599411832538,1.8105982887376575,0.11298629485465041,3
MFamily_B,elevated,7,poetic,1.6145249371866621,1.5296511317032724,1.7837388053666996,0.11965247206996014,3
MFamily_B,elevated,8,grandiose,1.5971982530399245,1.4554354650300465,1.7293601701796628,0.11203516877577586,3
MFamily_B,elevated,9,bombastic,1.5879290233761167,1.4239132322427248,1.7391488324463331,0.12901207637698914,3
MFamily_B,elevated,10,ascetic,1.5801348989838557,1.3974614809314403,1.818764769814267,0.1764888263913492,3
MFamily_B,depressed,1,contemporary,-1.6257416627354864,-1.745889019820338,-1.5171140137745742,0.09375154613571411,3
MFamily_B,depressed,2,secular,-1.5679939729369643,-1.6550392075617777,-1.5038865359981213,0.06380381102629909,3
MFamily_B,depressed,3,grounded,-1.5530669276434936,-1.6630150080221962,-1.4044510416128146,0.10904198144687885,3
MFamily_B,depressed,4,transparent,-1.5308515360269155,-1.5868692414835823,-1.4710021692477282,0.047380064925346216,3
MFamily_B,depressed,5,reductionist,-1.2904109078919388,-1.3835968515780743,-1.2199385278356352,0.06871652500003704,3
MFamily_B,depressed,6,practical,-1.112106008124834,-1.312880625179634,-0.7489732226732192,0.25725217301869285,3
MFamily_B,depressed,7,utilitarian,-1.0833502398412547,-1.3837587003836682,-0.73307855000253,0.2679688050898183,3
MFamily_B,depressed,8,quantitative,-1.0709228078040254,-1.1567359488169595,-0.9712983089120814,0.0763319276939839,3
MFamily_B,depressed,9,problem_solving,-1.0663363953510006,-1.325709135440316,-0.5960732363048131,0.3331148079693368,3
