model_a,model_b,K_a,K_b,ami,ari,nmi,variation_of_information,normalized_vi,near_best
qwen,llama,4,4,0.5449104647734001,0.6239061815387648,0.5517735175028573,1.0322153639131886,0.18377379921037046,False
qwen,llama,4,5,0.499332554099533,0.5858891831160311,0.5081994053403563,1.2785740230939542,0.2276350595140194,False
qwen,llama,4,6,0.5235323431196262,0.61490553582835,0.5337210768657698,1.2654216313596103,0.2252934309331773,False
qwen,llama,4,7,0.5734551567997747,0.6642305155681305,0.584051422320747,1.1795000765384482,0.20999610915752986,False
qwen,llama,4,8,0.5359371753002928,0.6290923012440689,0.5492828377595114,1.3077041019759936,0.23282132727809854,False
qwen,llama,4,9,0.544898399772158,0.6215898904379414,0.5595432850487775,1.3212956020193205,0.2352411339262586,False
qwen,llama,4,10,0.538450616795139,0.6138300408982242,0.5544728358405893,1.341167710305559,0.23877912896659312,False
qwen,llama,5,4,0.5640364333021749,0.48994246695763344,0.5718255127842273,1.1002809537659275,0.19589207653896162,False
qwen,llama,5,5,0.5534870691957667,0.5472557030104731,0.5630006651690125,1.2527004126912018,0.22302856764300452,False
qwen,llama,5,6,0.5526380169638713,0.5293124145512569,0.5642393237252822,1.2988661869551617,0.23124784050657893,False
qwen,llama,5,7,0.5713447209940711,0.568242293681525,0.5843436526124827,1.2895744718532949,0.22959355997060926,False
qwen,llama,5,8,0.5369492979018426,0.5352656794053923,0.5532599544336401,1.4153615996047098,0.25198847789839735,False
qwen,llama,5,9,0.5421273344783092,0.5711604105205486,0.560158515542168,1.43680602478266,0.255806405459458,False
qwen,llama,5,10,0.5157244316416845,0.5095904803098883,0.5361393220526782,1.5201216503566475,0.2706397721972622,False
qwen,llama,6,4,0.5200183022450311,0.49198437706503834,0.5302190811130754,1.2358093089101247,0.22002130537659417,False
qwen,llama,6,5,0.5391470613363722,0.6045396341512751,0.5510360244597392,1.3143425482274282,0.23400322451692182,False
qwen,llama,6,6,0.5519923335248217,0.5983542689246791,0.5660746304456095,1.3198241271245361,0.23497915513645254,False
qwen,llama,6,7,0.5775818562394454,0.6440004779156872,0.593050034471062,1.287348374684546,0.22919722956475141,False
qwen,llama,6,8,0.5813551736129773,0.6422495965353654,0.5990219119156834,1.294800334135461,0.23052396325593047,False
qwen,llama,6,9,0.618967412898966,0.7134374579731331,0.636708562273644,1.2088706150790491,0.21522518793426737,True
qwen,llama,6,10,0.6149954638433188,0.6543589487238456,0.6340664984233138,1.2214910341690337,0.21747210504563544,True
qwen,llama,7,4,0.5453689363248889,0.46545352122164063,0.5564404623068018,1.197816284523767,0.2132570944579506,False
qwen,llama,7,5,0.5363320349789389,0.539480514423938,0.5501356684014758,1.3484039103776624,0.2400674492392689,False
qwen,llama,7,6,0.5490047266895048,0.5297644388048259,0.5651989383465319,1.3528609397379123,0.24086097086989072,False
qwen,llama,7,7,0.6016323590165147,0.6047334006608078,0.6181624022170819,1.2345812509909126,0.21980266411494076,False
qwen,llama,7,8,0.6069916516599593,0.5963486333804631,0.6255994038483242,1.2351328229355647,0.2199008650092021,False
qwen,llama,7,9,0.6296923451364017,0.6484187011095683,0.6489348544904184,1.1927108966103495,0.2123481402163333,True
qwen,llama,7,10,0.589551937413623,0.5699850736087129,0.6121284744611146,1.3218154787893943,0.23533369186765127,False
qwen,llama,8,4,0.48251693879757424,0.3812469697429109,0.49626221063284826,1.4315148303259857,0.25486437054924554,False
qwen,llama,8,5,0.4976003397735168,0.44851062256136287,0.513877824825167,1.5257815064818951,0.27164744297943083,False
qwen,llama,8,6,0.5164082930778324,0.45580422784826474,0.5351617758903048,1.5120120174696299,0.26919594748979164,False
qwen,llama,8,7,0.5346999869805724,0.4803163831287458,0.5555476268934737,1.4998422968603462,0.2670292719394315,False
qwen,llama,8,8,0.506415253992736,0.46460820071753184,0.531651627936756,1.6112509037070972,0.28686426341576826,False
qwen,llama,8,9,0.523911256591272,0.5018788960226983,0.5506610818591077,1.590088427528872,0.2830965335563448,False
qwen,llama,8,10,0.5433513178800886,0.48337044126272116,0.5703975159631004,1.524741542462107,0.2714622896232223,False
qwen,llama,9,4,0.5169516134093172,0.43177831319587,0.5310344491229694,1.3355773673467253,0.23778383418572582,False
qwen,llama,9,5,0.5257821684719866,0.5092317062553222,0.542691265674886,1.4381516166522015,0.25604597225791637,False
qwen,llama,9,6,0.5608327302565665,0.5177505498563266,0.5796090642760373,1.3700149033942306,0.24391503224395042,False
qwen,llama,9,7,0.5769445595181215,0.5525834547003006,0.5978059853033116,1.3597059213203058,0.24207963929403875,False
qwen,llama,9,8,0.551639062610899,0.5352135292518985,0.5767663211435983,1.4586407497883054,0.25969382131208485,False
qwen,llama,9,9,0.5763231044546978,0.5786496760723563,0.6021545271824196,1.4103084667969932,0.25108882706345126,False
qwen,llama,9,10,0.5675884670724227,0.5416645102842075,0.5953741478531682,1.4385776578459994,0.2561218238791396,False
qwen,llama,10,4,0.4781218840205466,0.3734670165566022,0.4946416066598624,1.5205398910303958,0.2707142350276813,False
qwen,llama,10,5,0.496138165165257,0.4600796013006401,0.516003068197639,1.5999622887419045,0.28485445835714973,False
qwen,llama,10,6,0.5085491154027928,0.45994675849871725,0.5321247025380811,1.6000490548903095,0.2848699060488744,False
qwen,llama,10,7,0.5182073094380243,0.4906332575470362,0.5450568414890993,1.6112421768536629,0.28686270970220534,False
qwen,llama,10,8,0.4941816358123405,0.4709526573861407,0.5263279061650341,1.70869249734904,0.3042125925442998,False
qwen,llama,10,9,0.5380144512445476,0.5413241506219383,0.5698022680183689,1.5942170995867304,0.28383159503313765,False
qwen,llama,10,10,0.5227612804851655,0.4916947595856511,0.5573528282264913,1.6449834391289868,0.2928699444085193,False
qwen,gemma,4,4,0.639210842615792,0.7139759865862697,0.6445699625540002,0.8393113272480068,0.14942950543181116,False
qwen,gemma,4,5,0.5357881258776283,0.5629042365919386,0.5439635115268917,1.2017061890649898,0.21394964618804316,False
qwen,gemma,4,6,0.5873240664224086,0.6082139635536874,0.5960252258116776,1.1175349607007496,0.19896394944152482,False
qwen,gemma,4,7,0.5374036950987177,0.5535983039273497,0.5484194138643408,1.330033074678535,0.2367967381172224,False
qwen,gemma,4,8,0.5870624175077737,0.6254578128878313,0.5984961654224724,1.2042805104869736,0.21440797382454826,False
qwen,gemma,4,9,0.5348392701169851,0.5740288054399886,0.5489218696590479,1.3642960611827797,0.24289685968323724,False
qwen,gemma,4,10,0.5597138800347656,0.5125989788060953,0.5741914886440712,1.338773182375375,0.23835281144562828,False
qwen,gemma,5,4,0.5526398428187863,0.5048985134403277,0.5605681916741061,1.1549195367605158,0.20561983329538122,False
qwen,gemma,5,5,0.6006189844846386,0.5949546528962942,0.6091205656208997,1.1343024353235913,0.20194920099108638,False
qwen,gemma,5,6,0.6244845602952536,0.6028333336618548,0.6341263846185808,1.109754204732019,0.19757867739937893,False
qwen,gemma,5,7,0.5984097322903349,0.6376069368529572,0.610137643319614,1.2522762237349419,0.22295304579087918,False
qwen,gemma,5,8,0.5794559418738963,0.5808304178327709,0.5937729807614613,1.326834536298612,0.2362272759966721,False
qwen,gemma,5,9,0.5764635966551738,0.5998591896064267,0.5920735874878346,1.3426233211341319,0.2390382833460866,False
qwen,gemma,5,10,0.5732223705419688,0.5636079346436047,0.5903302211413051,1.3973375907881116,0.24877951522158714,False
qwen,gemma,6,4,0.5917829801386019,0.572111411432402,0.6004206154682749,1.074515513735666,0.1913048431299011,False
qwen,gemma,6,5,0.5993425586743008,0.6495576589403158,0.609699138388504,1.1563949063557524,0.2058825054907729,False
qwen,gemma,6,6,0.6664477392118083,0.7152339128449486,0.6768659351637611,0.9997988160438536,0.1780024143157996,True
qwen,gemma,6,7,0.6442737127879404,0.7168781255127128,0.6569455160538279,1.122818617925641,0.19990464243631081,False
qwen,gemma,6,8,0.6216809880494772,0.683850165641156,0.6372547332543045,1.2069058998433273,0.2148753935058389,False
qwen,gemma,6,9,0.5901814047272055,0.6464790082274515,0.6082093330034545,1.3133773263714232,0.23383137812346527,False
qwen,gemma,6,10,0.6555993957058687,0.644399714085475,0.671995120497436,1.1387650749736857,0.20274372146779734,True
qwen,gemma,7,4,0.5879331694954225,0.5321445653486121,0.5979657356501263,1.109201339507169,0.1974802462517967,False
qwen,gemma,7,5,0.5907173529965318,0.6060700391817873,0.6029486002141059,1.2041318866740163,0.21438151310354453,False
qwen,gemma,7,6,0.6254196649088847,0.6239292919226841,0.6388274037716185,1.142722573503336,0.20344830751213416,False
qwen,gemma,7,7,0.6282566795031032,0.6974383423675345,0.643393972404446,1.1920838199297759,0.2122364965923241,False
qwen,gemma,7,8,0.619739925533333,0.6264953961078086,0.6374349086764914,1.231633653107591,0.21927787899693124,False
qwen,gemma,7,9,0.5866652504547211,0.6266292870958977,0.6070913337832416,1.3445720241775643,0.23938522699209738,False
qwen,gemma,7,10,0.6669549858821623,0.6883211685976918,0.6847135116162023,1.1166339975547777,0.19880354355524146,True
qwen,gemma,8,4,0.5392775043058884,0.4576373489307178,0.5515993004908392,1.3004940596695445,0.23153766408779253,False
qwen,gemma,8,5,0.5126163893670064,0.46571362797311505,0.528522381174078,1.4964734764549248,0.266429493107992,False
qwen,gemma,8,6,0.5837480122650405,0.5208598563903991,0.5998958146894687,1.3224427972656785,0.23544537854054146,False
qwen,gemma,8,7,0.5350315222932605,0.5039045999294681,0.5555085826354191,1.5486888713698213,0.27572582974107807,False
qwen,gemma,8,8,0.5610036714112386,0.49859483121181897,0.583061523477548,1.4752627514611714,0.26265317311471953,False
qwen,gemma,8,9,0.5554071944171188,0.490968724611664,0.5790534655380924,1.5000094926487577,0.26705903918212387,False
qwen,gemma,8,10,0.5657688761204417,0.4763519300918269,0.5907201685056916,1.507365769559311,0.2683687377229117,False
qwen,gemma,9,4,0.5610922613044083,0.4953709701614301,0.5739834288183293,1.238187728066818,0.2204447549199949,False
qwen,gemma,9,5,0.5560552463839123,0.5389779112572436,0.5720034850608983,1.3610905099833508,0.24232614901269547,False
qwen,gemma,9,6,0.6197335112825174,0.58565674227417,0.6359977757173086,1.2053506147288755,0.21459849329263672,False
qwen,gemma,9,7,0.593577677792126,0.6011370702866928,0.6133211620926609,1.3496321760989165,0.24028612749763062,False
qwen,gemma,9,8,0.5850865268002933,0.5724871858358432,0.6079962385746487,1.3894412039136235,0.2473736564573287,False
qwen,gemma,9,9,0.5825382374376641,0.5766938279181569,0.6068316684136033,1.403436736018214,0.2498653962596512,False
qwen,gemma,9,10,0.6106222700058543,0.5641022699232942,0.6349988463594988,1.3465284941828561,0.23973355345427147,False
qwen,gemma,10,4,0.5291689730174022,0.440118282530069,0.5442019068164735,1.398089328799928,0.24891335332870332,False
qwen,gemma,10,5,0.5370399574402096,0.4949578797920798,0.5554582802749607,1.4852390144931802,0.2644293293544056,False
qwen,gemma,10,6,0.5987572818615352,0.5470569390342503,0.6180294158067327,1.3263146152515146,0.23613471017227639,False
