model_a,model_b,K_a,K_b,profile_a,profile_b,size_a,size_b,intersection_count,union_count,jaccard,overlap_coefficient,p_b_given_a,p_a_given_b,expected_overlap,enrichment_ratio,hypergeom_p,hypergeom_q,strong_edge
llama,gemma,4,4,L04_A,G04_A,57,68,55,70,0.7857142857142857,0.9649122807017544,0.9649122807017544,0.8088235294117647,14.094545454545454,3.9022187822497423,1.2747744000606693e-42,1.0198195200485354e-41,True
llama,gemma,4,4,L04_A,G04_B,57,4,0,61,0.0,0.0,0.0,0.0,0.8290909090909091,0.0,1.0,1.0,False
llama,gemma,4,4,L04_A,G04_C,57,67,2,122,0.01639344262295082,0.03508771929824561,0.03508771929824561,0.029850746268656716,13.887272727272727,0.14401675831369468,0.9999996573824887,1.0,False
llama,gemma,4,4,L04_A,G04_D,57,136,0,193,0.0,0.0,0.0,0.0,28.189090909090908,0.0,1.0,1.0,False
llama,gemma,4,4,L04_B,G04_A,152,68,10,210,0.047619047619047616,0.14705882352941177,0.06578947368421052,0.14705882352941177,37.585454545454546,0.2660603715170279,0.9999999999999998,1.0,False
llama,gemma,4,4,L04_B,G04_B,152,4,0,156,0.0,0.0,0.0,0.0,2.210909090909091,0.0,1.0,1.0,False
llama,gemma,4,4,L04_B,G04_C,152,67,8,211,0.037914691943127965,0.11940298507462686,0.05263157894736842,0.11940298507462686,37.03272727272727,0.21602513747054203,1.0,1.0,False
llama,gemma,4,4,L04_B,G04_D,152,136,134,154,0.8701298701298701,0.9852941176470589,0.881578947368421,0.9852941176470589,75.17090909090909,1.7826044891640866,2.6916311214037547e-55,4.3066097942460075e-54,True
llama,gemma,4,4,L04_C,G04_A,63,68,3,128,0.0234375,0.047619047619047616,0.047619047619047616,0.04411764705882353,15.578181818181818,0.19257703081232494,0.9999995587599705,1.0,False
llama,gemma,4,4,L04_C,G04_B,63,4,1,66,0.015151515151515152,0.25,0.015873015873015872,0.25,0.9163636363636364,1.0912698412698412,0.6491115368101199,1.0,False
llama,gemma,4,4,L04_C,G04_C,63,67,57,73,0.7808219178082192,0.9047619047619048,0.9047619047619048,0.8507462686567164,15.34909090909091,3.7135749822316986,2.42185597649863e-41,1.2916565207992693e-40,True
llama,gemma,4,4,L04_C,G04_D,63,136,2,197,0.01015228426395939,0.031746031746031744,0.031746031746031744,0.014705882352941176,31.156363636363636,0.0641923436041083,1.0,1.0,False
llama,gemma,4,4,L04_D,G04_A,3,68,0,71,0.0,0.0,0.0,0.0,0.7418181818181818,0.0,1.0,1.0,False
