rank,K_qwen,K_llama,K_gemma,qwen_llama_ami,qwen_gemma_ami,llama_gemma_ami,mean_pairwise_ami,minimum_pairwise_ami,qwen_start_ari,qwen_refit_ari,qwen_small_cluster_warning,llama_start_ari,llama_refit_ari,llama_small_cluster_warning,gemma_start_ari,gemma_refit_ari,gemma_small_cluster_warning,mean_refit_ari,quality_constrained,near_best
1,6,9,6,0.618967412898966,0.6664477392118083,0.6492697172949747,0.644894956468583,0.618967412898966,0.7569452239319449,0.875964086809095,False,0.7134643949517894,0.7577815475363421,True,0.672514209560622,0.7722801214036135,True,0.8020085852496835,True,True
2,7,9,6,0.6296923451364017,0.6254196649088847,0.6492697172949747,0.6347939091134204,0.6254196649088847,0.7243691652038908,0.7964064024503543,True,0.7134643949517894,0.7577815475363421,True,0.672514209560622,0.7722801214036135,True,0.7754893571301033,True,True
3,6,9,7,0.618967412898966,0.6442737127879404,0.6349167751900734,0.6327193002923267,0.618967412898966,0.7569452239319449,0.875964086809095,False,0.7134643949517894,0.7577815475363421,True,0.6796478371097667,0.7400689497285318,True,0.7912715280246564,True,True
5,7,9,7,0.6296923451364017,0.6282566795031032,0.6349167751900734,0.6309552666098593,0.6282566795031032,0.7243691652038908,0.7964064024503543,True,0.7134643949517894,0.7577815475363421,True,0.6796478371097667,0.7400689497285318,True,0.7647522999050761,True,True
7,6,10,6,0.6149954638433188,0.6664477392118083,0.6045666424634473,0.6286699485061915,0.6045666424634473,0.7569452239319449,0.875964086809095,False,0.712939026899601,0.7535460555148441,True,0.672514209560622,0.7722801214036135,True,0.8005967545758509,True,True
10,4,4,4,0.5449104647734001,0.639210842615792,0.6748722672695705,0.6196645248862542,0.5449104647734001,0.7867143063987592,0.8968681692609819,False,0.8214048738929222,0.8824355337474117,True,0.9461676208754622,0.9578221322226628,True,0.9123752784103522,True,False
11,6,6,6,0.5519923335248217,0.6664477392118083,0.6276597085380694,0.6153665937582331,0.5519923335248217,0.7569452239319449,0.875964086809095,False,0.6283090554449327,0.7348418191630912,True,0.672514209560622,0.7722801214036135,True,0.7943620091252667,True,False
13,6,7,6,0.5775818562394454,0.6664477392118083,0.6001099426170272,0.6147131793560936,0.5775818562394454,0.7569452239319449,0.875964086809095,False,0.672426253525265,0.7368477971952578,True,0.672514209560622,0.7722801214036135,True,0.7950306684693221,True,False
15,7,9,8,0.6296923451364017,0.619739925533333,0.580258531888454,0.6098969341860628,0.580258531888454,0.7243691652038908,0.7964064024503543,True,0.7134643949517894,0.7577815475363421,True,0.6981304713398899,0.7238533962954519,True,0.7593471154273828,True,False
16,7,7,6,0.6016323590165147,0.6254196649088847,0.6001099426170272,0.6090539888474756,0.6001099426170272,0.7243691652038908,0.7964064024503543,True,0.672426253525265,0.7368477971952578,True,0.672514209560622,0.7722801214036135,True,0.7685114403497418,True,False
17,6,10,7,0.6149954638433188,0.6442737127879404,0.5619700820506629,0.607079752893974,0.5619700820506629,0.7569452239319449,0.875964086809095,False,0.712939026899601,0.7535460555148441,True,0.6796478371097667,0.7400689497285318,True,0.7898596973508236,True,False
18,6,9,8,0.618967412898966,0.6216809880494772,0.580258531888454,0.606968977612299,0.580258531888454,0.7569452239319449,0.875964086809095,False,0.7134643949517894,0.7577815475363421,True,0.6981304713398899,0.7238533962954519,True,0.7858663435469629,True,False
20,7,10,6,0.589551937413623,0.6254196649088847,0.6045666424634473,0.606512748261985,0.589551937413623,0.7243691652038908,0.7964064024503543,True,0.712939026899601,0.7535460555148441,True,0.672514209560622,0.7722801214036135,True,0.7740775264562707,True,False
21,6,10,8,0.6149954638433188,0.6216809880494772,0.5823496953974232,0.6063420490967398,0.5823496953974232,0.7569452239319449,0.875964086809095,False,0.712939026899601,0.7535460555148441,True,0.6981304713398899,0.7238533962954519,True,0.7844545128731303,True,False
23,7,7,7,0.6016323590165147,0.6282566795031032,0.5854190376874723,0.60510269206903,0.5854190376874723,0.7243691652038908,0.7964064024503543,True,0.672426253525265,0.7368477971952578,True,0.6796478371097667,0.7400689497285318,True,0.7577743831247146,True,False
25,7,4,4,0.5453689363248889,0.5879331694954225,0.6748722672695705,0.6027247910299606,0.5453689363248889,0.7243691652038908,0.7964064024503543,True,0.8214048738929222,0.8824355337474117,True,0.9461676208754622,0.9578221322226628,True,0.8788880228068097,True,False
26,6,10,9,0.6149954638433188,0.5901814047272055,0.6028414130863465,0.6026727605522902,0.5901814047272055,0.7569452239319449,0.875964086809095,False,0.712939026899601,0.7535460555148441,True,0.7087282765330731,0.728748242770688,True,0.7860861283648757,True,False
27,7,9,5,0.6296923451364017,0.5907173529965318,0.5873121443129725,0.6025739474819687,0.5873121443129725,0.7243691652038908,0.7964064024503543,True,0.7134643949517894,0.7577815475363421,True,0.6238221817907186,0.8417179193843307,True,0.7986352897903424,True,False
28,6,7,7,0.5775818562394454,0.6442737127879404,0.5854190376874723,0.6024248689049526,0.5775818562394454,0.7569452239319449,0.875964086809095,False,0.672426253525265,0.7368477971952578,True,0.6796478371097667,0.7400689497285318,True,0.7842936112442948,True,False
29,7,7,8,0.6016323590165147,0.619739925533333,0.5851045014925192,0.602158928680789,0.5851045014925192,0.7243691652038908,0.7964064024503543,True,0.672426253525265,0.7368477971952578,True,0.6981304713398899,0.7238533962954519,True,0.7523691986470213,True,False
30,6,9,5,0.618967412898966,0.5993425586743008,0.5873121443129725,0.6018740386287464,0.5873121443129725,0.7569452239319449,0.875964086809095,False,0.7134643949517894,0.7577815475363421,True,0.6238221817907186,0.8417179193843307,True,0.8251545179099226,True,False
35,7,6,6,0.5490047266895048,0.6254196649088847,0.6276597085380694,0.6006947000454863,0.5490047266895048,0.7243691652038908,0.7964064024503543,True,0.6283090554449327,0.7348418191630912,True,0.672514209560622,0.7722801214036135,True,0.7678427810056864,True,False
41,7,9,9,0.6296923451364017,0.5866652504547211,0.575434096752777,0.5972638974479666,0.575434096752777,0.7243691652038908,0.7964064024503543,True,0.7134643949517894,0.7577815475363421,True,0.7087282765330731,0.728748242770688,True,0.7609787309191282,True,False
42,7,10,8,0.589551937413623,0.619739925533333,0.5823496953974232,0.5972138527814598,0.5823496953974232,0.7243691652038908,0.7964064024503543,True,0.712939026899601,0.7535460555148441,True,0.6981304713398899,0.7238533962954519,True,0.75793528475355,True,False
44,6,4,4,0.5200183022450311,0.5917829801386019,0.6748722672695705,0.5955578498844011,0.5200183022450311,0.7569452239319449,0.875964086809095,False,0.8214048738929222,0.8824355337474117,True,0.9461676208754622,0.9578221322226628,True,0.9054072509263899,True,False
46,6,9,9,0.618967412898966,0.5901814047272055,0.575434096752777,0.5948609714596494,0.575434096752777,0.7569452239319449,0.875964086809095,False,0.7134643949517894,0.7577815475363421,True,0.7087282765330731,0.728748242770688,True,0.7874979590387085,True,False
48,6,7,8,0.5775818562394454,0.6216809880494772,0.5851045014925192,0.5947891152604806,0.5775818562394454,0.7569452239319449,0.875964086809095,False,0.672426253525265,0.7368477971952578,True,0.6981304713398899,0.7238533962954519,True,0.7788884267666015,True,False
52,4,9,6,0.544898399772158,0.5873240664224086,0.6492697172949747,0.5938307278298471,0.544898399772158,0.7867143063987592,0.8968681692609819,False,0.7134643949517894,0.7577815475363421,True,0.672514209560622,0.7722801214036135,True,0.8089766127336459,True,False
54,7,10,7,0.589551937413623,0.6282566795031032,0.5619700820506629,0.593259566322463,0.5619700820506629,0.7243691652038908,0.7964064024503543,True,0.712939026899601,0.7535460555148441,True,0.6796478371097667,0.7400689497285318,True,0.7633404692312434,True,False
55,7,10,9,0.589551937413623,0.5866652504547211,0.6028414130863465,0.5930195336515635,0.5866652504547211,0.7243691652038908,0.7964064024503543,True,0.712939026899601,0.7535460555148441,True,0.7087282765330731,0.728748242770688,True,0.7595669002452955,True,False
61,6,6,7,0.5519923335248217,0.6442737127879404,0.5786392752175923,0.5916351071767848,0.5519923335248217,0.7569452239319449,0.875964086809095,False,0.6283090554449327,0.7348418191630912,True,0.6796478371097667,0.7400689497285318,True,0.7836249519002393,True,False
62,6,10,5,0.6149954638433188,0.5993425586743008,0.5539821602439897,0.5894400609205364,0.5539821602439897,0.7569452239319449,0.875964086809095,False,0.712939026899601,0.7535460555148441,True,0.6238221817907186,0.8417179193843307,True,0.8237426872360899,True,False
66,7,4,7,0.5453689363248889,0.6282566795031032,0.5875778545622233,0.5870678234634051,0.5453689363248889,0.7243691652038908,0.7964064024503543,True,0.8214048738929222,0.8824355337474117,True,0.6796478371097667,0.7400689497285318,True,0.8063036286420994,True,False
67,4,7,6,0.5734551567997747,0.5873240664224086,0.6001099426170272,0.5869630552797368,0.5734551567997747,0.7867143063987592,0.8968681692609819,False,0.672426253525265,0.7368477971952578,True,0.672514209560622,0.7722801214036135,True,0.8019986959532844,True,False
69,6,4,6,0.5200183022450311,0.6664477392118083,0.5740978401766356,0.5868546272111583,0.5200183022450311,0.7569452239319449,0.875964086809095,False,0.8214048738929222,0.8824355337474117,True,0.672514209560622,0.7722801214036135,True,0.8435599139867067,True,False
73,7,6,7,0.5490047266895048,0.6282566795031032,0.5786392752175923,0.5853002271367335,0.5490047266895048,0.7243691652038908,0.7964064024503543,True,0.6283090554449327,0.7348418191630912,True,0.6796478371097667,0.7400689497285318,True,0.7571057237806591,True,False
75,7,7,5,0.6016323590165147,0.5907173529965318,0.5622935240138205,0.5848810786756223,0.5622935240138205,0.7243691652038908,0.7964064024503543,True,0.672426253525265,0.7368477971952578,True,0.6238221817907186,0.8417179193843307,True,0.791657373009981,True,False
79,6,10,4,0.6149954638433188,0.5917829801386019,0.5454860950678733,0.5840881796832647,0.5454860950678733,0.7569452239319449,0.875964086809095,False,0.712939026899601,0.7535460555148441,True,0.9461676208754622,0.9578221322226628,True,0.8624440915155339,True,False
80,6,4,7,0.5200183022450311,0.6442737127879404,0.5875778545622233,0.5839566231983983,0.5200183022450311,0.7569452239319449,0.875964086809095,False,0.8214048738929222,0.8824355337474117,True,0.6796478371097667,0.7400689497285318,True,0.8328228567616796,True,False
82,7,4,5,0.5453689363248889,0.5907173529965318,0.6138415601267093,0.5833092831493767,0.5453689363248889,0.7243691652038908,0.7964064024503543,True,0.8214048738929222,0.8824355337474117,True,0.6238221817907186,0.8417179193843307,True,0.8401866185273655,True,False
