model_a,model_b,K_a,K_b,profile_a,profile_b,valid_neighborhood_cells,supported_neighborhood_cells,persistence_score,persistence_tier,neighborhood_trace
llama,gemma,4,4,L04_A,G04_A,4,4,1.0,high,"4,4,L04_A,G04_A,1;4,5,L04_A,G05_C,1;5,4,L05_B,G04_A,1;5,5,L05_B,G05_C,1"
llama,gemma,4,4,L04_B,G04_D,4,4,1.0,high,"4,4,L04_B,G04_D,1;4,5,L04_B,G05_E,1;5,4,L05_A,G04_D,1;5,5,L05_A,G05_E,1"
llama,gemma,4,4,L04_C,G04_C,4,4,1.0,high,"4,4,L04_C,G04_C,1;4,5,L04_C,G05_D,1;5,4,L05_C,G04_C,1;5,5,L05_C,G05_D,1"
llama,gemma,4,4,L04_D,G04_B,4,4,1.0,high,"4,4,L04_D,G04_B,1;4,5,L04_D,G05_A,1;5,4,L05_E,G04_B,1;5,5,L05_E,G05_A,1"
llama,gemma,4,5,L04_A,G05_C,6,6,1.0,high,"4,4,L04_A,G04_A,1;4,5,L04_A,G05_C,1;4,6,L04_A,G06_E,1;5,4,L05_B,G04_A,1;5,5,L05_B,G05_C,1;5,6,L05_B,G06_E,1"
llama,gemma,4,5,L04_B,G05_E,6,6,1.0,high,"4,4,L04_B,G04_D,1;4,5,L04_B,G05_E,1;4,6,L04_B,G06_F,1;5,4,L05_A,G04_D,1;5,5,L05_A,G05_E,1;5,6,L05_A,G06_F,1"
llama,gemma,4,5,L04_C,G05_D,6,6,1.0,high,"4,4,L04_C,G04_C,1;4,5,L04_C,G05_D,1;4,6,L04_C,G06_D,1;5,4,L05_C,G04_C,1;5,5,L05_C,G05_D,1;5,6,L05_C,G06_D,1"
llama,gemma,4,5,L04_D,G05_A,6,6,1.0,high,"4,4,L04_D,G04_B,1;4,5,L04_D,G05_A,1;4,6,L04_D,G06_A,1;5,4,L05_E,G04_B,1;5,5,L05_E,G05_A,1;5,6,L05_E,G06_A,1"
llama,gemma,4,6,L04_A,G06_E,6,6,1.0,high,"4,5,L04_A,G05_C,1;4,6,L04_A,G06_E,1;4,7,L04_A,G07_G,1;5,5,L05_B,G05_C,1;5,6,L05_B,G06_E,1;5,7,L05_B,G07_G,1"
llama,gemma,4,6,L04_B,G06_F,6,6,1.0,high,"4,5,L04_B,G05_E,1;4,6,L04_B,G06_F,1;4,7,L04_B,G07_A,1;5,5,L05_A,G05_E,1;5,6,L05_A,G06_F,1;5,7,L05_A,G07_A,1"
llama,gemma,4,6,L04_C,G06_C,6,4,0.6666666666666666,moderate,"4,5,L04_C,G05_D,1;4,6,L04_C,G06_C,1;4,7,L04_C,G07_D,1;5,5,L05_C,G05_D,1;5,6,L05_C,G06_C,0;5,7,L05_C,G07_D,0"
llama,gemma,4,6,L04_C,G06_D,6,6,1.0,high,"4,5,L04_C,G05_D,1;4,6,L04_C,G06_D,1;4,7,L04_C,G07_E,1;5,5,L05_C,G05_D,1;5,6,L05_C,G06_D,1;5,7,L05_C,G07_E,1"
llama,gemma,4,6,L04_D,G06_A,6,6,1.0,high,"4,5,L04_D,G05_A,1;4,6,L04_D,G06_A,1;4,7,L04_D,G07_B,1;5,5,L05_E,G05_A,1;5,6,L05_E,G06_A,1;5,7,L05_E,G07_B,1"
