model_a,model_b,K_a,K_b,profile_a,profile_b,size_a,size_b,intersection_count,union_count,jaccard,overlap_coefficient,p_b_given_a,p_a_given_b,expected_overlap,enrichment_ratio,hypergeom_p,hypergeom_q,strong_edge,valid_neighborhood_cells,supported_neighborhood_cells,persistence_score,persistence_tier,neighborhood_trace
llama,gemma,4,4,L04_A,G04_A,57,68,55,70,0.7857142857142857,0.9649122807017544,0.9649122807017544,0.8088235294117647,14.094545454545454,3.9022187822497423,1.2747744000606693e-42,1.0198195200485354e-41,True,4,4,1.0,high,"4,4,L04_A,G04_A,1;4,5,L04_A,G05_C,1;5,4,L05_B,G04_A,1;5,5,L05_B,G05_C,1"
llama,gemma,4,4,L04_B,G04_D,152,136,134,154,0.8701298701298701,0.9852941176470589,0.881578947368421,0.9852941176470589,75.17090909090909,1.7826044891640866,2.6916311214037547e-55,4.3066097942460075e-54,True,4,4,1.0,high,"4,4,L04_B,G04_D,1;4,5,L04_B,G05_E,1;5,4,L05_A,G04_D,1;5,5,L05_A,G05_E,1"
llama,gemma,4,4,L04_C,G04_C,63,67,57,73,0.7808219178082192,0.9047619047619048,0.9047619047619048,0.8507462686567164,15.34909090909091,3.7135749822316986,2.42185597649863e-41,1.2916565207992693e-40,True,4,4,1.0,high,"4,4,L04_C,G04_C,1;4,5,L04_C,G05_D,1;5,4,L05_C,G04_C,1;5,5,L05_C,G05_D,1"
llama,gemma,4,4,L04_D,G04_B,3,4,3,4,0.75,1.0,1.0,0.75,0.04363636363636364,68.75,1.1667164951836484e-06,4.6668659807345936e-06,True,4,4,1.0,high,"4,4,L04_D,G04_B,1;4,5,L04_D,G05_A,1;5,4,L05_E,G04_B,1;5,5,L05_E,G05_A,1"
llama,gemma,4,5,L04_A,G05_C,57,53,50,60,0.8333333333333334,0.9433962264150944,0.8771929824561403,0.9433962264150944,10.985454545454546,4.551473022178087,2.139083778298026e-43,4.2781675565960524e-42,True,6,6,1.0,high,"4,4,L04_A,G04_A,1;4,5,L04_A,G05_C,1;4,6,L04_A,G06_E,1;5,4,L05_B,G04_A,1;5,5,L05_B,G05_C,1;5,6,L05_B,G06_E,1"
llama,gemma,4,5,L04_B,G05_E,152,109,109,152,0.7171052631578947,1.0,0.7171052631578947,1.0,60.24727272727273,1.8092105263157894,1.934602416539938e-41,1.9346024165399377e-40,True,6,6,1.0,high,"4,4,L04_B,G04_D,1;4,5,L04_B,G05_E,1;4,6,L04_B,G06_F,1;5,4,L05_A,G04_D,1;5,5,L05_A,G05_E,1;5,6,L05_A,G06_F,1"
llama,gemma,4,5,L04_C,G05_D,63,40,39,64,0.609375,0.975,0.6190476190476191,0.975,9.163636363636364,4.2559523809523805,1.4331135303780716e-29,9.554090202520477e-29,True,6,6,1.0,high,"4,4,L04_C,G04_C,1;4,5,L04_C,G05_D,1;4,6,L04_C,G06_D,1;5,4,L05_C,G04_C,1;5,5,L05_C,G05_D,1;5,6,L05_C,G06_D,1"
llama,gemma,4,5,L04_D,G05_A,3,4,3,4,0.75,1.0,1.0,0.75,0.04363636363636364,68.75,1.1667164951836484e-06,5.833582475918242e-06,True,6,6,1.0,high,"4,4,L04_D,G04_B,1;4,5,L04_D,G05_A,1;4,6,L04_D,G06_A,1;5,4,L05_E,G04_B,1;5,5,L05_E,G05_A,1;5,6,L05_E,G06_A,1"
llama,gemma,4,6,L04_A,G06_E,57,49,48,58,0.8275862068965517,0.9795918367346939,0.8421052631578947,0.9795918367346939,10.156363636363636,4.726100966702471,3.3640415717222205e-43,4.0368498860666645e-42,True,6,6,1.0,high,"4,5,L04_A,G05_C,1;4,6,L04_A,G06_E,1;4,7,L04_A,G07_G,1;5,5,L05_B,G05_C,1;5,6,L05_B,G06_E,1;5,7,L05_B,G07_G,1"
llama,gemma,4,6,L04_B,G06_F,152,112,112,152,0.7368421052631579,1.0,0.7368421052631579,1.0,61.905454545454546,1.8092105263157894,3.1890215080970484e-43,4.0368498860666645e-42,True,6,6,1.0,high,"4,5,L04_B,G05_E,1;4,6,L04_B,G06_F,1;4,7,L04_B,G07_A,1;5,5,L05_A,G05_E,1;5,6,L05_A,G06_F,1;5,7,L05_A,G07_A,1"
