model,K,profile_id,size,opaque_role_ids,target_model,target_K,target_profile,target_size,intersection_count,tiny_role_retention,jaccard,overlap_coefficient,global_best_for_target_model,nearest_lower_K,nearest_lower_profile,parent_tiny_role_retention,parent_jaccard
gemma,4,G04_B,4,R036;R093;R121;R246,llama,4,L04_D,3,3,0.75,0.75,1.0,True,,,,
gemma,4,G04_B,4,R036;R093;R121;R246,llama,5,L05_E,3,3,0.75,0.75,1.0,True,,,,
gemma,4,G04_B,4,R036;R093;R121;R246,llama,6,L06_F,3,3,0.75,0.75,1.0,True,,,,
gemma,4,G04_B,4,R036;R093;R121;R246,llama,7,L07_G,3,3,0.75,0.75,1.0,True,,,,
gemma,4,G04_B,4,R036;R093;R121;R246,llama,8,L08_H,3,3,0.75,0.75,1.0,True,,,,
gemma,4,G04_B,4,R036;R093;R121;R246,llama,9,L09_I,3,3,0.75,0.75,1.0,True,,,,
gemma,4,G04_B,4,R036;R093;R121;R246,llama,10,L10_D,2,2,0.5,0.5,1.0,False,,,,
gemma,4,G04_B,4,R036;R093;R121;R246,qwen,4,Q04_C,50,2,0.5,0.038461538461538464,0.5,False,,,,
gemma,4,G04_B,4,R036;R093;R121;R246,qwen,5,Q05_E,30,3,0.75,0.0967741935483871,0.75,False,,,,
gemma,4,G04_B,4,R036;R093;R121;R246,qwen,6,Q06_C,7,3,0.75,0.375,0.75,False,,,,
gemma,4,G04_B,4,R036;R093;R121;R246,qwen,7,Q07_G,3,3,0.75,0.75,1.0,True,,,,
gemma,4,G04_B,4,R036;R093;R121;R246,qwen,8,Q08_D,2,2,0.5,0.5,1.0,False,,,,
gemma,4,G04_B,4,R036;R093;R121;R246,qwen,9,Q09_E,2,2,0.5,0.5,1.0,False,,,,
gemma,4,G04_B,4,R036;R093;R121;R246,qwen,10,Q10_F,2,2,0.5,0.5,1.0,False,,,,
gemma,5,G05_A,4,R036;R093;R121;R246,llama,4,L04_D,3,3,0.75,0.75,1.0,True,4.0,G04_B,1.0,1.0
gemma,5,G05_A,4,R036;R093;R121;R246,llama,5,L05_E,3,3,0.75,0.75,1.0,True,4.0,G04_B,1.0,1.0
gemma,5,G05_A,4,R036;R093;R121;R246,llama,6,L06_F,3,3,0.75,0.75,1.0,True,4.0,G04_B,1.0,1.0
gemma,5,G05_A,4,R036;R093;R121;R246,llama,7,L07_G,3,3,0.75,0.75,1.0,True,4.0,G04_B,1.0,1.0
gemma,5,G05_A,4,R036;R093;R121;R246,llama,8,L08_H,3,3,0.75,0.75,1.0,True,4.0,G04_B,1.0,1.0
gemma,5,G05_A,4,R036;R093;R121;R246,llama,9,L09_I,3,3,0.75,0.75,1.0,True,4.0,G04_B,1.0,1.0
gemma,5,G05_A,4,R036;R093;R121;R246,llama,10,L10_D,2,2,0.5,0.5,1.0,False,4.0,G04_B,1.0,1.0
gemma,5,G05_A,4,R036;R093;R121;R246,qwen,4,Q04_C,50,2,0.5,0.038461538461538464,0.5,False,4.0,G04_B,1.0,1.0
gemma,5,G05_A,4,R036;R093;R121;R246,qwen,5,Q05_E,30,3,0.75,0.0967741935483871,0.75,False,4.0,G04_B,1.0,1.0
gemma,5,G05_A,4,R036;R093;R121;R246,qwen,6,Q06_C,7,3,0.75,0.375,0.75,False,4.0,G04_B,1.0,1.0
gemma,5,G05_A,4,R036;R093;R121;R246,qwen,7,Q07_G,3,3,0.75,0.75,1.0,True,4.0,G04_B,1.0,1.0
gemma,5,G05_A,4,R036;R093;R121;R246,qwen,8,Q08_D,2,2,0.5,0.5,1.0,False,4.0,G04_B,1.0,1.0
gemma,5,G05_A,4,R036;R093;R121;R246,qwen,9,Q09_E,2,2,0.5,0.5,1.0,False,4.0,G04_B,1.0,1.0
gemma,5,G05_A,4,R036;R093;R121;R246,qwen,10,Q10_F,2,2,0.5,0.5,1.0,False,4.0,G04_B,1.0,1.0
gemma,6,G06_A,4,R036;R093;R121;R246,llama,4,L04_D,3,3,0.75,0.75,1.0,True,5.0,G05_A,1.0,1.0
gemma,6,G06_A,4,R036;R093;R121;R246,llama,5,L05_E,3,3,0.75,0.75,1.0,True,5.0,G05_A,1.0,1.0
gemma,6,G06_A,4,R036;R093;R121;R246,llama,6,L06_F,3,3,0.75,0.75,1.0,True,5.0,G05_A,1.0,1.0
gemma,6,G06_A,4,R036;R093;R121;R246,llama,7,L07_G,3,3,0.75,0.75,1.0,True,5.0,G05_A,1.0,1.0
gemma,6,G06_A,4,R036;R093;R121;R246,llama,8,L08_H,3,3,0.75,0.75,1.0,True,5.0,G05_A,1.0,1.0
gemma,6,G06_A,4,R036;R093;R121;R246,llama,9,L09_I,3,3,0.75,0.75,1.0,True,5.0,G05_A,1.0,1.0
gemma,6,G06_A,4,R036;R093;R121;R246,llama,10,L10_D,2,2,0.5,0.5,1.0,False,5.0,G05_A,1.0,1.0
gemma,6,G06_A,4,R036;R093;R121;R246,qwen,4,Q04_C,50,2,0.5,0.038461538461538464,0.5,False,5.0,G05_A,1.0,1.0
gemma,6,G06_A,4,R036;R093;R121;R246,qwen,5,Q05_E,30,3,0.75,0.0967741935483871,0.75,False,5.0,G05_A,1.0,1.0
gemma,6,G06_A,4,R036;R093;R121;R246,qwen,6,Q06_C,7,3,0.75,0.375,0.75,False,5.0,G05_A,1.0,1.0
gemma,6,G06_A,4,R036;R093;R121;R246,qwen,7,Q07_G,3,3,0.75,0.75,1.0,True,5.0,G05_A,1.0,1.0
gemma,6,G06_A,4,R036;R093;R121;R246,qwen,8,Q08_D,2,2,0.5,0.5,1.0,False,5.0,G05_A,1.0,1.0
gemma,6,G06_A,4,R036;R093;R121;R246,qwen,9,Q09_E,2,2,0.5,0.5,1.0,False,5.0,G05_A,1.0,1.0
gemma,6,G06_A,4,R036;R093;R121;R246,qwen,10,Q10_F,2,2,0.5,0.5,1.0,False,5.0,G05_A,1.0,1.0
gemma,7,G07_B,4,R036;R093;R121;R246,llama,4,L04_D,3,3,0.75,0.75,1.0,True,6.0,G06_A,1.0,1.0
gemma,7,G07_B,4,R036;R093;R121;R246,llama,5,L05_E,3,3,0.75,0.75,1.0,True,6.0,G06_A,1.0,1.0
