model_a,model_b,K_a,K_b,profile_a,profile_b,intersection_count,jaccard,overlap_coefficient,persistence_score,persistence_tier,pearson_240_traits,spearman_240_traits,centered_cosine_240_traits,evidence_role
llama,gemma,4,4,L04_A,G04_A,55,0.7857142857142857,0.9649122807017544,1.0,high,0.9171000851498521,0.9169256410701573,0.9171000851498519,secondary same-activation-space confirmation
llama,gemma,4,4,L04_B,G04_D,134,0.8701298701298701,0.9852941176470588,1.0,high,0.9165324920132237,0.9054037396482577,0.9165324920132238,secondary same-activation-space confirmation
llama,gemma,4,4,L04_C,G04_C,57,0.7808219178082192,0.9047619047619048,1.0,high,0.8905975350269053,0.8961101755238804,0.890597535026905,secondary same-activation-space confirmation
llama,gemma,4,4,L04_D,G04_B,3,0.75,1.0,1.0,high,0.8309484040213593,0.8412863070539417,0.8309484040213592,secondary same-activation-space confirmation
llama,gemma,4,5,L04_A,G05_C,50,0.8333333333333334,0.9433962264150944,1.0,high,0.9080845059782268,0.910368235559645,0.9080845059782269,secondary same-activation-space confirmation
llama,gemma,4,5,L04_B,G05_E,109,0.7171052631578947,1.0,1.0,high,0.895003474740922,0.8653674542960814,0.8950034747409218,secondary same-activation-space confirmation
llama,gemma,4,5,L04_C,G05_D,39,0.609375,0.975,1.0,high,0.8852129186416919,0.890039757634681,0.8852129186416922,secondary same-activation-space confirmation
llama,gemma,4,5,L04_D,G05_A,3,0.75,1.0,1.0,high,0.8309484040213593,0.8412863070539417,0.8309484040213592,secondary same-activation-space confirmation
llama,gemma,4,6,L04_A,G06_E,48,0.8275862068965517,0.979591836734694,1.0,high,0.9124386775987601,0.9138665601833362,0.9124386775987597,secondary same-activation-space confirmation
llama,gemma,4,6,L04_B,G06_F,112,0.7368421052631579,1.0,1.0,high,0.8943011544035446,0.8641894824562925,0.8943011544035447,secondary same-activation-space confirmation
llama,gemma,4,6,L04_C,G06_C,19,0.2878787878787879,0.8636363636363636,0.6666666666666666,moderate,0.8197865470464107,0.8272174864146945,0.8197865470464106,secondary same-activation-space confirmation
llama,gemma,4,6,L04_C,G06_D,26,0.3939393939393939,0.896551724137931,1.0,high,0.7436105460860822,0.7451162346568516,0.7436105460860821,secondary same-activation-space confirmation
llama,gemma,4,6,L04_D,G06_A,3,0.75,1.0,1.0,high,0.8309484040213593,0.8412863070539417,0.8309484040213592,secondary same-activation-space confirmation
llama,gemma,4,7,L04_A,G07_G,49,0.8596491228070176,1.0,1.0,high,0.9144971294813155,0.9137450302956647,0.9144971294813155,secondary same-activation-space confirmation
llama,gemma,4,7,L04_B,G07_A,98,0.6447368421052632,1.0,1.0,high,0.8854006052248304,0.8488966822340663,0.8854006052248304,secondary same-activation-space confirmation
llama,gemma,4,7,L04_B,G07_C,46,0.2875,0.8518518518518519,0.1666666666666666,isolated,0.409227488517663,0.43977499609368204,0.4092274885176629,secondary same-activation-space confirmation
llama,gemma,4,7,L04_C,G07_D,19,0.2714285714285714,0.7307692307692307,0.5,moderate,0.7618190349326315,0.7644898348929667,0.7618190349326315,secondary same-activation-space confirmation
llama,gemma,4,7,L04_C,G07_E,18,0.2647058823529412,0.782608695652174,1.0,high,0.71404012304969,0.7169994270733866,0.71404012304969,secondary same-activation-space confirmation
llama,gemma,4,7,L04_C,G07_F,21,0.3333333333333333,1.0,1.0,high,0.8517803444622531,0.8535382558724975,0.851780344462253,secondary same-activation-space confirmation
llama,gemma,4,7,L04_D,G07_B,3,0.75,1.0,1.0,high,0.8309484040213593,0.8412863070539417,0.8309484040213592,secondary same-activation-space confirmation
llama,gemma,4,8,L04_A,G08_C,24,0.3692307692307692,0.75,1.0,high,0.8631263527170023,0.8495529436274933,0.8631263527170021,secondary same-activation-space confirmation
llama,gemma,4,8,L04_A,G08_G,31,0.5081967213114754,0.8857142857142857,1.0,high,0.8835545938914631,0.8972655775273874,0.8835545938914632,secondary same-activation-space confirmation
llama,gemma,4,8,L04_B,G08_D,109,0.7171052631578947,1.0,1.0,high,0.8990334227365226,0.8682859077414538,0.8990334227365226,secondary same-activation-space confirmation
