model_a,model_b,K_a,K_b,profile_a,profile_b,size_a,size_b,intersection_count,union_count,jaccard,overlap_coefficient,p_b_given_a,p_a_given_b,expected_overlap,enrichment_ratio,hypergeom_p,hypergeom_q,strong_edge,valid_neighborhood_cells,supported_neighborhood_cells,persistence_score,persistence_tier,neighborhood_trace,profile_a_persistent_degree,profile_b_persistent_degree,split_merge_pattern
qwen,llama,6,9,Q06_A,L09_E,29,29,18,40,0.45,0.6206896551724138,0.6206896551724138,0.6206896551724138,3.058181818181818,5.885850178359097,1.0517493002235859e-13,1.1358892442414726e-12,True,9,6,0.6666666666666666,moderate,"5,8,Q05_A,L08_B,0;5,9,Q05_A,L09_E,1;5,10,Q05_A,L10_A,1;6,8,Q06_A,L08_B,0;6,9,Q06_A,L09_E,1;6,10,Q06_A,L10_A,1;7,8,Q07_C,L08_B,0;7,9,Q07_C,L09_E,1;7,10,Q07_C,L10_A,1",1,1,one_to_one
qwen,llama,6,9,Q06_C,L09_D,7,7,5,9,0.5555555555555556,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.1781818181818182,28.06122448979592,3.4470640564153406e-08,3.102357650773807e-07,True,9,9,1.0,high,"5,8,Q05_E,L08_C,1;5,9,Q05_E,L09_D,1;5,10,Q05_E,L10_J,1;6,8,Q06_C,L08_C,1;6,9,Q06_C,L09_D,1;6,10,Q06_C,L10_J,1;7,8,Q07_A,L08_C,1;7,9,Q07_A,L09_D,1;7,10,Q07_A,L10_J,1",1,1,one_to_one
qwen,llama,6,9,Q06_D,L09_B,53,39,36,56,0.6428571428571429,0.9230769230769232,0.6792452830188679,0.9230769230769232,7.516363636363637,4.78955007256894,1.4848524159609647e-28,4.009101523094605e-27,True,9,9,1.0,high,"5,8,Q05_C,L08_A,1;5,9,Q05_C,L09_B,1;5,10,Q05_C,L10_F,1;6,8,Q06_D,L08_A,1;6,9,Q06_D,L09_B,1;6,10,Q06_D,L10_F,1;7,8,Q07_D,L08_A,1;7,9,Q07_D,L09_B,1;7,10,Q07_D,L10_F,1",1,1,one_to_one
qwen,llama,6,9,Q06_E,L09_G,102,111,102,111,0.918918918918919,1.0,1.0,0.918918918918919,41.17090909090909,2.4774774774774775,1.7759636834763346e-65,9.590203890772204e-64,True,9,9,1.0,high,"5,8,Q05_B,L08_F,1;5,9,Q05_B,L09_G,1;5,10,Q05_B,L10_I,1;6,8,Q06_E,L08_F,1;6,9,Q06_E,L09_G,1;6,10,Q06_E,L10_I,1;7,8,Q07_B,L08_F,1;7,9,Q07_B,L09_G,1;7,10,Q07_B,L10_I,1",1,1,one_to_one
qwen,llama,6,9,Q06_F,L09_A,42,31,27,46,0.5869565217391305,0.8709677419354839,0.6428571428571429,0.8709677419354839,4.734545454545454,5.702764976958526,1.36472085236896e-22,2.456497534264128e-21,True,9,8,0.8888888888888888,high,"5,8,Q05_E,L08_D,0;5,9,Q05_E,L09_A,1;5,10,Q05_E,L10_H,1;6,8,Q06_F,L08_D,1;6,9,Q06_F,L09_A,1;6,10,Q06_F,L10_H,1;7,8,Q07_F,L08_D,1;7,9,Q07_F,L09_A,1;7,10,Q07_F,L10_H,1",1,1,one_to_one
qwen,gemma,6,6,Q06_A,G06_C,29,22,21,30,0.7,0.9545454545454546,0.7241379310344828,0.9545454545454546,2.32,9.051724137931036,6.086990120264785e-24,7.304388144317742e-23,True,9,6,0.6666666666666666,moderate,"5,5,Q05_A,G05_D,0;5,6,Q05_A,G06_C,1;5,7,Q05_A,G07_D,1;6,5,Q06_A,G05_D,0;6,6,Q06_A,G06_C,1;6,7,Q06_A,G07_D,1;7,5,Q07_C,G05_D,0;7,6,Q07_C,G06_C,1;7,7,Q07_C,G07_D,1",1,1,one_to_one
qwen,gemma,6,6,Q06_B,G06_B,42,59,35,66,0.5303030303030303,0.8333333333333334,0.8333333333333334,0.5932203389830508,9.010909090909092,3.884180790960451,1.1760153854657659e-21,1.0584138469191895e-20,True,9,9,1.0,high,"5,5,Q05_D,G05_B,1;5,6,Q05_D,G06_B,1;5,7,Q05_D,G07_C,1;6,5,Q06_B,G05_B,1;6,6,Q06_B,G06_B,1;6,7,Q06_B,G07_C,1;7,5,Q07_E,G05_B,1;7,6,Q07_E,G06_B,1;7,7,Q07_E,G07_C,1",1,1,one_to_one
qwen,gemma,6,6,Q06_D,G06_E,53,49,47,55,0.8545454545454545,0.9591836734693876,0.8867924528301887,0.9591836734693876,9.443636363636363,4.9768964189449365,9.662689630555661e-44,1.7392841335000186e-42,True,9,9,1.0,high,"5,5,Q05_C,G05_C,1;5,6,Q05_C,G06_E,1;5,7,Q05_C,G07_G,1;6,5,Q06_D,G05_C,1;6,6,Q06_D,G06_E,1;6,7,Q06_D,G07_G,1;7,5,Q07_D,G05_C,1;7,6,Q07_D,G06_E,1;7,7,Q07_D,G07_G,1",1,1,one_to_one
qwen,gemma,6,6,Q06_E,G06_F,102,112,100,114,0.8771929824561403,0.9803921568627452,0.9803921568627452,0.8928571428571429,41.54181818181818,2.407212885154062,2.0526236289907673e-58,7.389445064366763e-57,True,9,9,1.0,high,"5,5,Q05_B,G05_E,1;5,6,Q05_B,G06_F,1;5,7,Q05_B,G07_A,1;6,5,Q06_E,G05_E,1;6,6,Q06_E,G06_F,1;6,7,Q06_E,G07_A,1;7,5,Q07_B,G05_E,1;7,6,Q07_B,G06_F,1;7,7,Q07_B,G07_A,1",1,1,one_to_one
qwen,gemma,6,6,Q06_F,G06_D,42,29,24,47,0.5106382978723404,0.8275862068965517,0.5714285714285714,0.8275862068965517,4.429090909090909,5.41871921182266,1.4613753895915277e-18,1.0521902805058999e-17,True,9,9,1.0,high,"5,5,Q05_E,G05_D,1;5,6,Q05_E,G06_D,1;5,7,Q05_E,G07_E,1;6,5,Q06_F,G05_D,1;6,6,Q06_F,G06_D,1;6,7,Q06_F,G07_E,1;7,5,Q07_F,G05_D,1;7,6,Q07_F,G06_D,1;7,7,Q07_F,G07_E,1",1,1,one_to_one
