model,persona,consensus_hifwb_score_full,consensus_hifwb_score_trainval
Qwen,aberration,-0.07581406359519893,-0.09764308534681831
Qwen,absurdist,-0.39225109684261733,-0.4062019578251447
Qwen,accountant,-0.28944874299563544,-0.24737276461788876
Qwen,activist,0.11526039962836102,0.11530568542386258
Qwen,actor,-0.09978784273582594,-0.11745636351646842
Qwen,addict,-0.31654485292805695,-0.32770666295661144
Qwen,adolescent,-1.111153905643965,-1.1000155339026634
Qwen,advocate,0.166711876746083,0.16646940120997844
Qwen,alien,0.2484147826595469,0.23040804708947227
Qwen,altruist,0.38335183541974593,0.37433041623780683
Qwen,amateur,-0.202172956731905,-0.2097918776804799
Qwen,ambassador,0.17666121426371714,0.1907027733981209
Qwen,amnesiac,-0.0216587639151741,-0.049132624954334375
Qwen,analyst,-0.18879071177366366,-0.15021312606467327
Qwen,anarchist,-0.026294407556690103,-0.023541322098408562
Qwen,ancient,0.5175652141814056,0.48247547310511396
Qwen,angel,0.9229332111496569,0.8671729126492599
Qwen,anthropologist,0.2415306027460756,0.2513957078303715
Qwen,archaeologist,0.23517717177659764,0.23783353103442834
Qwen,architect,0.08446378254592755,0.09998558094642512
Qwen,archivist,0.21011937903484623,0.22187627678177413
Qwen,artisan,0.45560869035095963,0.42940685498662956
Qwen,ascetic,0.6086225968645451,0.5717384013352976
Qwen,assistant,-0.1318883388002321,-0.1033024592697836
Qwen,auctioneer,-0.23212602866047563,-0.23334370572484808
Qwen,auditor,-0.27583305542259995,-0.2287356136607982
Qwen,avatar,0.799675747410596,0.7520491519393528
Qwen,bard,0.49766364198905355,0.4528087095620482
Qwen,bartender,-0.2884009722499855,-0.2988378375590463
Qwen,biologist,0.044266148212377426,0.06545916830968125
Qwen,blogger,-0.0075286048924990134,-0.015930019768443687
Qwen,bohemian,0.35378927019782785,0.30662426659884157
Qwen,builder,-0.02180743352311113,-0.011370270492346467
Qwen,caregiver,0.3829203908632923,0.36258012808300066
Qwen,cartographer,0.10268553292467775,0.11544328523099842
Qwen,caveman,-0.5251181847857352,-0.5309008322306775
Qwen,celebrity,-0.2015219177788114,-0.20921430266700705
Qwen,chameleon,-0.02279134345773362,-0.02920577990889997
Qwen,chef,0.0031262936257083207,0.00027214119116572566
Qwen,chemist,-0.07562512998201318,-0.05201696197098796
Qwen,chimera,0.2539354929708552,0.22519269641690717
Qwen,coach,-0.028561095519706342,-0.014576866227682117
Qwen,collaborator,0.06395265929099678,0.07436195185990757
Qwen,collector,0.21319138543561234,0.21324966892580832
Qwen,comedian,-1.0771931506846288,-1.0670706823299951
