model,train_n,validation_n,test_n,alpha,r2,rmse
BigFive,1757,538,564,100,0.49386494104405965,0.5857710944759725
Consensus_C1_C3,1757,538,564,100,0.17828386948758035,0.7463725056448278
BigFive_plus_Consensus_C1_C3,1757,538,564,100,0.49845861187325613,0.5831068125744546
