run_id,role,family,response_id,sp_idx,q_idx,original_score,score_class,truncated,activation_relpath,pc1,pc2,pc3
trickster_phase1_1200,trickster,trickster_family,trickster_phase1_1200:sp0_q0,0,0,2,score_ge2,1,research/q2_stability/qwen/outputs/paper1_5/activations_trickster/sp0_q0.pt,-31.725334038976808,13.317109937242723,18.785051076170262
trickster_phase1_1200,trickster,trickster_family,trickster_phase1_1200:sp0_q1,0,1,3,score_eq3,0,research/q2_stability/qwen/outputs/paper1_5/activations_trickster/sp0_q1.pt,-42.95932762041376,13.029665499388594,13.426157451203297
trickster_phase1_1200,trickster,trickster_family,trickster_phase1_1200:sp0_q2,0,2,2,score_ge2,1,research/q2_stability/qwen/outputs/paper1_5/activations_trickster/sp0_q2.pt,-19.41422494066572,27.22563329244982,22.651852576235687
trickster_phase1_1200,trickster,trickster_family,trickster_phase1_1200:sp0_q3,0,3,2,score_ge2,0,research/q2_stability/qwen/outputs/paper1_5/activations_trickster/sp0_q3.pt,-47.66533306877182,38.095273928395315,10.947224502716685
trickster_phase1_1200,trickster,trickster_family,trickster_phase1_1200:sp0_q4,0,4,3,score_eq3,0,research/q2_stability/qwen/outputs/paper1_5/activations_trickster/sp0_q4.pt,-56.01160095592358,17.539238756915918,24.93988623695727
trickster_phase1_1200,trickster,trickster_family,trickster_phase1_1200:sp0_q5,0,5,2,score_ge2,1,research/q2_stability/qwen/outputs/paper1_5/activations_trickster/sp0_q5.pt,-28.541927372413493,44.000681065826036,29.149498664108716
trickster_phase1_1200,trickster,trickster_family,trickster_phase1_1200:sp0_q6,0,6,2,score_ge2,1,research/q2_stability/qwen/outputs/paper1_5/activations_trickster/sp0_q6.pt,-22.038610678653672,38.437712872271184,16.90821924235259
trickster_phase1_1200,trickster,trickster_family,trickster_phase1_1200:sp0_q7,0,7,2,score_ge2,1,research/q2_stability/qwen/outputs/paper1_5/activations_trickster/sp0_q7.pt,-37.17224221790768,15.450244067767171,16.702902667893056
trickster_phase1_1200,trickster,trickster_family,trickster_phase1_1200:sp0_q8,0,8,2,score_ge2,1,research/q2_stability/qwen/outputs/paper1_5/activations_trickster/sp0_q8.pt,-25.02874923403753,34.531695872103334,15.28146951126656
trickster_phase1_1200,trickster,trickster_family,trickster_phase1_1200:sp0_q9,0,9,2,score_ge2,1,research/q2_stability/qwen/outputs/paper1_5/activations_trickster/sp0_q9.pt,-43.40612739008552,22.476038596356382,18.301518643659488
trickster_phase1_1200,trickster,trickster_family,trickster_phase1_1200:sp0_q10,0,10,2,score_ge2,0,research/q2_stability/qwen/outputs/paper1_5/activations_trickster/sp0_q10.pt,-62.75792449264673,35.8379741744414,16.171253060907922
trickster_phase1_1200,trickster,trickster_family,trickster_phase1_1200:sp0_q11,0,11,2,score_ge2,1,research/q2_stability/qwen/outputs/paper1_5/activations_trickster/sp0_q11.pt,-26.447074871062668,15.108623926294902,18.237681610577297
