model,train_n,validation_n,test_n,alpha,r2,rmse
BigFive,894,285,294,100,0.5486958333050604,0.5439833147045143
ResidualTraitIndex,894,285,294,100,0.11937111722420835,0.7598841223358526
BigFive_plus_ResidualTraitIndex,894,285,294,100,0.6605918977831502,0.4717501100421853
